robot,topic,ros_stamp_ns,wall_stamp_ns
robot1,/robot1/tf,302326000000,1779276934009452082
robot1,/robot1/tf,302360000000,1779276934043319904
robot1,/robot1/tf,302394000000,1779276934077474990
robot1,/robot1/tf,302428000000,1779276934111482146
robot1,/robot1/tf,302462000000,1779276934145500681
robot1,/robot1/tf,302496000000,1779276934179616335
robot1,/robot1/tf,302530000000,1779276934213551479
robot1,/robot1/tf,302564000000,1779276934247497951
robot1,/robot1/tf,302598000000,1779276934281532695
robot1,/robot1/tf,302632000000,1779276934315532406
robot1,/robot1/tf,302666000000,1779276934349555148
robot1,/robot1/tf,302700000000,1779276934383450626
robot1,/robot1/tf,302734000000,1779276934417377489
robot1,/robot1/tf,302768000000,1779276934451291863
robot1,/robot1/tf,302802000000,1779276934485328075
robot1,/robot1/tf,302836000000,1779276934519412203
robot1,/robot1/tf,302870000000,1779276934553551307
robot1,/robot1/tf,302904000000,1779276934587657400
robot1,/robot1/tf,302938000000,1779276934621517118
robot1,/robot1/tf,302972000000,1779276934655411555
robot1,/robot1/tf,303006000000,1779276934689411959
robot1,/robot1/tf,303040000000,1779276934723417638
robot1,/robot1/tf,303074000000,1779276934757352310
robot1,/robot1/tf,303108000000,1779276934791668045
robot1,/robot1/tf,303142000000,1779276934825485713
robot1,/robot1/tf,303176000000,1779276934859493436
robot1,/robot1/tf,303210000000,1779276934893537307
robot1,/robot1/tf,303244000000,1779276934927577675
robot1,/robot1/tf,303278000000,1779276934961528674
robot1,/robot1/tf,303312000000,1779276934995381967
robot1,/robot1/tf,303346000000,1779276935029543297
robot1,/robot1/tf,303380000000,1779276935063903715
robot1,/robot1/tf,303414000000,1779276935098619214
robot1,/robot1/tf,303448000000,1779276935131759530
robot1,/robot1/tf,303482000000,1779276935166362865
robot1,/robot1/tf,303516000000,1779276935199841398
robot1,/robot1/tf,303550000000,1779276935233783328
robot1,/robot1/tf,303584000000,1779276935268016016
robot1,/robot1/tf,303618000000,1779276935301674262
robot1,/robot1/tf,303652000000,1779276935335986928
robot1,/robot1/tf,303686000000,1779276935369649813
robot1,/robot1/tf,303720000000,1779276935403643863
robot1,/robot1/tf,303754000000,1779276935437643865
robot1,/robot1/tf,303788000000,1779276935471678361
robot1,/robot1/tf,303822000000,1779276935505479284
robot1,/robot1/tf,303856000000,1779276935540229760
robot1,/robot1/tf,303890000000,1779276935574189253
robot1,/robot1/tf,303924000000,1779276935608324334
robot1,/robot1/tf,303958000000,1779276935642124259
robot1,/robot1/tf,303992000000,1779276935676032564
robot1,/robot1/tf,304026000000,1779276935709905171
robot1,/robot1/tf,304060000000,1779276935743888675
robot1,/robot1/tf,304094000000,1779276935777920725
robot1,/robot1/tf,304128000000,1779276935811767527
robot1,/robot1/tf,304162000000,1779276935845786977
robot1,/robot1/tf,304196000000,1779276935879664840
robot1,/robot1/tf,304230000000,1779276935914110402
robot1,/robot1/tf,304264000000,1779276935947928335
robot1,/robot1/tf,304298000000,1779276935981805520
robot1,/robot1/tf,304332000000,1779276936015748209
robot1,/robot1/tf,304366000000,1779276936050227194
robot1,/robot1/tf,304400000000,1779276936083978785
robot1,/robot1/tf,304434000000,1779276936118040224
robot1,/robot1/tf,304468000000,1779276936151999898
robot1,/robot1/tf,304502000000,1779276936185976915
robot1,/robot1/tf,304536000000,1779276936219966697
robot1,/robot1/tf,304570000000,1779276936253926091
robot1,/robot1/tf,304604000000,1779276936287917903
robot1,/robot1/tf,304638000000,1779276936322003312
robot1,/robot1/tf,304672000000,1779276936355913201
robot1,/robot1/tf,304706000000,1779276936390133357
robot1,/robot1/tf,304740000000,1779276936424285562
robot1,/robot1/tf,304774000000,1779276936458220683
robot1,/robot1/tf,304808000000,1779276936492052325
robot1,/robot1/tf,304842000000,1779276936526059518
robot1,/robot1/tf,304876000000,1779276936560213447
robot1,/robot1/tf,304910000000,1779276936594338936
robot1,/robot1/tf,304944000000,1779276936628520098
robot1,/robot1/tf,304978000000,1779276936663516512
robot1,/robot1/tf,305012000000,1779276936697412406
robot1,/robot1/tf,305046000000,1779276936731129591
robot1,/robot1/tf,305080000000,1779276936765012846
robot1,/robot1/tf,305114000000,1779276936798856262
robot1,/robot1/tf,305148000000,1779276936832688185
robot1,/robot1/tf,305182000000,1779276936866614949
robot1,/robot1/tf,305216000000,1779276936900455784
robot1,/robot1/tf,305250000000,1779276936934536848
robot1,/robot1/tf,305284000000,1779276936968532199
robot1,/robot1/tf,305318000000,1779276937002702647
robot1,/robot1/tf,305352000000,1779276937038355763
robot1,/robot1/tf,305386000000,1779276937071904387
robot1,/robot1/tf,305420000000,1779276937105280012
robot1,/robot1/tf,305454000000,1779276937139538142
robot1,/robot1/tf,305488000000,1779276937173083202
robot1,/robot1/tf,305522000000,1779276937207391414
robot1,/robot1/tf,305556000000,1779276937241306655
robot1,/robot1/tf,305590000000,1779276937275313918
robot1,/robot1/tf,305624000000,1779276937308987714
robot1,/robot1/tf,305658000000,1779276937342818688
robot1,/robot1/tf,305692000000,1779276937376889289
robot1,/robot1/tf,305726000000,1779276937410511051
robot1,/robot1/tf,305760000000,1779276937445180854
robot1,/robot1/tf,305794000000,1779276937478886240
robot1,/robot1/tf,305828000000,1779276937513228052
robot1,/robot1/tf,305862000000,1779276937547118871
robot1,/robot1/tf,305896000000,1779276937581136629
robot1,/robot1/tf,305930000000,1779276937615130670
robot1,/robot1/tf,305964000000,1779276937648968828
robot1,/robot1/tf,305998000000,1779276937682803575
robot1,/robot1/tf,306032000000,1779276937716735709
robot1,/robot1/tf,306066000000,1779276937750622749
robot1,/robot1/tf,306100000000,1779276937785317341
robot1,/robot1/tf,306134000000,1779276937819097915
robot1,/robot1/tf,306168000000,1779276937853156830
robot1,/robot1/tf,306202000000,1779276937887191126
robot1,/robot1/tf,306236000000,1779276937921295134
robot1,/robot1/tf,306270000000,1779276937955315726
robot1,/robot1/tf,306304000000,1779276937989209889
robot1,/robot1/tf,306338000000,1779276938023076878
robot1,/robot1/tf,306372000000,1779276938057008831
robot1,/robot1/tf,306406000000,1779276938090823823
robot1,/robot1/tf,306440000000,1779276938124749407
robot1,/robot1/tf,306474000000,1779276938158780777
robot1,/robot1/tf,306508000000,1779276938193094302
robot1,/robot1/tf,306542000000,1779276938227225387
robot1,/robot1/tf,306576000000,1779276938261164938
robot1,/robot1/tf,306610000000,1779276938295147047
robot1,/robot1/tf,306644000000,1779276938329091401
robot1,/robot1/tf,306678000000,1779276938363010069
robot1,/robot1/tf,306712000000,1779276938396955796
robot1,/robot1/tf,306746000000,1779276938430901446
robot1,/robot1/tf,306780000000,1779276938464758291
robot1,/robot1/tf,306814000000,1779276938498760651
robot1,/robot1/tf,306848000000,1779276938532846707
robot1,/robot1/tf,306882000000,1779276938567115989
robot1,/robot1/tf,306916000000,1779276938600819840
robot1,/robot1/tf,306950000000,1779276938634826733
robot1,/robot1/tf,306984000000,1779276938669191896
robot1,/robot1/tf,307018000000,1779276938702930307
robot1,/robot1/tf,307052000000,1779276938736893405
robot1,/robot1/tf,307086000000,1779276938771095586
robot1,/robot1/tf,307120000000,1779276938804918263
robot1,/robot1/tf,307154000000,1779276938839133395
robot1,/robot1/tf,307188000000,1779276938873164342
robot1,/robot1/tf,307222000000,1779276938907032435
robot1,/robot1/tf,307256000000,1779276938940956955
robot1,/robot1/tf,307290000000,1779276938974854974
robot1,/robot1/tf,307324000000,1779276939008814254
robot1,/robot1/tf,307358000000,1779276939043069283
robot1,/robot1/tf,307392000000,1779276939077084024
robot1,/robot1/tf,307426000000,1779276939111212437
robot1,/robot1/tf,307460000000,1779276939145002915
robot1,/robot1/tf,307494000000,1779276939179277584
robot1,/robot1/tf,307528000000,1779276939213824541
robot1,/robot1/tf,307562000000,1779276939248245181
robot1,/robot1/tf,307596000000,1779276939282183985
robot1,/robot1/tf,307630000000,1779276939316261394
robot1,/robot1/tf,307664000000,1779276939349704543
robot1,/robot1/tf,307698000000,1779276939383481922
robot1,/robot1/tf,307732000000,1779276939417582600
robot1,/robot1/tf,307766000000,1779276939451573684
robot1,/robot1/tf,307800000000,1779276939485249699
robot1,/robot1/tf,307834000000,1779276939519278389
robot1,/robot1/tf,307868000000,1779276939553145777
robot1,/robot1/tf,307902000000,1779276939587427630
robot1,/robot1/tf,307936000000,1779276939621232650
robot1,/robot1/tf,307970000000,1779276939655299263
robot1,/robot1/tf,308004000000,1779276939689327680
robot1,/robot1/tf,308038000000,1779276939723380934
robot1,/robot1/tf,308072000000,1779276939757678660
robot1,/robot1/tf,308106000000,1779276939791481883
robot1,/robot1/tf,308140000000,1779276939825479771
robot1,/robot1/tf,308174000000,1779276939859447730
robot1,/robot1/tf,308208000000,1779276939893482175
robot1,/robot1/tf,308242000000,1779276939927155735
robot1,/robot1/tf,308276000000,1779276939961098117
robot1,/robot1/tf,308310000000,1779276939995172903
robot1,/robot1/tf,308344000000,1779276940029146592
robot1,/robot1/tf,308378000000,1779276940063063883
robot1,/robot1/tf,308412000000,1779276940097171219
robot1,/robot1/tf,308446000000,1779276940131148906
robot1,/robot1/tf,308480000000,1779276940165277172
robot1,/robot1/tf,308514000000,1779276940199214818
robot1,/robot1/tf,308548000000,1779276940233175852
robot1,/robot1/tf,308582000000,1779276940267051994
robot1,/robot1/tf,308616000000,1779276940301140762
robot1,/robot1/tf,308650000000,1779276940335138571
robot1,/robot1/tf,308684000000,1779276940369282854
robot1,/robot1/tf,308718000000,1779276940403500137
robot1,/robot1/tf,308752000000,1779276940437491732
robot1,/robot1/tf,308786000000,1779276940471549953
robot1,/robot1/tf,308820000000,1779276940505589009
robot1,/robot1/tf,308854000000,1779276940539507977
robot1,/robot1/tf,308888000000,1779276940573515889
robot1,/robot1/tf,308922000000,1779276940607521430
robot1,/robot1/tf,308956000000,1779276940641513635
robot1,/robot1/tf,308990000000,1779276940675524456
robot1,/robot1/tf,309024000000,1779276940709508614
robot1,/robot1/tf,309058000000,1779276940743511432
robot1,/robot1/tf,309092000000,1779276940777501638
robot1,/robot1/tf,309126000000,1779276940811548665
robot1,/robot1/tf,309160000000,1779276940845358386
robot1,/robot1/tf,309194000000,1779276940879368336
robot1,/robot1/tf,309228000000,1779276940913289162
robot1,/robot1/tf,309262000000,1779276940947263086
robot1,/robot1/tf,309296000000,1779276940981381321
robot1,/robot1/tf,309330000000,1779276941015558926
robot1,/robot1/tf,309364000000,1779276941049694642
robot1,/robot1/tf,309398000000,1779276941083662239
robot1,/robot1/tf,309432000000,1779276941117839812
robot1,/robot1/tf,309466000000,1779276941151629404
robot1,/robot1/tf,309500000000,1779276941185722368
robot1,/robot1/tf,309534000000,1779276941220448370
robot1,/robot1/tf,309568000000,1779276941254420667
robot1,/robot1/tf,309602000000,1779276941288860699
robot1,/robot1/tf,309636000000,1779276941323335552
robot1,/robot1/tf,309670000000,1779276941357110684
robot1,/robot1/tf,309704000000,1779276941391394655
robot1,/robot1/tf,309738000000,1779276941425214525
robot1,/robot1/tf,309772000000,1779276941459376268
robot1,/robot1/tf,309806000000,1779276941493228532
robot1,/robot1/tf,309840000000,1779276941527134962
robot1,/robot1/tf,309874000000,1779276941561174541
robot1,/robot1/tf,309908000000,1779276941595131570
robot1,/robot1/tf,309942000000,1779276941628954458
robot1,/robot1/tf,309976000000,1779276941662436657
robot1,/robot1/tf,310010000000,1779276941696430138
robot1,/robot1/tf,310044000000,1779276941730049278
robot1,/robot1/tf,310078000000,1779276941764158198
robot1,/robot1/tf,310112000000,1779276941798145773
robot1,/robot1/tf,310146000000,1779276941832117184
robot1,/robot1/tf,310180000000,1779276941866314611
robot1,/robot1/tf,310214000000,1779276941900382466
robot1,/robot1/tf,310248000000,1779276941934185516
robot1,/robot1/tf,310282000000,1779276941968153033
robot1,/robot1/tf,310316000000,1779276942002112464
robot1,/robot1/tf,310350000000,1779276942036283046
robot1,/robot1/tf,310384000000,1779276942070168262
robot1,/robot1/tf,310418000000,1779276942104138538
robot1,/robot1/tf,310452000000,1779276942138099862
robot1,/robot1/tf,310486000000,1779276942172051009
robot1,/robot1/tf,310520000000,1779276942206101962
robot1,/robot1/tf,310554000000,1779276942240231449
robot1,/robot1/tf,310588000000,1779276942274147164
robot1,/robot1/tf,310622000000,1779276942308080293
robot1,/robot1/tf,310656000000,1779276942341911459
robot1,/robot1/tf,310690000000,1779276942376201090
robot1,/robot1/tf,310724000000,1779276942410083388
robot1,/robot1/tf,310758000000,1779276942444150288
robot1,/robot1/tf,310792000000,1779276942478053468
robot1,/robot1/tf,310826000000,1779276942512266223
robot1,/robot1/tf,310860000000,1779276942546344973
robot1,/robot1/tf,310894000000,1779276942580225032
robot1,/robot1/tf,310928000000,1779276942614276502
robot1,/robot1/tf,310962000000,1779276942648423757
robot1,/robot1/tf,310996000000,1779276942682194694
robot1,/robot1/tf,311030000000,1779276942716219964
robot1,/robot1/tf,311064000000,1779276942750119611
robot1,/robot1/tf,311098000000,1779276942784053714
robot1,/robot1/tf,311132000000,1779276942818157229
robot1,/robot1/tf,311166000000,1779276942852375643
robot1,/robot1/tf,311200000000,1779276942886036234
robot1,/robot1/tf,311234000000,1779276942920012655
robot1,/robot1/tf,311268000000,1779276942954082974
robot1,/robot1/tf,311302000000,1779276942988039138
robot1,/robot1/tf,311336000000,1779276943022116915
robot1,/robot1/tf,311370000000,1779276943056088554
robot1,/robot1/tf,311404000000,1779276943091537574
robot1,/robot1/tf,311438000000,1779276943125287973
robot1,/robot1/tf,311472000000,1779276943159102437
robot1,/robot1/tf,311506000000,1779276943193003306
robot1,/robot1/tf,311540000000,1779276943226928538
robot1,/robot1/tf,311574000000,1779276943260742072
robot1,/robot1/tf,311608000000,1779276943294785194
robot1,/robot1/tf,311642000000,1779276943328888215
robot1,/robot1/tf,311676000000,1779276943362811742
robot1,/robot1/tf,311710000000,1779276943396479155
robot1,/robot1/tf,311744000000,1779276943430751183
robot1,/robot1/tf,311778000000,1779276943464570907
robot1,/robot1/tf,311812000000,1779276943498459158
robot1,/robot1/tf,311846000000,1779276943532425588
robot1,/robot1/tf,311880000000,1779276943566399452
robot1,/robot1/tf,311914000000,1779276943600418759
robot1,/robot1/tf,311948000000,1779276943634187010
robot1,/robot1/tf,311982000000,1779276943668311533
robot1,/robot1/tf,312016000000,1779276943702171128
robot1,/robot1/tf,312050000000,1779276943736145028
robot1,/robot1/tf,312084000000,1779276943770162915
robot1,/robot1/tf,312118000000,1779276943804163820
robot1,/robot1/tf,312152000000,1779276943838172190
robot1,/robot1/tf,312186000000,1779276943872259357
robot1,/robot1/tf,312220000000,1779276943906172304
robot1,/robot1/tf,312254000000,1779276943940040883
robot1,/robot1/tf,312288000000,1779276943974314746
robot1,/robot1/tf,312322000000,1779276944008350325
robot1,/robot1/tf,312356000000,1779276944042110952
robot1,/robot1/tf,312390000000,1779276944076262022
robot1,/robot1/tf,312424000000,1779276944110395109
robot1,/robot1/tf,312458000000,1779276944144138553
robot1,/robot1/tf,312492000000,1779276944178366192
robot1,/robot1/tf,312526000000,1779276944212351366
robot1,/robot1/tf,312560000000,1779276944246294311
robot1,/robot1/tf,312594000000,1779276944280300845
robot1,/robot1/tf,312628000000,1779276944314322348
robot1,/robot1/tf,312662000000,1779276944348384171
robot1,/robot1/tf,312696000000,1779276944382305724
robot1,/robot1/tf,312730000000,1779276944416315368
robot1,/robot1/tf,312764000000,1779276944450620387
robot1,/robot1/tf,312798000000,1779276944484611029
robot1,/robot1/tf,312832000000,1779276944518614826
robot1,/robot1/tf,312866000000,1779276944552608634
robot1,/robot1/tf,312900000000,1779276944586631073
robot1,/robot1/tf,312934000000,1779276944620511424
robot1,/robot1/tf,312968000000,1779276944654562427
robot1,/robot1/tf,313002000000,1779276944688627386
robot1,/robot1/tf,313036000000,1779276944722810481
robot1,/robot1/tf,313070000000,1779276944756542874
robot1,/robot1/tf,313104000000,1779276944790514740
robot1,/robot1/tf,313138000000,1779276944824559779
robot1,/robot1/tf,313172000000,1779276944858612247
robot1,/robot1/tf,313206000000,1779276944892624860
robot1,/robot1/tf,313240000000,1779276944926595129
robot1,/robot1/tf,313274000000,1779276944960628695
robot1,/robot1/tf,313308000000,1779276944994573920
robot1,/robot1/tf,313342000000,1779276945028472595
robot1,/robot1/tf,313376000000,1779276945062932621
robot1,/robot1/tf,313410000000,1779276945096726824
robot1,/robot1/tf,313444000000,1779276945130676438
robot1,/robot1/tf,313478000000,1779276945164828186
robot1,/robot1/tf,313512000000,1779276945198895360
robot1,/robot1/tf,313546000000,1779276945232769784
robot1,/robot1/tf,313580000000,1779276945266710442
robot1,/robot1/tf,313614000000,1779276945301006900
robot1,/robot1/tf,313648000000,1779276945334707773
robot1,/robot1/tf,313682000000,1779276945368788671
robot1,/robot1/tf,313716000000,1779276945402718620
robot1,/robot1/tf,313750000000,1779276945436694229
robot1,/robot1/tf,313784000000,1779276945471237122
robot1,/robot1/tf,313818000000,1779276945505196388
robot1,/robot1/tf,313852000000,1779276945539210049
robot1,/robot1/tf,313886000000,1779276945573365966
robot1,/robot1/tf,313920000000,1779276945606870242
robot1,/robot1/tf,313954000000,1779276945640910346
robot1,/robot1/tf,313988000000,1779276945674861696
robot1,/robot1/tf,314022000000,1779276945708864022
robot1,/robot1/tf,314056000000,1779276945742758006
robot1,/robot1/tf,314090000000,1779276945776696144
robot1,/robot1/tf,314124000000,1779276945810688600
robot1,/robot1/tf,314158000000,1779276945844628704
robot1,/robot1/tf,314192000000,1779276945878631247
robot1,/robot1/tf,314226000000,1779276945912673919
robot1,/robot1/tf,314260000000,1779276945946849158
robot1,/robot1/tf,314294000000,1779276945980776230
robot1,/robot1/tf,314328000000,1779276946014705025
robot1,/robot1/tf,314362000000,1779276946048749004
robot1,/robot1/tf,314396000000,1779276946082713068
robot1,/robot1/tf,314430000000,1779276946116815811
robot1,/robot1/tf,314464000000,1779276946150696358
robot1,/robot1/tf,314498000000,1779276946184858279
robot1,/robot1/tf,314532000000,1779276946218806572
robot1,/robot1/tf,314566000000,1779276946252799047
robot1,/robot1/tf,314600000000,1779276946287046884
robot1,/robot1/tf,314634000000,1779276946320965898
robot1,/robot1/tf,314668000000,1779276946354770459
robot1,/robot1/tf,314702000000,1779276946388969857
robot1,/robot1/tf,314736000000,1779276946422957167
robot1,/robot1/tf,314770000000,1779276946456879488
robot1,/robot1/tf,314804000000,1779276946490980682
robot1,/robot1/tf,314838000000,1779276946524978520
robot1,/robot1/tf,314872000000,1779276946558725625
robot1,/robot1/tf,314906000000,1779276946592712863
robot1,/robot1/tf,314940000000,1779276946626923337
robot1,/robot1/tf,314974000000,1779276946661059645
robot1,/robot1/tf,315008000000,1779276946694712192
robot1,/robot1/tf,315042000000,1779276946728996981
robot1,/robot1/tf,315076000000,1779276946763199174
robot1,/robot1/tf,315110000000,1779276946797317006
robot1,/robot1/tf,315144000000,1779276946831153424
robot1,/robot1/tf,315178000000,1779276946865091050
robot1,/robot1/tf,315212000000,1779276946899569984
robot1,/robot1/tf,315246000000,1779276946933198959
robot1,/robot1/tf,315280000000,1779276946967142063
robot1,/robot1/tf,315314000000,1779276947000989767
robot1,/robot1/tf,315348000000,1779276947035431841
robot1,/robot1/tf,315382000000,1779276947069705518
robot1,/robot1/tf,315416000000,1779276947103571649
robot1,/robot1/tf,315450000000,1779276947137505435
robot1,/robot1/tf,315484000000,1779276947171361171
robot1,/robot1/tf,315518000000,1779276947205618999
robot1,/robot1/tf,315552000000,1779276947239425979
robot1,/robot1/tf,315586000000,1779276947273536642
robot1,/robot1/tf,315620000000,1779276947307435401
robot1,/robot1/tf,315654000000,1779276947341568032
robot1,/robot1/tf,315688000000,1779276947375843794
robot1,/robot1/tf,315722000000,1779276947409417374
robot1,/robot1/tf,315756000000,1779276947443362597
robot1,/robot1/tf,315790000000,1779276947477555534
robot1,/robot1/tf,315824000000,1779276947511658712
robot1,/robot1/tf,315858000000,1779276947545279942
robot1,/robot1/tf,315892000000,1779276947579446376
robot1,/robot1/tf,315926000000,1779276947613380594
robot1,/robot1/tf,315960000000,1779276947647495219
robot1,/robot1/tf,315994000000,1779276947681507647
robot1,/robot1/tf,316028000000,1779276947715459037
robot1,/robot1/tf,316062000000,1779276947749700671
robot1,/robot1/tf,316096000000,1779276947783522269
robot1,/robot1/tf,316130000000,1779276947817544008
robot1,/robot1/tf,316164000000,1779276947851559601
robot1,/robot1/tf,316198000000,1779276947885654544
robot1,/robot1/tf,316232000000,1779276947919427620
robot1,/robot1/tf,316266000000,1779276947953443413
robot1,/robot1/tf,316300000000,1779276947987636129
robot1,/robot1/tf,316334000000,1779276948021477043
robot1,/robot1/tf,316368000000,1779276948055501087
robot1,/robot1/tf,316402000000,1779276948089231743
robot1,/robot1/tf,316436000000,1779276948123225297
robot1,/robot1/tf,316470000000,1779276948157417566
robot1,/robot1/tf,316504000000,1779276948191461035
robot1,/robot1/tf,316538000000,1779276948225187529
robot1,/robot1/tf,316572000000,1779276948259451097
robot1,/robot1/tf,316606000000,1779276948293520978
robot1,/robot1/tf,316640000000,1779276948327576628
robot1,/robot1/tf,316674000000,1779276948362069955
robot1,/robot1/tf,316708000000,1779276948396106570
robot1,/robot1/tf,316742000000,1779276948430203812
robot1,/robot1/tf,316776000000,1779276948464247530
robot1,/robot1/tf,316810000000,1779276948498059028
