n_robots,mode,variant,ssp_ms,iterq,cpu_limit,container,cpu_percent_mean,cpu_percent_std,mem_mb_mean,mem_mb_std,blk_read_mb_mean,blk_read_mb_std,blk_write_mb_mean,blk_write_mb_std,net_rx_mb_mean,net_rx_mb_std,net_tx_mb_mean,net_tx_mb_std
4,continuous,lv,,,,robot1-sidecar,1.766270390741775,0.023066850513125074,78.70849181732265,2.0587634476018297,0.0,0.0,0.9837,0.34499078553674906,0.9247999999999997,0.018517701346492502,0.5236500000000001,0.03246094819771511
4,continuous,lv,,,,robot2-sidecar,1.7906208973710789,0.03343989017997792,79.18580749738672,1.207988606175641,0.0,0.0,1.02125,0.32935804785098344,0.92445,0.01597852176813416,0.52395,0.03033753103786919
4,continuous,lv,,,,robot3-sidecar,1.7874814958314196,0.026578748031169504,78.8770620677349,1.1125685428538818,0.0,0.0,0.9949000000000003,0.3399792408523297,0.9225999999999999,0.016822290976089074,0.5220000000000002,0.03191600819255685
4,continuous,lv,,,,robot4-sidecar,1.7825808092740865,0.017984150044480535,79.19373199563151,1.1932162783581597,0.0,0.0,1.0355500000000002,0.34183228805643123,0.9217500000000003,0.017835136816496518,0.5216999999999998,0.0318914276553236
4,continuous,lv,,,,secaas,5.910204918032787,0.14829683882729888,63.686933726509395,0.40271767540540215,0.0,0.0,3.0701,0.005739062824648554,0.5374999999999999,0.001051314966075653,0.70925,0.0012085223687582638
8,continuous,lv,,,,robot1-sidecar,1.7841608647174738,0.037628721894436994,77.57651599474535,3.9590738742014957,0.0,0.0,1.24375,0.4109285858048558,1.0234499999999997,0.022876038946782817,0.58145,0.03960525616366421
8,continuous,lv,,,,robot2-sidecar,1.7545805419154654,0.028931970990490646,78.51426586610535,2.7083540343027344,0.0,0.0,1.13965,0.42333130922295487,1.0162500000000003,0.01670762511077217,0.5727499999999999,0.03172227343017748
8,continuous,lv,,,,robot3-sidecar,1.7673228265167762,0.03865317521418259,80.23245333739783,1.3831130794668867,0.0,0.0,1.0741999999999998,0.35582307845036504,1.0153500000000002,0.02036838365289642,0.5694999999999999,0.03649873826225839
8,continuous,lv,,,,robot4-sidecar,1.7673784899263434,0.037559175637954564,79.11177851008357,3.094243564507759,0.0,0.0,1.0452,0.36938990953078016,1.0117000000000003,0.015671294575886695,0.5660000000000001,0.028795101922668088
8,continuous,lv,,,,robot5-sidecar,1.777481438829427,0.02816134338914504,78.41377499661293,2.767688578828168,0.0,0.0,1.1106500000000001,0.4002575848257298,1.0132999999999999,0.017453999692424782,0.5696999999999999,0.032124920642949306
8,continuous,lv,,,,robot6-sidecar,1.7604378471751794,0.029643015802095964,78.54884466874407,3.1015112677902126,0.0,0.0,1.0718,0.2915646718907092,1.0116999999999998,0.017818086612381098,0.5679999999999998,0.03136541843630034
8,continuous,lv,,,,robot7-sidecar,1.764739096493495,0.041275214545088756,79.12353310971523,3.865004359444923,0.0,0.0,1.0389500000000003,0.3699114367691701,1.0097000000000003,0.017932915928097412,0.5638,0.03302885500827874
8,continuous,lv,,,,robot8-sidecar,1.757653573050952,0.021809930317479402,79.47525151203959,2.1746164221227646,0.0,0.0,1.0189,0.4083825476965903,1.0083,0.017204956446204317,0.5624,0.031670009057216945
8,continuous,lv,,,,secaas,7.55457706917233,0.21800820142888422,64.34079474876717,0.7004137556079768,0.0,0.0,8.825600000000001,0.5189717972258138,0.8765000000000001,0.02033016944035854,1.0876000000000001,0.02374513800649252
16,continuous,lv,,,,robot1-sidecar,1.8925332152413474,0.055511430914353156,73.03014093521458,4.4407597070646325,0.0,0.0,1.5992000000000002,0.8740837970186419,1.2218999999999998,0.031833282814325986,0.69695,0.05118848040639406
16,continuous,lv,,,,robot10-sidecar,1.8562557710016674,0.04729378599075477,75.66357764169547,4.642364268505879,0.0,0.0,1.0282999999999998,0.41091311669705044,1.18705,0.019201082754557598,0.6501000000000003,0.03125598889981332
16,continuous,lv,,,,robot11-sidecar,1.8520570383416881,0.03530538464944697,74.73273553719008,6.594475461664795,0.0,0.0,0.9935000000000003,0.38468791178523454,1.1857000000000002,0.018561703642318777,0.6458999999999999,0.03185807342111682
16,continuous,lv,,,,robot12-sidecar,1.851939899344103,0.03838782307264966,74.09438920479451,5.4787047362093,0.0,0.0,1.0357499999999997,0.3557253338713655,1.1888999999999996,0.019270648529222868,0.65165,0.034965057745667924
16,continuous,lv,,,,robot13-sidecar,1.8494810470577607,0.038268827360366936,73.96930335828479,6.140706460304571,0.0,0.0,0.9833999999999999,0.3959601787527311,1.1849,0.01901772026848941,0.6448499999999999,0.03242363497918094
16,continuous,lv,,,,robot14-sidecar,1.8421691238756714,0.043474608162319274,75.37638338799617,6.825658506157434,0.0,0.0,0.9824999999999996,0.3960444552399585,1.1837000000000002,0.019202795849070017,0.6446999999999998,0.03317592659238265
16,continuous,lv,,,,robot15-sidecar,1.8414546982666526,0.03707685028734195,74.43998628341392,6.619040692163892,0.0,0.0,1.0240999999999996,0.3770818562537705,1.1858000000000002,0.017671267193116826,0.64825,0.03074663011059751
16,continuous,lv,,,,robot16-sidecar,1.8473769676201328,0.03509107406344401,74.97677634968295,5.236020585434592,0.0,0.0,1.5452499999999998,2.5008143699918817,1.18525,0.018870402890854055,0.64725,0.03360274894769933
16,continuous,lv,,,,robot2-sidecar,1.9105728044594834,0.044962527229214025,71.52764441994552,4.577920672403976,0.0002,0.0008944271909999159,2.03165,1.0707093701201824,1.23145,0.04201562992381181,0.71395,0.06690643506144694
16,continuous,lv,,,,robot3-sidecar,1.8860166016788877,0.030252104373078167,70.98851897184652,4.880250423112553,0.0,0.0,1.60855,0.757723979393135,1.2153499999999995,0.028347978671094617,0.6923500000000001,0.0474477829330638
16,continuous,lv,,,,robot4-sidecar,1.889958238178848,0.03334810103254113,71.55168901696308,6.246989116649136,0.0,0.0,1.54565,0.9172965011666792,1.2074499999999992,0.02518870883216452,0.6820999999999998,0.04159187673724643
16,continuous,lv,,,,robot5-sidecar,1.8747406712176808,0.04739184194508389,72.3944233905749,5.471974171699699,0.0,0.0,1.4330999999999998,0.5505173547625334,1.2069,0.020639512438141615,0.6811000000000004,0.03320256806808466
16,continuous,lv,,,,robot6-sidecar,1.8869501739030525,0.05226644675051179,73.59269436904486,6.104712600940339,0.0,0.0,1.42645,0.7060829290045034,1.2021499999999998,0.031855388703854653,0.6736500000000001,0.05262106342320985
16,continuous,lv,,,,robot7-sidecar,1.8622673633509765,0.0523279649932997,73.91401512126393,6.246547539842234,0.0,0.0,1.1867,0.5180882976969529,1.1973499999999997,0.02411873043704264,0.6646000000000001,0.039236663842300214
16,continuous,lv,,,,robot8-sidecar,1.8647460759684544,0.03971828221347548,73.85802847837286,5.958187658510677,0.0,0.0,1.0785,0.43631392609595093,1.1916500000000005,0.02059451894379463,0.6556500000000001,0.03666674242416411
16,continuous,lv,,,,robot9-sidecar,1.8672304582712367,0.04093561156189246,74.9256045341643,6.40018431961673,0.0,0.0,1.0361499999999997,0.3574656810910588,1.1901,0.017660243784453404,0.6532999999999999,0.029406587160380495
16,continuous,lv,,,,secaas,11.321419033999303,0.28371209091535593,65.60731849948192,1.1570226309105152,0.0,0.0,31.39145,1.8961636192725098,1.6326999999999998,0.04569936081552301,1.8923499999999998,0.049615654363262346
32,continuous,lv,,,,robot1-sidecar,2.158273333536384,0.060152361228383217,66.31144463944844,2.0821298176504066,0.0,0.0,2.02565,1.3210242945692205,2.0063999999999997,0.05049273006556151,0.9124999999999999,0.07243109248033429
32,continuous,lv,,,,robot10-sidecar,2.096694500488157,0.07096599181228291,68.24886168429997,2.0648103603123773,0.0,0.0,2.9842,5.947796076566601,1.9692,0.03517116043459128,0.8628,0.05480069150543353
32,continuous,lv,,,,robot11-sidecar,2.0958480445568055,0.07516832620217287,68.2408496391777,2.5835946569821346,0.0,0.0,1.60625,1.1208901009559555,1.9722000000000008,0.03956553524151226,0.8670500000000001,0.058826663306611876
32,continuous,lv,,,,robot12-sidecar,2.085699997626169,0.06648419868257699,68.12968687686939,2.870679180787483,0.0,0.0,1.4705999999999997,0.7235706345325896,1.9718499999999999,0.047102659439948895,0.8721000000000002,0.07191288589602504
32,continuous,lv,,,,robot13-sidecar,2.0674618799431985,0.06105758720533293,66.79447487496302,2.4655946300562874,0.0,0.0,1.3262,0.845507732853928,1.9622999999999995,0.03713999121389812,0.8511499999999996,0.056910155416003846
32,continuous,lv,,,,robot14-sidecar,2.0687422773346626,0.0455108573888692,68.18091342579405,3.5352596868652633,0.0,0.0,1.32515,1.1335393696875196,1.9577000000000002,0.029588582435228584,0.8450999999999997,0.0457025854387852
32,continuous,lv,,,,robot15-sidecar,2.058542124816028,0.04346936460174113,66.37837413829939,3.127211566408569,0.0,0.0,1.66725,2.443414993190344,1.954,0.03201644314378054,0.843,0.04775595857008211
32,continuous,lv,,,,robot16-sidecar,2.0503656042786966,0.05328555389045506,67.05175703402875,2.765571411763764,0.0,0.0,1.0245000000000002,0.4561657708841337,1.9489499999999995,0.026106008584433318,0.835,0.039379396162273136
32,continuous,lv,,,,robot17-sidecar,2.043667340499868,0.05511742582771706,67.53912318290854,2.268014388505736,0.0,0.0,1.14925,0.5694078064094308,1.9571499999999993,0.028844911984064855,0.84345,0.04202815472363338
32,continuous,lv,,,,robot18-sidecar,2.0714039333354615,0.05601181826159137,68.09795085122302,2.786144609640573,0.0,0.0,2.5186,3.599806140979203,1.9604499999999998,0.030795548208689162,0.8497999999999999,0.043994736527285284
32,continuous,lv,,,,robot19-sidecar,2.0417465686295495,0.04240836032853017,66.96743486637054,2.440000790740565,0.0,0.0,0.9926500000000003,0.39329368630097633,1.95015,0.02292154812444105,0.83145,0.03054500562155869
32,continuous,lv,,,,robot2-sidecar,2.184546347992094,0.07367414887939344,68.28741421525379,2.5272009173511707,0.0,0.0,2.2760499999999992,1.0315824570966066,2.0191500000000002,0.043102417809823844,0.9380500000000002,0.07035584365809387
32,continuous,lv,,,,robot20-sidecar,2.0432507358875753,0.03808099299528502,67.95316724350758,3.2999322301035865,0.0,0.0,1.3738499999999998,1.6376355315547249,1.9525,0.020155970775299136,0.8358000000000001,0.03244525754007975
32,continuous,lv,,,,robot21-sidecar,2.0236998273494535,0.0418480983329169,67.10256427239952,2.3028082343742704,0.0,0.0,1.0213500000000004,0.3761374713697391,1.9466000000000006,0.022511751317221253,0.8309,0.03270425692555378
32,continuous,lv,,,,robot22-sidecar,2.038365763074026,0.04847712437247651,66.08273747337049,2.8912599500791583,0.0,0.0,1.094,0.6727080386491289,1.9515999999999996,0.03053281237585176,0.8344999999999997,0.04769696007084766
32,continuous,lv,,,,robot23-sidecar,2.0275313485976745,0.03875945081487684,67.2081695683858,2.6770868543109763,0.0,0.0,1.5792500000000005,2.4167936757308497,1.9518500000000003,0.022999485120094938,0.8343999999999999,0.034715990551905794
32,continuous,lv,,,,robot24-sidecar,2.0260845782402486,0.0383571992244221,68.61450925641877,3.2098149404177305,0.0,0.0,1.0550500000000003,0.434543738335183,1.9519000000000002,0.02596738845471169,0.8338500000000002,0.03493644605791898
32,continuous,lv,,,,robot25-sidecar,2.0426130418269004,0.042941525597478505,67.92269985697669,3.8833440067946126,0.0,0.0,1.021,0.37050193550172766,1.9488000000000003,0.0240495103353144,0.8298500000000001,0.03550874614276836
32,continuous,lv,,,,robot26-sidecar,2.0227921378720977,0.03038083359516618,67.26981340977069,3.1441625529302177,0.0,0.0,2.63745,5.191354153276084,1.9461999999999997,0.023509460581690764,0.82965,0.03659921627000995
32,continuous,lv,,,,robot27-sidecar,2.020968752077102,0.047861956017358154,68.84222472344871,2.248530132773911,0.0,0.0,1.40085,1.8915452406348685,1.9438500000000005,0.022198328528825757,0.8259999999999998,0.032826497640906276
32,continuous,lv,,,,robot28-sidecar,2.011059900593785,0.028267151334640094,66.21240251357995,3.2724033779535673,0.0,0.0,1.4654500000000001,2.164842755320385,1.9470500000000004,0.02231231663642814,0.8262499999999999,0.03300378766141838
32,continuous,lv,,,,robot29-sidecar,2.0234981340928373,0.04426395886442485,67.67599457407691,3.3357241452333146,0.0,0.0,1.766,2.8947298937715646,1.95295,0.030740809495213805,0.8348500000000005,0.04800797631096002
32,continuous,lv,,,,robot3-sidecar,2.1476178114466125,0.07447627879532477,68.24570184149931,2.3902142615016455,0.0,0.0,1.97305,1.250386949581693,1.9955999999999996,0.048362012060359234,0.9068500000000002,0.07563713582486759
32,continuous,lv,,,,robot30-sidecar,2.012848402000957,0.040992137468518285,69.19014849514339,2.7035139615024235,0.0,0.0,1.50205,1.6176976971837735,1.9501000000000004,0.02358166102805575,0.8318999999999999,0.03595743097198756
32,continuous,lv,,,,robot31-sidecar,2.016434461039957,0.0386306883761741,68.24481189169062,3.387114699399126,0.0,0.0,1.0257500000000004,0.4291710338731982,1.9478000000000002,0.024328021530303515,0.8295,0.03758008991334031
32,continuous,lv,,,,robot32-sidecar,2.0042738120802426,0.03177420073003985,65.8317027916099,3.3310409198934323,0.0,0.0,1.4654500000000001,2.164842755320385,1.9457000000000009,0.023244920214736575,0.8254999999999997,0.03339949574154488
32,continuous,lv,,,,robot4-sidecar,2.149558829781969,0.07058039421048586,68.4128760834161,2.22500917123374,0.0,0.0,2.7050500000000004,2.9453445777326204,2.0005499999999996,0.03744676923735548,0.91055,0.05808113653375443
32,continuous,lv,,,,robot5-sidecar,2.165600813630537,0.06696496692148252,68.27399183342828,2.8127741758763225,0.0,0.0,2.12465,1.213230497256677,2.003,0.03895071109410942,0.9166500000000003,0.06487824629338611
32,continuous,lv,,,,robot6-sidecar,2.1676509093293985,0.07519138206520908,69.43871688210704,2.876997312061857,0.0002,0.0008944271909999159,4.024299999999999,6.730888743225831,1.9978499999999997,0.04889976321113777,0.9132,0.07918439506021749
32,continuous,lv,,,,robot7-sidecar,2.1339977974653577,0.06748737465310799,68.95477705089858,1.8993473804258045,0.0,0.0,3.02485,6.563934212401648,1.986099999999999,0.03728820894486326,0.88995,0.060594836500533086
32,continuous,lv,,,,robot8-sidecar,2.1036119978738994,0.06811730269922066,66.8853051755448,3.059063368716241,0.0,0.0,4.0392,6.389012489381569,1.9676999999999996,0.045063814401590865,0.8637500000000002,0.06930320490804391
32,continuous,lv,,,,robot9-sidecar,2.1617978113583547,0.08831118485137959,68.92889412234908,2.633042124420389,0.0006000000000000001,0.001465390194130093,4.92075,8.121235924058022,2.00945,0.05693622933182614,0.9263000000000003,0.09318521454890956
32,continuous,lv,,,,secaas,21.176181615525834,0.4118897336376165,67.85989194859691,2.0213176380911158,0.00195,0.00872066511224918,117.44064999999998,5.158255848382137,3.3166500000000005,0.07586364152387641,3.469500000000001,0.07301153477722788
64,continuous,lv,,,,robot1-sidecar,2.483314072585839,0.09374011163389252,70.96466815797567,4.862580988725755,0.008799999999999999,0.008166684568544648,15.9543,15.103476592110209,2.7700500000000003,0.2849229766648857,1.5776999999999997,0.11353742717016736
64,continuous,lv,,,,robot10-sidecar,2.4098022599122855,0.1504041223260714,71.25322235246206,3.5893042443063123,0.01225,0.007873172302526038,7.687900000000001,6.931070152808865,2.7223999999999995,0.23100225562808566,1.5146999999999997,0.1786584804356595
64,continuous,lv,,,,robot11-sidecar,2.3841700934689043,0.1561234244417572,71.40534058536593,3.837203715713867,0.0008,0.0024623480450043696,5.51105,6.022546466797648,2.711450000000001,0.2287845401015405,1.4997000000000003,0.1745418363361033
