n_robots,mode,variant,ssp_ms,iterq,cpu_limit,container,t_rel_s,cpu_percent,mem_mb,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
4,startup,,,,,robot1-sidecar,0,2.23,68.46,0.0,0.004,0.038,0.029
4,startup,,,,,robot1-sidecar,1,1.82,66.0,0.0,0.008,0.048,0.034
4,startup,,,,,robot1-sidecar,2,1.99,66.42,0.0,0.02,0.058,0.04
4,startup,,,,,robot1-sidecar,3,1.67,66.74,0.0,0.02,0.064,0.042
4,startup,,,,,robot1-sidecar,4,1.46,66.84,0.0,0.02,0.065,0.043
4,startup,,,,,robot1-sidecar,5,1.43,66.76,0.0,0.02,0.065,0.043
4,startup,,,,,robot1-sidecar,6,0.87,66.68,0.0,0.02,0.065,0.043
4,startup,,,,,robot1-sidecar,7,1.38,66.82,0.0,0.02,0.065,0.043
4,startup,,,,,robot1-sidecar,8,1.09,66.78,0.0,0.02,0.065,0.043
4,startup,,,,,robot1-sidecar,9,1.1,66.81,0.0,0.02,0.065,0.043
4,startup,,,,,robot1-sidecar,10,1.4,66.89,0.0,0.02,0.065,0.043
4,startup,,,,,robot1-sidecar,11,0.93,66.68,0.0,0.02,0.065,0.043
4,startup,,,,,robot2-sidecar,0,0.15,41.46,2.371,0.004,0.013,0.006
4,startup,,,,,robot2-sidecar,1,3.66,43.4,2.371,0.008,0.028,0.018
4,startup,,,,,robot2-sidecar,2,1.52,42.62,2.371,0.008,0.036,0.022
4,startup,,,,,robot2-sidecar,3,1.56,42.89,2.371,0.02,0.044,0.028
4,startup,,,,,robot2-sidecar,4,1.67,42.69,2.371,0.02,0.051,0.03
4,startup,,,,,robot2-sidecar,5,1.59,42.74,2.371,0.02,0.053,0.031
4,startup,,,,,robot2-sidecar,6,1.0,42.68,2.371,0.02,0.053,0.031
4,startup,,,,,robot2-sidecar,7,0.83,42.73,2.371,0.02,0.053,0.031
4,startup,,,,,robot2-sidecar,8,1.36,42.64,2.371,0.02,0.053,0.031
4,startup,,,,,robot2-sidecar,9,1.33,42.71,2.371,0.02,0.053,0.031
4,startup,,,,,robot2-sidecar,10,1.05,42.71,2.371,0.02,0.053,0.031
4,startup,,,,,robot2-sidecar,11,1.45,42.67,2.371,0.02,0.053,0.031
4,startup,,,,,robot2-sidecar,12,0.94,42.68,2.371,0.02,0.053,0.031
4,startup,,,,,robot3-sidecar,0,1.86,42.0,0.0,0.008,0.028,0.018
4,startup,,,,,robot3-sidecar,1,1.75,42.57,0.0,0.008,0.036,0.023
