n_robots,mode,container,cpu_percent_mean,cpu_percent_std,mem_mb_mean,mem_mb_std,blk_read_mb_mean,blk_read_mb_std,blk_write_mb_mean,blk_write_mb_std,net_rx_mb_mean,net_rx_mb_std,net_tx_mb_mean,net_tx_mb_std
4,continuous,robot4-sidecar,7.45227585803855,0.11326699645511346,71.63452193858083,1.2826932904656712,0.461,2.7755575615628914e-17,2.7438575315594904,1.922171363130749,4.794675103817888,3.0083910689520006,5.039420943363524,3.1992961313872854
4,continuous,secaas,7.855191837396116,0.10631195708833382,63.79275698196634,0.17483834207811053,0.6169999999999999,9.614813431917819e-17,7.29132192791166,3.5360516628116025,1.538306020093988,0.915716437566768,2.0258859320091673,1.172613139292831
4,startup,robot1-sidecar,5.534072222222223,0.8707280211982746,60.2371373015873,4.314212723947424,0.0,0.0,0.2426336904761905,0.13996019706157387,0.46234496031746036,0.24818688896331398,0.5427295634920635,0.2934743472255584
4,startup,robot2-sidecar,5.153857323232323,0.6863617930292751,61.091947727272725,4.666893727736102,0.12608111111111112,0.10547332053974129,0.2364629797979798,0.1379780497253587,0.46886007575757577,0.24890721749227787,0.5552143434343434,0.29606696345672984
4,startup,robot3-sidecar,5.062787373737374,0.48565336994837643,58.807241414141416,7.101413561588862,0.0,0.0,0.22382151515151513,0.13435282276339186,0.46225575757575754,0.24545401099647143,0.5474103535353535,0.2917912291186546
4,startup,robot4-sidecar,4.818715501165501,0.4248786266760409,61.14554440559441,4.623414153908898,0.0,0.0,0.21789847319347322,0.13194865340286963,0.471653951048951,0.25073060391363816,0.5631115850815851,0.3001515394184556
4,startup,secaas,8.473973809523809,1.1387794495535004,64.25974642857143,0.12019617424011196,1.9769999999999999,1.4802973661668753e-16,2.6350306349206347,0.383499331772793,0.3094625,0.16324132647449588,0.44365162698412697,0.1988282918455489
10,continuous,robot1-sidecar,9.22210515875096,2.4112060745768176,69.37722089660448,5.12833266151536,0.0,0.0,3.0307121059562134,2.0521199047006395,5.824303502263701,3.5517926520410406,5.941255733629615,3.635169581341929
10,continuous,robot10-sidecar,7.6021191013924,0.2808757441924734,71.74250529338303,1.1777682630678354,0.0,0.0,2.877484678325607,2.2203462233318962,5.2128401590923055,3.6543883576082146,5.352516398842446,3.7426152563607578
10,continuous,robot2-sidecar,9.211415435032304,2.365247182066031,68.99440361066743,5.176494111937514,0.2725081081081081,0.0010999037078512554,3.327527044409942,2.233810990840596,5.84361597999492,3.5532678609813044,5.967357690130696,3.6346922460975266
