n_robots,mode,variant,ssp_ms,iterq,cpu_limit,container,t_rel_s,cpu_percent,mem_mb,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
4,continuous,rr,,,,robot1-sidecar,0,1.026,78.074,0.0809,2.1273,4.3869,2.6129
4,continuous,rr,,,,robot1-sidecar,1,2.456,78.09,0.0809,2.1284,4.396800000000001,2.6209
4,continuous,rr,,,,robot1-sidecar,2,1.8210000000000002,78.16499999999999,0.0809,2.1307,4.4064,2.6277999999999997
4,continuous,rr,,,,robot1-sidecar,3,1.7149999999999999,78.08500000000001,0.0809,2.1319000000000004,4.4152000000000005,2.6332
4,continuous,rr,,,,robot1-sidecar,4,1.7899999999999998,78.107,0.0809,2.1347,4.4257,2.6405000000000003
4,continuous,rr,,,,robot1-sidecar,5,1.59,78.15899999999999,0.0809,2.1362,4.4337,2.6449
4,continuous,rr,,,,robot1-sidecar,6,1.7,78.377,0.0809,2.1389000000000005,4.441599999999999,2.6481000000000003
4,continuous,rr,,,,robot1-sidecar,7,1.49,78.375,0.0809,2.1401,4.448,2.6500999999999997
4,continuous,rr,,,,robot1-sidecar,8,1.566,78.561,0.0809,2.1429,4.4543,2.6526
4,continuous,rr,,,,robot1-sidecar,9,2.074,78.417,0.0809,2.1574,4.460500000000001,2.6559
4,continuous,rr,,,,robot1-sidecar,10,2.183,78.627,0.0809,2.1726,4.4684,2.6614
4,continuous,rr,,,,robot1-sidecar,11,1.6920000000000002,78.723,0.0809,2.1742,4.4768,2.6678
4,continuous,rr,,,,robot1-sidecar,12,1.702,78.788,0.0809,2.1765999999999996,4.4862,2.6740000000000004
4,continuous,rr,,,,robot1-sidecar,13,1.7100000000000002,78.798,0.0809,2.1780999999999997,4.4953,2.6802
4,continuous,rr,,,,robot1-sidecar,14,1.796,79.03999999999999,0.0809,2.1809000000000003,4.5058,2.6874
4,continuous,rr,,,,robot1-sidecar,15,1.703,79.248,0.0809,2.1825,4.5138,2.6915
