n_robots,mode,variant,ssp_ms,iterq,cpu_limit,container,t_rel_s,cpu_percent,mem_mb,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
4,continuous,lv,,,,robot1-sidecar,0,0.44800000000000006,62.396,0.0,0.7354,1.7036000000000002,0.8484
4,continuous,lv,,,,robot1-sidecar,1,2.848,62.616,0.0,0.743,1.7144,0.8577999999999999
4,continuous,lv,,,,robot1-sidecar,2,1.864,62.628,0.0,0.7452,1.7238,0.8642
4,continuous,lv,,,,robot1-sidecar,3,1.6019999999999999,62.702,0.0,0.7498,1.7334,0.8705999999999999
4,continuous,lv,,,,robot1-sidecar,4,1.8199999999999998,62.714,0.0,0.7562,1.7432000000000003,0.8772
4,continuous,lv,,,,robot1-sidecar,5,1.72,62.80999999999999,0.0,0.7578,1.7508,0.8806
4,continuous,lv,,,,robot1-sidecar,6,1.698,62.598,0.0,0.7626000000000001,1.7586,0.8838000000000001
4,continuous,lv,,,,robot1-sidecar,7,1.6019999999999999,62.988,0.0,0.7634000000000001,1.7646000000000002,0.8859999999999999
4,continuous,lv,,,,robot1-sidecar,8,1.546,62.855999999999995,0.0,0.7666000000000001,1.7710000000000001,0.8884000000000001
4,continuous,lv,,,,robot1-sidecar,9,1.6059999999999999,63.012,0.0,0.7674,1.7765999999999997,0.8905999999999998
4,continuous,lv,,,,robot1-sidecar,10,1.6920000000000002,63.077999999999996,0.0,0.7702,1.783,0.8932
4,continuous,lv,,,,robot1-sidecar,11,1.526,63.120000000000005,0.0,0.771,1.7884,0.8949999999999999
4,continuous,lv,,,,robot1-sidecar,12,1.5699999999999998,63.4,0.0,0.7742,1.7948,0.8974
4,continuous,lv,,,,robot1-sidecar,13,1.7399999999999998,63.076,0.0,0.775,1.8002000000000002,0.8996000000000001
4,continuous,lv,,,,robot1-sidecar,14,1.584,63.29,0.0,0.7782,1.8060000000000003,0.9022
4,continuous,lv,,,,robot1-sidecar,15,1.464,63.286,0.0,0.779,1.8117999999999999,0.9042
4,continuous,lv,,,,robot1-sidecar,16,1.506,63.354,0.0,0.7822,1.8176,0.9064
4,continuous,lv,,,,robot1-sidecar,17,1.634,63.564,0.0,0.7827999999999999,1.8234000000000001,0.9086000000000001
4,continuous,lv,,,,robot1-sidecar,18,1.6460000000000001,63.664,0.0,0.7859999999999999,1.8296,0.9112
4,continuous,lv,,,,robot1-sidecar,19,1.6480000000000001,63.646,0.0,0.7867999999999999,1.8352,0.9134
4,continuous,lv,,,,robot1-sidecar,20,1.9300000000000002,63.482000000000006,0.0,0.7904,1.8422,0.917
4,continuous,lv,,,,robot1-sidecar,21,2.666,59.312,0.0,0.7984,1.85,0.9228
4,continuous,lv,,,,robot1-sidecar,22,1.904,58.938,0.0,0.8016,1.8592,0.93
4,continuous,lv,,,,robot1-sidecar,23,1.672,59.15599999999999,0.0,0.8023999999999999,1.8676000000000001,0.9346
4,continuous,lv,,,,robot1-sidecar,24,1.866,59.129999999999995,0.0,0.8093999999999999,1.8782,0.9423999999999999
4,continuous,lv,,,,robot1-sidecar,25,1.722,59.218,0.0,0.8102,1.8858000000000001,0.9464
4,continuous,lv,,,,robot1-sidecar,26,1.782,59.186,0.0,0.8148,1.8938,0.95
4,continuous,lv,,,,robot1-sidecar,27,1.6440000000000001,59.176,0.0,0.8164,1.9002,0.9522
4,continuous,lv,,,,robot1-sidecar,28,1.736,59.124,0.0,0.8196,1.9067999999999998,0.9545999999999999
4,continuous,lv,,,,robot1-sidecar,29,1.5959999999999999,59.074,0.0,0.8204,1.9122,0.9568
4,continuous,lv,,,,robot1-sidecar,30,1.652,58.962,0.0,0.8236000000000001,1.9186,0.9594000000000001
