n_robots,mode,variant,ssp_ms,iterq,cpu_limit,container,t_rel_s,cpu_percent,mem_mb,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
4,continuous,lv,,,,robot1-sidecar,0,1.79,41.05,0.0,0.02,0.081,0.056
4,continuous,lv,,,,robot1-sidecar,1,1.72,41.36,0.0,0.02,0.089,0.06
4,continuous,lv,,,,robot1-sidecar,2,1.96,41.49,0.0,0.023,0.1,0.068
4,continuous,lv,,,,robot1-sidecar,3,1.88,42.54,0.0,0.023,0.108,0.072
4,continuous,lv,,,,robot1-sidecar,4,1.89,42.9,0.0,0.031,0.116,0.077
4,continuous,lv,,,,robot1-sidecar,5,1.62,43.25,0.0,0.031,0.122,0.079
4,continuous,lv,,,,robot1-sidecar,6,1.28,43.73,0.0,0.035,0.129,0.082
4,continuous,lv,,,,robot1-sidecar,7,1.63,43.73,0.0,0.035,0.134,0.083
4,continuous,lv,,,,robot1-sidecar,8,1.41,44.47,0.0,0.039,0.141,0.086
4,continuous,lv,,,,robot1-sidecar,9,2.27,43.79,0.0,0.043,0.147,0.091
4,continuous,lv,,,,robot1-sidecar,10,1.68,44.36,0.0,0.047,0.157,0.098
4,continuous,lv,,,,robot1-sidecar,11,1.7,44.33,0.0,0.047,0.165,0.102
4,continuous,lv,,,,robot1-sidecar,12,1.75,43.68,0.0,0.051,0.174,0.109
4,continuous,lv,,,,robot1-sidecar,13,1.64,44.0,0.0,0.051,0.182,0.113
4,continuous,lv,,,,robot1-sidecar,14,1.89,43.62,0.0,0.059,0.191,0.118
4,continuous,lv,,,,robot1-sidecar,15,1.75,44.12,0.0,0.059,0.197,0.12
4,continuous,lv,,,,robot1-sidecar,16,1.66,43.88,0.0,0.062,0.204,0.123
4,continuous,lv,,,,robot1-sidecar,17,1.47,43.9,0.0,0.062,0.21,0.125
4,continuous,lv,,,,robot1-sidecar,18,1.66,44.24,0.0,0.066,0.216,0.128
4,continuous,lv,,,,robot1-sidecar,19,3.44,57.24,0.0,0.07,0.223,0.132
4,continuous,lv,,,,robot1-sidecar,20,1.71,59.43,0.0,0.074,0.233,0.14
4,continuous,lv,,,,robot1-sidecar,21,2.16,58.75,0.0,0.074,0.239,0.143
4,continuous,lv,,,,robot1-sidecar,22,1.88,59.45,0.0,0.078,0.25,0.151
4,continuous,lv,,,,robot1-sidecar,23,1.82,60.2,0.0,0.078,0.258,0.155
4,continuous,lv,,,,robot1-sidecar,24,2.16,60.97,0.0,0.086,0.267,0.16
4,continuous,lv,,,,robot1-sidecar,25,1.73,60.83,0.0,0.086,0.273,0.162
4,continuous,lv,,,,robot1-sidecar,26,1.3,61.57,0.0,0.09,0.28,0.164
4,continuous,lv,,,,robot1-sidecar,27,1.42,61.48,0.0,0.09,0.286,0.166
4,continuous,lv,,,,robot1-sidecar,28,1.51,62.09,0.0,0.094,0.292,0.169
4,continuous,lv,,,,robot1-sidecar,29,3.25,76.3,0.0,0.098,0.299,0.173
4,continuous,lv,,,,robot1-sidecar,30,1.8,76.12,0.0,0.102,0.309,0.181
4,continuous,lv,,,,robot1-sidecar,31,1.96,76.27,0.0,0.102,0.316,0.185
4,continuous,lv,,,,robot1-sidecar,32,2.04,76.48,0.0,0.105,0.326,0.192
4,continuous,lv,,,,robot1-sidecar,33,1.28,76.94,0.0,0.105,0.334,0.197
4,continuous,lv,,,,robot1-sidecar,34,1.68,76.74,0.0,0.113,0.343,0.201
4,continuous,lv,,,,robot1-sidecar,35,1.19,76.45,0.0,0.113,0.349,0.203
4,continuous,lv,,,,robot1-sidecar,36,1.72,76.47,0.0,0.117,0.356,0.206
4,continuous,lv,,,,robot1-sidecar,37,1.6,76.64,0.0,0.117,0.361,0.208
4,continuous,lv,,,,robot1-sidecar,38,1.6,76.81,0.0,0.121,0.368,0.21
4,continuous,lv,,,,robot1-sidecar,39,2.51,76.52,0.0,0.125,0.374,0.215
4,continuous,lv,,,,robot1-sidecar,40,1.82,76.54,0.0,0.129,0.384,0.222
4,continuous,lv,,,,robot1-sidecar,41,1.7,76.57,0.0,0.129,0.392,0.227
4,continuous,lv,,,,robot1-sidecar,42,1.71,77.33,0.0,0.133,0.402,0.234
4,continuous,lv,,,,robot1-sidecar,43,1.81,77.01,0.0,0.133,0.409,0.238
4,continuous,lv,,,,robot1-sidecar,44,1.75,76.57,0.0,0.141,0.418,0.243
4,continuous,lv,,,,robot1-sidecar,45,1.38,76.36,0.0,0.141,0.424,0.244
4,continuous,lv,,,,robot1-sidecar,46,1.54,76.89,0.0,0.145,0.431,0.247
4,continuous,lv,,,,robot1-sidecar,47,1.56,76.58,0.0,0.145,0.437,0.249
4,continuous,lv,,,,robot1-sidecar,48,1.59,76.92,0.0,0.148,0.443,0.252
4,continuous,lv,,,,robot1-sidecar,49,2.67,77.55,0.0,0.152,0.45,0.256
4,continuous,lv,,,,robot1-sidecar,50,1.94,77.84,0.0,0.156,0.46,0.264
4,continuous,lv,,,,robot1-sidecar,51,1.36,78.03,0.0,0.156,0.467,0.268
4,continuous,lv,,,,robot1-sidecar,52,1.92,77.66,0.0,0.16,0.478,0.276
4,continuous,lv,,,,robot1-sidecar,53,1.67,77.34,0.0,0.16,0.486,0.28
4,continuous,lv,,,,robot1-sidecar,54,1.87,77.66,0.0,0.168,0.495,0.284
4,continuous,lv,,,,robot1-sidecar,55,1.57,77.4,0.0,0.168,0.5,0.286
4,continuous,lv,,,,robot1-sidecar,56,2.05,77.4,0.0,0.172,0.507,0.289
4,continuous,lv,,,,robot1-sidecar,57,1.5,77.29,0.0,0.172,0.512,0.291
4,continuous,lv,,,,robot1-sidecar,58,1.63,77.33,0.0,0.176,0.519,0.293
4,continuous,lv,,,,robot1-sidecar,59,2.55,77.29,0.0,0.18,0.526,0.299
4,continuous,lv,,,,robot1-sidecar,60,1.78,77.63,0.0,0.184,0.535,0.305
4,continuous,lv,,,,robot1-sidecar,61,1.75,77.84,0.0,0.184,0.543,0.309
4,continuous,lv,,,,robot1-sidecar,62,1.82,77.33,0.0,0.188,0.554,0.317
4,continuous,lv,,,,robot1-sidecar,63,1.7,77.42,0.0,0.188,0.562,0.321
