collected_at_iso,block_number,block_timestamp,block_time_s,tx_count,gas_used,gas_limit,gas_used_pct,size_bytes,extra_data_bytes,avg_gas_per_tx
2026-04-27T06:54:11.346424+00:00,59,1777272851,,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:54:14.370868+00:00,60,1777272853,2,34,15351950,16234336,94.565,6586,0,451527.94
2026-04-27T06:54:16.383285+00:00,61,1777272855,2,42,14381502,16234336,88.587,8109,0,342416.71
2026-04-27T06:54:17.395580+00:00,62,1777272857,2,23,1944408,16234336,11.977,4954,0,84539.48
2026-04-27T06:54:19.408252+00:00,63,1777272859,2,30,2575152,16234336,15.862,6192,0,85838.4
2026-04-27T06:54:21.423573+00:00,64,1777272861,2,27,2407332,16234336,14.829,5631,0,89160.44
2026-04-27T06:54:23.432910+00:00,65,1777272863,2,8,925824,16234336,5.703,2194,0,115728.0
2026-04-27T06:54:25.442725+00:00,66,1777272865,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:54:27.454387+00:00,67,1777272867,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:54:29.464114+00:00,68,1777272869,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:54:31.474983+00:00,69,1777272871,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:54:33.487766+00:00,70,1777272873,2,16,7216400,16234336,44.451,3547,0,451025.0
2026-04-27T06:54:35.508703+00:00,71,1777272875,2,45,15354436,16234336,94.58,8642,0,341209.69
2026-04-27T06:54:37.531730+00:00,72,1777272877,2,37,8974208,16234336,55.279,7319,0,242546.16
2026-04-27T06:54:39.542246+00:00,73,1777272879,2,29,2459412,16234336,15.149,6044,0,84807.31
2026-04-27T06:54:41.554915+00:00,74,1777272881,2,28,2523060,16234336,15.542,5815,0,90109.29
2026-04-27T06:54:43.565543+00:00,75,1777272883,2,7,810096,16234336,4.99,2026,0,115728.0
2026-04-27T06:54:45.575082+00:00,76,1777272885,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:54:47.587330+00:00,77,1777272887,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:54:49.599727+00:00,78,1777272889,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:54:51.608937+00:00,79,1777272891,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:54:53.619429+00:00,80,1777272893,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:54:55.634990+00:00,81,1777272895,2,34,15334850,16234336,94.459,6589,0,451025.0
2026-04-27T06:54:57.655363+00:00,82,1777272897,2,39,14168790,16234336,87.277,7569,0,363302.31
2026-04-27T06:54:59.679390+00:00,83,1777272899,2,20,1597236,16234336,9.839,4463,0,79861.8
2026-04-27T06:55:01.691927+00:00,84,1777272901,2,26,2246748,16234336,13.839,5492,0,86413.38
2026-04-27T06:55:03.706183+00:00,85,1777272903,2,23,1899588,16234336,11.701,4985,0,82590.78
2026-04-27T06:55:05.716634+00:00,86,1777272905,2,14,1396032,16234336,8.599,3285,0,99716.57
2026-04-27T06:55:07.730695+00:00,87,1777272907,2,2,231456,16234336,1.426,1181,0,115728.0
2026-04-27T06:55:09.750010+00:00,88,1777272909,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:55:11.762751+00:00,89,1777272911,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:55:13.773898+00:00,90,1777272913,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:55:15.793326+00:00,91,1777272915,2,34,15334850,16234336,94.459,6588,0,451025.0
2026-04-27T06:55:17.806017+00:00,92,1777272917,2,39,14168814,16234336,87.277,7578,0,363302.92
2026-04-27T06:55:19.823521+00:00,93,1777272919,2,21,1757784,16234336,10.828,4631,0,83704.0
2026-04-27T06:55:21.845329+00:00,94,1777272921,2,23,1944396,16234336,11.977,4986,0,84538.96
2026-04-27T06:55:23.862887+00:00,95,1777272923,2,23,1944420,16234336,11.977,4986,0,84540.0
2026-04-27T06:55:25.879684+00:00,96,1777272925,2,18,1724436,16234336,10.622,4013,0,95802.0
2026-04-27T06:55:27.892996+00:00,97,1777272927,2,3,347184,16234336,2.139,1350,0,115728.0
2026-04-27T06:55:29.904002+00:00,98,1777272929,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:55:31.916068+00:00,99,1777272931,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:55:33.928151+00:00,100,1777272933,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:55:35.958993+00:00,101,1777272935,2,34,15334850,16234336,94.459,6589,0,451025.0
2026-04-27T06:55:37.985452+00:00,102,1777272937,2,39,13788661,16234336,84.935,7592,0,353555.41
2026-04-27T06:55:39.997397+00:00,103,1777272939,2,23,1989252,16234336,12.253,4969,0,86489.22
2026-04-27T06:55:42.009199+00:00,104,1777272941,2,23,1944408,16234336,11.977,4986,0,84539.48
2026-04-27T06:55:44.046016+00:00,105,1777272943,2,23,1989252,16234336,12.253,4970,0,86489.22
2026-04-27T06:55:46.060309+00:00,106,1777272945,2,15,1422096,16234336,8.76,3490,0,94806.4
2026-04-27T06:55:47.067064+00:00,107,1777272947,2,2,231456,16234336,1.426,1181,0,115728.0
2026-04-27T06:55:49.081600+00:00,108,1777272949,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:55:51.093359+00:00,109,1777272951,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:55:53.102529+00:00,110,1777272953,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:55:55.113195+00:00,111,1777272955,2,0,0,16234336,0.0,838,0,0.0
2026-04-27T06:55:58.134535+00:00,112,1777272957,2,34,15334850,16234336,94.459,6589,0,451025.0
2026-04-27T06:56:00.161356+00:00,113,1777272959,2,40,13859581,16234336,85.372,7779,0,346489.53
2026-04-27T06:56:01.196432+00:00,114,1777272961,2,25,2265528,16234336,13.955,5292,0,90621.12
