trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot
1,2026-06-14T08:05:21.190Z,2026-06-14T08:05:27.132Z,5.941,1,5000,4,sidecar,robot1
2,2026-06-14T08:05:47.394Z,2026-06-14T08:05:57.209Z,9.814,1,5000,4,sidecar,robot1
3,2026-06-14T08:06:17.300Z,2026-06-14T08:06:27.155Z,9.855,1,5000,4,sidecar,robot1
4,2026-06-14T08:06:45.416Z,2026-06-14T08:06:51.121Z,5.704,1,5000,4,sidecar,robot1
5,2026-06-14T08:07:09.153Z,2026-06-14T08:07:15.142Z,5.988,1,5000,4,sidecar,robot1
6,2026-06-14T08:07:33.338Z,2026-06-14T08:07:39.054Z,5.716,1,5000,4,sidecar,robot1
7,2026-06-14T08:07:57.300Z,2026-06-14T08:08:03.204Z,5.903,1,5000,4,sidecar,robot1
8,2026-06-14T08:08:21.246Z,2026-06-14T08:08:27.168Z,5.922,1,5000,4,sidecar,robot1
9,2026-06-14T08:08:45.234Z,2026-06-14T08:08:51.041Z,5.807,1,5000,4,sidecar,robot1
10,2026-06-14T08:09:09.316Z,2026-06-14T08:09:15.207Z,5.890,1,5000,4,sidecar,robot1
11,2026-06-14T08:09:33.418Z,2026-06-14T08:09:39.123Z,5.704,1,5000,4,sidecar,robot1
12,2026-06-14T08:09:57.244Z,2026-06-14T08:10:03.196Z,5.952,1,5000,4,sidecar,robot1
13,2026-06-14T08:10:21.416Z,2026-06-14T08:10:27.111Z,5.695,1,5000,4,sidecar,robot1
14,2026-06-14T08:10:45.313Z,2026-06-14T08:10:51.065Z,5.751,1,5000,4,sidecar,robot1
15,2026-06-14T08:11:09.233Z,2026-06-14T08:11:15.177Z,5.944,1,5000,4,sidecar,robot1
16,2026-06-14T08:11:33.265Z,2026-06-14T08:11:39.206Z,5.941,1,5000,4,sidecar,robot1
17,2026-06-14T08:11:57.331Z,2026-06-14T08:12:03.104Z,5.773,1,5000,4,sidecar,robot1
18,2026-06-14T08:12:21.235Z,2026-06-14T08:12:27.179Z,5.943,1,5000,4,sidecar,robot1
19,2026-06-14T08:12:45.394Z,2026-06-14T08:12:51.124Z,5.729,1,5000,4,sidecar,robot1
20,2026-06-14T08:13:09.300Z,2026-06-14T08:13:15.061Z,5.760,1,5000,4,sidecar,robot1
21,2026-06-14T08:13:33.189Z,2026-06-14T08:13:39.158Z,5.968,1,5000,4,sidecar,robot1
22,2026-06-14T08:13:57.246Z,2026-06-14T08:14:03.018Z,5.771,1,5000,4,sidecar,robot1
23,2026-06-14T08:14:21.340Z,2026-06-14T08:14:27.062Z,5.722,1,5000,4,sidecar,robot1
24,2026-06-14T08:14:45.304Z,2026-06-14T08:14:51.217Z,5.912,1,5000,4,sidecar,robot1
25,2026-06-14T08:15:07.402Z,2026-06-14T08:15:15.143Z,7.741,1,5000,4,sidecar,robot1
26,2026-06-14T08:15:33.281Z,2026-06-14T08:15:39.022Z,5.740,1,5000,4,sidecar,robot1
27,2026-06-14T08:15:57.400Z,2026-06-14T08:16:03.131Z,5.730,1,5000,4,sidecar,robot1
28,2026-06-14T08:16:25.239Z,2026-06-14T08:16:35.130Z,9.891,1,5000,4,sidecar,robot1
29,2026-06-14T08:16:53.317Z,2026-06-14T08:16:59.100Z,5.782,1,5000,4,sidecar,robot1
30,2026-06-14T08:17:21.340Z,2026-06-14T08:17:31.152Z,9.812,1,5000,4,sidecar,robot1
