trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot
2,2026-06-14T10:55:02.155Z,2026-06-14T10:55:08.100Z,5.945,1,1000,4,sidecar,robot1
3,2026-06-14T10:55:22.370Z,2026-06-14T10:55:26.152Z,3.781,1,1000,4,sidecar,robot1
4,2026-06-14T10:55:42.166Z,2026-06-14T10:55:48.061Z,5.894,1,1000,4,sidecar,robot1
5,2026-06-14T10:56:02.303Z,2026-06-14T10:56:06.096Z,3.792,1,1000,4,sidecar,robot1
6,2026-06-14T10:56:22.261Z,2026-06-14T10:56:28.041Z,5.780,1,1000,4,sidecar,robot1
7,2026-06-14T10:56:44.162Z,2026-06-14T10:56:50.070Z,5.907,1,1000,4,sidecar,robot1
8,2026-06-14T10:57:04.146Z,2026-06-14T10:57:10.187Z,6.040,1,1000,4,sidecar,robot1
9,2026-06-14T10:57:24.330Z,2026-06-14T10:57:30.105Z,5.774,1,1000,4,sidecar,robot1
10,2026-06-14T10:57:44.260Z,2026-06-14T10:57:50.030Z,5.769,1,1000,4,sidecar,robot1
11,2026-06-14T10:58:06.330Z,2026-06-14T10:58:12.032Z,5.701,1,1000,4,sidecar,robot1
12,2026-06-14T10:58:28.263Z,2026-06-14T10:58:34.092Z,5.829,1,1000,4,sidecar,robot1
13,2026-06-14T11:00:26.206Z,2026-06-14T11:00:32.039Z,5.833,1,1000,4,sidecar,robot1
14,2026-06-14T11:00:46.209Z,2026-06-14T11:00:52.087Z,5.878,1,1000,4,sidecar,robot1
15,2026-06-14T11:02:42.282Z,2026-06-14T11:02:48.135Z,5.852,1,1000,4,sidecar,robot1
16,2026-06-14T11:03:04.220Z,2026-06-14T11:03:10.225Z,6.005,1,1000,4,sidecar,robot1
17,2026-06-14T11:03:24.282Z,2026-06-14T11:03:30.130Z,5.847,1,1000,4,sidecar,robot1
18,2026-06-14T11:03:44.294Z,2026-06-14T11:03:50.231Z,5.937,1,1000,4,sidecar,robot1
19,2026-06-14T11:04:06.272Z,2026-06-14T11:04:12.058Z,5.786,1,1000,4,sidecar,robot1
20,2026-06-14T11:04:28.241Z,2026-06-14T11:04:34.222Z,5.980,1,1000,4,sidecar,robot1
21,2026-06-14T11:04:50.294Z,2026-06-14T11:04:54.097Z,3.802,1,1000,4,sidecar,robot1
22,2026-06-14T11:05:10.269Z,2026-06-14T11:05:16.044Z,5.775,1,1000,4,sidecar,robot1
23,2026-06-14T11:05:36.293Z,2026-06-14T11:05:44.150Z,7.856,1,1000,4,sidecar,robot1
24,2026-06-14T11:06:06.203Z,2026-06-14T11:06:12.079Z,5.876,1,1000,4,sidecar,robot1
25,2026-06-14T11:06:32.243Z,2026-06-14T11:06:38.152Z,5.908,1,1000,4,sidecar,robot1
26,2026-06-14T11:06:54.356Z,2026-06-14T11:07:00.076Z,5.720,1,1000,4,sidecar,robot1
27,2026-06-14T11:07:16.277Z,,,0,1000,4,sidecar,robot1
