n_robots,mode,variant,ssp_ms,iterq,cpu_limit,container,t_rel_s,cpu_percent,mem_mb,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
4,continuous,lv,,,,robot1-sidecar,0,1.98,42.34,0.0,0.02,0.082,0.057
4,continuous,lv,,,,robot1-sidecar,1,1.99,42.06,0.0,0.02,0.089,0.061
4,continuous,lv,,,,robot1-sidecar,2,1.88,42.33,0.0,0.023,0.101,0.069
4,continuous,lv,,,,robot1-sidecar,3,1.54,42.73,0.0,0.023,0.108,0.074
4,continuous,lv,,,,robot1-sidecar,4,1.79,43.0,0.0,0.031,0.118,0.079
4,continuous,lv,,,,robot1-sidecar,5,1.61,43.26,0.0,0.031,0.122,0.08
4,continuous,lv,,,,robot1-sidecar,6,1.4,43.0,0.0,0.035,0.13,0.083
4,continuous,lv,,,,robot1-sidecar,7,1.64,43.8,0.0,0.035,0.135,0.085
4,continuous,lv,,,,robot1-sidecar,8,1.62,44.12,0.0,0.039,0.141,0.087
4,continuous,lv,,,,robot1-sidecar,9,1.62,44.64,0.0,0.039,0.147,0.089
4,continuous,lv,,,,robot1-sidecar,10,1.7,44.69,0.0,0.043,0.153,0.092
4,continuous,lv,,,,robot1-sidecar,11,1.08,45.2,0.0,0.043,0.159,0.094
4,continuous,lv,,,,robot1-sidecar,12,1.66,45.41,0.0,0.047,0.165,0.096
4,continuous,lv,,,,robot1-sidecar,13,1.62,45.16,0.0,0.047,0.17,0.098
4,continuous,lv,,,,robot1-sidecar,14,1.61,46.0,0.0,0.051,0.177,0.101
4,continuous,lv,,,,robot1-sidecar,15,1.64,45.98,0.0,0.051,0.182,0.103
4,continuous,lv,,,,robot1-sidecar,16,1.63,46.45,0.0,0.055,0.188,0.105
4,continuous,lv,,,,robot1-sidecar,17,1.6,46.66,0.0,0.055,0.193,0.107
4,continuous,lv,,,,robot1-sidecar,18,1.75,46.96,0.0,0.059,0.2,0.11
4,continuous,lv,,,,robot1-sidecar,19,1.8,47.76,0.0,0.059,0.205,0.112
4,continuous,lv,,,,robot1-sidecar,20,3.15,46.77,0.0,0.066,0.215,0.119
4,continuous,lv,,,,robot1-sidecar,21,1.61,47.19,0.0,0.066,0.222,0.123
4,continuous,lv,,,,robot1-sidecar,22,1.81,46.96,0.0,0.07,0.233,0.131
4,continuous,lv,,,,robot1-sidecar,23,1.72,47.08,0.0,0.07,0.241,0.135
4,continuous,lv,,,,robot1-sidecar,24,1.89,47.29,0.0,0.078,0.25,0.14
4,continuous,lv,,,,robot1-sidecar,25,1.72,47.33,0.0,0.078,0.255,0.142
4,continuous,lv,,,,robot1-sidecar,26,1.72,47.09,0.0,0.082,0.262,0.144
4,continuous,lv,,,,robot1-sidecar,27,1.67,47.36,0.0,0.082,0.267,0.146
4,continuous,lv,,,,robot1-sidecar,28,1.73,46.78,0.0,0.086,0.274,0.149
4,continuous,lv,,,,robot1-sidecar,29,1.64,47.37,0.0,0.086,0.279,0.151
4,continuous,lv,,,,robot1-sidecar,30,1.27,46.83,0.0,0.09,0.286,0.153
4,continuous,lv,,,,robot1-sidecar,31,1.53,47.23,0.0,0.09,0.291,0.155
4,continuous,lv,,,,robot1-sidecar,32,1.65,47.19,0.0,0.094,0.298,0.158
4,continuous,lv,,,,robot1-sidecar,33,1.57,47.7,0.0,0.094,0.303,0.16
4,continuous,lv,,,,robot1-sidecar,34,1.68,47.61,0.0,0.098,0.31,0.163
4,continuous,lv,,,,robot1-sidecar,35,1.74,47.4,0.0,0.098,0.315,0.165
4,continuous,lv,,,,robot1-sidecar,36,1.64,47.71,0.0,0.102,0.32,0.167
4,continuous,lv,,,,robot1-sidecar,37,1.59,47.39,0.0,0.102,0.326,0.169
4,continuous,lv,,,,robot1-sidecar,38,1.6,47.43,0.0,0.105,0.332,0.171
4,continuous,lv,,,,robot1-sidecar,39,1.91,47.81,0.0,0.105,0.337,0.173
4,continuous,lv,,,,robot1-sidecar,40,3.6,60.52,0.0,0.109,0.345,0.179
4,continuous,lv,,,,robot1-sidecar,41,1.95,61.04,0.0,0.113,0.353,0.186
4,continuous,lv,,,,robot1-sidecar,42,2.04,62.09,0.0,0.117,0.363,0.193
4,continuous,lv,,,,robot1-sidecar,43,1.68,63.17,0.0,0.117,0.371,0.197
4,continuous,lv,,,,robot1-sidecar,44,1.65,64.48,0.0,0.137,0.385,0.21
4,continuous,lv,,,,robot1-sidecar,45,1.7,65.02,0.0,0.137,0.392,0.212
4,continuous,lv,,,,robot1-sidecar,46,1.74,65.36,0.0,0.141,0.399,0.215
4,continuous,lv,,,,robot1-sidecar,47,1.65,65.12,0.0,0.141,0.404,0.216
4,continuous,lv,,,,robot1-sidecar,48,1.77,65.65,0.0,0.145,0.411,0.219
4,continuous,lv,,,,robot1-sidecar,49,1.75,66.05,0.0,0.145,0.417,0.221
4,continuous,lv,,,,robot1-sidecar,50,2.05,66.61,0.0,0.148,0.423,0.224
4,continuous,lv,,,,robot1-sidecar,51,1.54,65.83,0.0,0.148,0.428,0.226
4,continuous,lv,,,,robot1-sidecar,52,1.56,66.05,0.0,0.152,0.435,0.228
4,continuous,lv,,,,robot1-sidecar,53,1.63,66.73,0.0,0.152,0.44,0.23
