n_robots,mode,variant,ssp_ms,iterq,cpu_limit,container,cpu_percent_mean,cpu_percent_std,mem_mb_mean,mem_mb_std,blk_read_mb_mean,blk_read_mb_std,blk_write_mb_mean,blk_write_mb_std,net_rx_mb_mean,net_rx_mb_std,net_tx_mb_mean,net_tx_mb_std
4,startup,,,,,robot1-sidecar,1.8954929292929292,0.13981581394972983,68.23943535353536,3.0816781547021623,0.0,0.0,0.016800000000000002,0.004184627953726726,0.07050000000000001,0.024226936340454686,0.07680000000000001,0.034457058622129805
4,startup,,,,,robot2-sidecar,1.9873969696969698,0.16893082972660498,58.53766388888889,9.61112054412429,0.0,0.0,0.013300000000000001,0.0030203016773531466,0.056400000000000006,0.013574485871172687,0.0576,0.01998999749874921
4,startup,,,,,robot3-sidecar,1.962139393939394,0.17120588064071474,58.58918383838384,9.909187930367944,0.0,0.0,0.0137,0.003093002855909885,0.05629999999999998,0.014847745807211134,0.057600000000000005,0.021464182050828545
4,startup,,,,,robot4-sidecar,1.9379777777777778,0.16499720910471688,58.42114444444444,10.20297602003612,0.0,0.0,0.0125,0.0019002923751652281,0.053000000000000005,0.01768866554856214,0.054200000000000005,0.026586546305310963
4,startup,,,,,secaas,6.800911111111111,0.5969005928087799,62.493700000000004,0.11020491015477765,0.0,0.0,0.1082,0.002529822128134713,0.0512,0.0013165611772087637,0.06589999999999999,0.0020789954839350276
8,startup,,,,,robot1-sidecar,2.2750401515151517,0.21591999251968785,68.15957777777778,2.884816121405495,0.0,0.0,0.016000000000000004,0.0020000000000000065,0.08060000000000002,0.018062853226073285,0.07869999999999998,0.024639850288145478
8,startup,,,,,robot2-sidecar,2.2916007575757575,0.15930701271987188,64.87217702020202,6.3489796357927295,0.0,0.0,0.015300000000000003,0.003622460796505913,0.07600000000000004,0.018433062083598004,0.07270000000000001,0.026021572247314766
8,startup,,,,,robot3-sidecar,2.2648055555555553,0.15399084290378026,64.92128055555555,6.504329265537039,0.0,0.0,0.015200000000000002,0.0020439612955674515,0.07060000000000001,0.014781369655376644,0.06559999999999998,0.022157015442819308
8,startup,,,,,robot4-sidecar,2.2541616161616163,0.2146219037113314,63.211526262626265,5.799632596038148,0.0,0.0,0.015300000000000003,0.0029458068127047555,0.07640000000000001,0.01616718212236682,0.0731,0.021199842766712516
8,startup,,,,,robot5-sidecar,2.309236111111111,0.2005949070735025,69.06332777777779,11.633505399687916,0.0,0.0,0.0153,0.0024517567397911075,0.0723,0.009202052911050754,0.0675,0.012712635883683272
8,startup,,,,,robot6-sidecar,2.3407,0.1645830084384979,65.17731388888889,6.402914503294335,0.0,0.0,0.014499999999999999,0.0020138409955990943,0.06920000000000001,0.0072541176046588786,0.06410000000000002,0.011713714658941936
8,startup,,,,,robot7-sidecar,2.279197222222222,0.14228347594053276,62.81356666666667,6.047967384792773,0.0,0.0,0.014499999999999999,0.0020138409955990943,0.06860000000000002,0.007136759301905419,0.06310000000000002,0.01156094959575363
8,startup,,,,,robot8-sidecar,2.2275388888888887,0.19197665270856543,63.365022222222215,6.048514115291511,0.0,0.0,0.014499999999999999,0.0020138409955990943,0.06870000000000001,0.0070245600890336615,0.06330000000000001,0.01138273546502189
8,startup,,,,,secaas,9.489721212121212,0.6064078676694873,62.60283838383839,0.16033132096010183,0.0,0.0,0.2734000000000001,0.0005163977794943658,0.087,0.0021602468994692684,0.10840000000000001,0.004060651288757664
16,startup,,,,,robot1-sidecar,2.176206132756133,0.12433803029326121,66.02290310245311,4.596401904917601,0.0,0.0,0.017800000000000003,0.003224903099319422,0.10090000000000002,0.01938183571170583,0.08230000000000004,0.022871865298270337
16,startup,,,,,robot10-sidecar,2.1780439393939393,0.15955289558526958,65.27750858585858,6.810057930696536,0.0,0.0,0.016400000000000005,0.001712697677155348,0.08530000000000001,0.010252912865240894,0.06430000000000001,0.012120231020900535
16,startup,,,,,robot11-sidecar,2.1536492424242426,0.133698023908209,65.1132712121212,6.934400282582606,0.0,0.0,0.016400000000000005,0.001712697677155348,0.08430000000000001,0.009832485839185195,0.06299999999999999,0.01177568115510378
16,startup,,,,,robot12-sidecar,2.094939898989899,0.21224908631882722,63.94930252525253,5.387726061987658,0.0,0.0,0.016400000000000005,0.001712697677155348,0.0873,0.014322088612427402,0.06800000000000002,0.016316317667360563
16,startup,,,,,robot13-sidecar,2.168278787878788,0.1637791089576636,67.20439797979797,3.940308326612281,0.0,0.0,0.016000000000000004,0.002403700850309323,0.08729999999999999,0.014205241599103111,0.06800000000000003,0.015556349186104042
16,startup,,,,,robot14-sidecar,2.1620742424242425,0.1145320924449106,64.08875505050506,6.472829377849188,0.0,0.0,0.016400000000000005,0.001712697677155348,0.0849,0.009468661761598385,0.06410000000000002,0.011985639555549599
16,startup,,,,,robot15-sidecar,2.1529242424242425,0.1398780416394706,63.72986313131313,5.267388290445252,0.0,0.0,0.016400000000000005,0.001712697677155348,0.08620000000000001,0.013854802616982876,0.06640000000000004,0.015123197780598894
16,startup,,,,,robot16-sidecar,2.184736616161616,0.13830731959831774,63.75076893939395,5.293100553675501,0.0,0.0,0.016000000000000004,0.002403700850309323,0.0869,0.014479487406519474,0.06820000000000002,0.016143798258842993
16,startup,,,,,robot2-sidecar,2.1832555555555553,0.12533781913559536,65.28819797979799,6.7388877714438085,0.0,0.0,0.0162,0.003614784456460253,0.09790000000000001,0.0225706298833979,0.07989999999999998,0.03184144748245244
16,startup,,,,,robot3-sidecar,2.1963502525252525,0.15964266596448495,65.65853914141414,5.625487436814253,0.0,0.0,0.015,0.002905932629027113,0.09059999999999999,0.016473547819998515,0.07220000000000001,0.017171035042898384
