n_robots,mode,variant,ssp_ms,iterq,cpu_limit,container,cpu_percent_mean,cpu_percent_std,mem_mb_mean,mem_mb_std,blk_read_mb_mean,blk_read_mb_std,blk_write_mb_mean,blk_write_mb_std,net_rx_mb_mean,net_rx_mb_std,net_tx_mb_mean,net_tx_mb_std
4,continuous,rr,,,,robot1-sidecar,2.0262237327291306,0.012610269502311188,69.48442534097472,3.842948116269446,0.0,0.0,0.367,0.0243310501211929,1.312,0.015620499351813347,1.171,0.0190525588832577
4,continuous,rr,,,,robot2-sidecar,2.0482869074592385,0.016301632854071144,66.8370882758008,2.1587168597067166,0.0,0.0,0.33699999999999997,0.0112694276695846,1.3159999999999998,0.01931320791582831,1.1766666666666667,0.025423086620891176
4,continuous,rr,,,,robot3-sidecar,2.052638033859,0.01233738342987299,65.70164573289141,2.3461083637197686,0.0,0.0,0.34366666666666673,0.01550268793897805,1.3073333333333335,0.018339392937972064,1.164,0.02381176179958121
4,continuous,rr,,,,robot4-sidecar,2.0381420765027323,0.03347558779248684,66.07311475409836,2.0944496194814652,0.0,0.0,0.33499999999999996,0.00793725393319378,1.2973333333333334,0.0011547005383791243,1.1516666666666666,0.0020816659994661747
4,continuous,rr,,,,secaas,5.400873650539784,0.11215066126821698,62.64573548358434,0.10414964201374835,0.0,0.0,0.9763333333333333,0.0005773502691899468,0.39166666666666666,0.0005773502691896262,0.5433333333333333,0.0011547005383792525
8,continuous,rr,,,,robot1-sidecar,2.2349726775956285,0.015571685221338538,68.69527322404372,3.5000436365511587,0.0,0.0,0.33466666666666667,0.01285820101465725,1.4636666666666667,0.02914332399252589,1.2019999999999997,0.048999999999999995
8,continuous,rr,,,,robot2-sidecar,2.2175725166099496,0.029334800166794472,65.18920387989907,2.3860604137154473,0.0,0.0,0.3393333333333333,0.015502687938977952,1.4303333333333332,0.02956912804485983,1.159,0.05204805471869248
8,continuous,rr,,,,robot3-sidecar,2.2409156242002743,0.05557207091693075,68.32346875235214,5.631650544629179,0.0,0.0,0.33966666666666673,0.02458319208998975,1.4313333333333331,0.04461315202194668,1.157333333333333,0.07128347167003957
8,continuous,rr,,,,robot4-sidecar,2.221472222222222,0.02235745506637723,66.25802502295684,2.0818097027130973,0.0,0.0,0.32433333333333336,0.012013880860626745,1.4283333333333335,0.028988503468329426,1.1546666666666665,0.05076744363598908
8,continuous,rr,,,,robot5-sidecar,2.2287532139577593,0.020795524286388957,65.98596602387512,1.8455867784941895,0.0,0.0,0.3503333333333334,0.0020816659994661846,1.4316666666666666,0.03036994127971507,1.1596666666666666,0.0527004111305913
8,continuous,rr,,,,robot6-sidecar,2.2372451790633607,0.01614985432681129,65.70336088154271,1.970837496955376,0.0,0.0,0.333,0.023895606290697025,1.4280000000000002,0.03459768778401267,1.153333333333333,0.05753549628997158
8,continuous,rr,,,,robot7-sidecar,2.2444021575572375,0.0043536700620235855,65.96083871565155,1.9446542639258868,0.0,0.0,0.36433333333333334,0.02411085509336685,1.4326666666666668,0.03164385143014877,1.1613333333333333,0.05444569159569327
