ssp_ms,n_total,n_detected,detection_rate,mean_s,median_s,std_s,min_s,max_s,p25_s,p75_s
1000,20,20,1.0,5.569,5.743,0.596,3.808,5.903,5.701,5.803
5000,20,20,1.0,5.432,5.736,1.053,3.696,7.969,5.263,5.921
10000,20,20,1.0,10.268,9.905,1.061,7.921,12.007,9.774,10.419
20000,20,20,1.0,20.044,19.831,0.665,19.669,22.003,19.758,19.954
