ssp_ms,n_total,n_detected,detection_rate,mean_s,median_s,std_s,min_s,max_s,p25_s,p75_s
1000,20,20,1.0,5.625,5.822,0.653,3.704,5.977,5.759,5.878
2000,20,20,1.0,7.609,7.794,0.656,5.681,7.969,7.773,7.839
5000,20,20,1.0,6.337,5.854,1.277,5.686,9.841,5.768,5.968
10000,20,20,1.0,9.622,9.707,1.675,7.685,11.941,7.905,11.709
20000,20,20,1.0,19.817,19.777,1.309,17.686,21.991,19.73,19.953
