trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot
1,2026-06-13T14:47:44.300Z,2026-06-13T14:47:52.218Z,7.917,1,10000,4,state_publisher,robot1
2,2026-06-13T14:48:28.281Z,2026-06-13T14:48:36.184Z,7.902,1,10000,4,state_publisher,robot1
3,2026-06-13T14:49:12.351Z,2026-06-13T14:49:22.088Z,9.736,1,10000,4,state_publisher,robot1
4,2026-06-13T14:49:56.200Z,2026-06-13T14:50:04.150Z,7.949,1,10000,4,state_publisher,robot1
5,2026-06-13T14:50:40.181Z,2026-06-13T14:50:48.131Z,7.950,1,10000,4,state_publisher,robot1
6,2026-06-13T14:51:24.252Z,2026-06-13T14:51:32.117Z,7.864,1,10000,4,state_publisher,robot1
7,2026-06-13T14:52:08.226Z,2026-06-13T14:52:16.185Z,7.959,1,10000,4,state_publisher,robot1
8,2026-06-13T14:52:52.360Z,2026-06-13T14:53:02.046Z,9.685,1,10000,4,state_publisher,robot1
9,2026-06-13T14:53:36.247Z,2026-06-13T14:53:44.153Z,7.905,1,10000,4,state_publisher,robot1
10,2026-06-13T14:54:20.243Z,2026-06-13T14:54:28.201Z,7.957,1,10000,4,state_publisher,robot1
11,2026-06-13T14:55:04.325Z,2026-06-13T14:55:12.034Z,7.709,1,10000,4,state_publisher,robot1
12,2026-06-13T14:57:26.201Z,2026-06-13T14:57:34.153Z,7.952,1,10000,4,state_publisher,robot1
13,2026-06-13T14:58:08.200Z,2026-06-13T14:58:20.157Z,11.956,1,10000,4,state_publisher,robot1
14,2026-06-13T14:58:54.311Z,2026-06-13T14:59:04.054Z,9.742,1,10000,4,state_publisher,robot1
15,2026-06-13T14:59:36.210Z,2026-06-13T14:59:48.151Z,11.940,1,10000,4,state_publisher,robot1
16,2026-06-13T15:00:22.317Z,2026-06-13T15:00:32.050Z,9.732,1,10000,4,state_publisher,robot1
17,2026-06-13T15:01:04.357Z,2026-06-13T15:01:16.108Z,11.750,1,10000,4,state_publisher,robot1
18,2026-06-13T15:01:50.312Z,2026-06-13T15:02:00.067Z,9.754,1,10000,4,state_publisher,robot1
19,2026-06-13T15:02:32.282Z,2026-06-13T15:02:44.215Z,11.932,1,10000,4,state_publisher,robot1
20,2026-06-13T15:03:18.289Z,2026-06-13T15:03:28.051Z,9.762,1,10000,4,state_publisher,robot1
21,2026-06-13T15:04:02.327Z,2026-06-13T15:04:12.219Z,9.892,1,10000,4,state_publisher,robot1
22,2026-06-13T15:04:46.309Z,2026-06-13T15:04:56.044Z,9.734,1,10000,4,state_publisher,robot1
23,2026-06-13T15:05:28.237Z,2026-06-13T15:05:40.055Z,11.817,1,10000,4,state_publisher,robot1
24,2026-06-13T15:06:14.296Z,2026-06-13T15:06:24.047Z,9.750,1,10000,4,state_publisher,robot1
25,2026-06-13T15:06:56.243Z,2026-06-13T15:07:08.169Z,11.926,1,10000,4,state_publisher,robot1
26,2026-06-13T15:07:42.370Z,2026-06-13T15:07:52.063Z,9.693,1,10000,4,state_publisher,robot1
