trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot
1,2026-06-14T10:22:11.239Z,2026-06-14T10:22:17.132Z,5.893,1,1000,4,state_publisher,robot1
2,2026-06-14T10:22:43.374Z,2026-06-14T10:22:47.136Z,3.762,1,1000,4,state_publisher,robot1
3,2026-06-14T10:23:15.298Z,2026-06-14T10:23:21.056Z,5.758,1,1000,4,state_publisher,robot1
4,2026-06-14T10:23:49.295Z,2026-06-14T10:23:55.024Z,5.728,1,1000,4,state_publisher,robot1
5,2026-06-14T10:24:21.262Z,2026-06-14T10:24:25.093Z,3.831,1,1000,4,state_publisher,robot1
6,2026-06-14T10:24:53.222Z,2026-06-14T10:24:57.057Z,3.835,1,1000,4,state_publisher,robot1
7,2026-06-14T10:25:23.233Z,2026-06-14T10:25:29.060Z,5.826,1,1000,4,state_publisher,robot1
8,2026-06-14T10:25:55.237Z,2026-06-14T10:26:01.199Z,5.962,1,1000,4,state_publisher,robot1
9,2026-06-14T10:26:29.229Z,2026-06-14T10:26:33.151Z,3.922,1,1000,4,state_publisher,robot1
10,2026-06-14T10:27:01.220Z,2026-06-14T10:27:05.033Z,3.813,1,1000,4,state_publisher,robot1
11,2026-06-14T10:27:31.224Z,2026-06-14T10:27:37.212Z,5.988,1,1000,4,state_publisher,robot1
12,2026-06-14T10:28:05.292Z,2026-06-14T10:28:11.053Z,5.761,1,1000,4,state_publisher,robot1
13,2026-06-14T10:28:35.259Z,2026-06-14T10:28:41.190Z,5.930,1,1000,4,state_publisher,robot1
14,2026-06-14T10:29:09.303Z,2026-06-14T10:29:15.027Z,5.723,1,1000,4,state_publisher,robot1
15,2026-06-14T10:29:39.283Z,2026-06-14T10:29:45.226Z,5.943,1,1000,4,state_publisher,robot1
16,2026-06-14T10:30:13.319Z,2026-06-14T10:30:17.057Z,3.738,1,1000,4,state_publisher,robot1
17,2026-06-14T10:30:45.273Z,2026-06-14T10:30:51.221Z,5.948,1,1000,4,state_publisher,robot1
18,2026-06-14T10:31:19.302Z,2026-06-14T10:31:25.034Z,5.732,1,1000,4,state_publisher,robot1
19,2026-06-14T10:31:51.280Z,2026-06-14T10:31:57.106Z,5.825,1,1000,4,state_publisher,robot1
