trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot
1,2026-06-13T13:27:50.387Z,2026-06-13T13:28:10.110Z,19.722,1,20000,4,state_publisher,robot1
2,2026-06-13T13:28:54.294Z,2026-06-13T13:29:14.087Z,19.793,1,20000,4,state_publisher,robot1
3,2026-06-13T13:29:58.327Z,2026-06-13T13:30:16.220Z,17.892,1,20000,4,state_publisher,robot1
4,2026-06-13T13:30:58.182Z,2026-06-13T13:31:20.160Z,21.977,1,20000,4,state_publisher,robot1
5,2026-06-13T13:32:02.208Z,2026-06-13T13:32:24.207Z,21.998,1,20000,4,state_publisher,robot1
6,2026-06-13T13:33:06.381Z,2026-06-13T13:33:28.086Z,21.704,1,20000,4,state_publisher,robot1
7,2026-06-13T13:34:10.304Z,2026-06-13T13:34:32.059Z,21.755,1,20000,4,state_publisher,robot1
8,2026-06-13T13:35:14.367Z,2026-06-13T13:35:36.102Z,21.735,1,20000,4,state_publisher,robot1
9,2026-06-13T13:36:18.363Z,2026-06-13T13:36:40.125Z,21.762,1,20000,4,state_publisher,robot1
10,2026-06-13T13:37:22.176Z,2026-06-13T13:37:44.148Z,21.971,1,20000,4,state_publisher,robot1
11,2026-06-13T13:38:26.244Z,2026-06-13T13:38:48.025Z,21.780,1,20000,4,state_publisher,robot1
12,2026-06-13T13:39:30.197Z,2026-06-13T13:39:48.150Z,17.952,1,20000,4,state_publisher,robot1
13,2026-06-13T13:40:32.274Z,2026-06-13T13:40:52.032Z,19.757,1,20000,4,state_publisher,robot1
14,2026-06-13T13:41:36.200Z,2026-06-13T13:41:54.137Z,17.937,1,20000,4,state_publisher,robot1
15,2026-06-13T13:42:38.273Z,2026-06-13T13:42:58.027Z,19.753,1,20000,4,state_publisher,robot1
16,2026-06-13T13:43:38.314Z,2026-06-13T13:44:00.043Z,21.728,1,20000,4,state_publisher,robot1
17,2026-06-13T13:44:42.359Z,2026-06-13T13:45:02.072Z,19.713,1,20000,4,state_publisher,robot1
18,2026-06-13T13:45:44.248Z,2026-06-13T13:46:02.183Z,17.934,1,20000,4,state_publisher,robot1
19,2026-06-13T13:46:46.294Z,2026-06-13T13:47:06.094Z,19.800,1,20000,4,state_publisher,robot1
20,2026-06-13T13:47:50.280Z,2026-06-13T13:48:10.039Z,19.759,1,20000,4,state_publisher,robot1
21,2026-06-13T13:48:50.269Z,2026-06-13T13:49:12.078Z,21.808,1,20000,4,state_publisher,robot1
22,2026-06-13T13:49:54.307Z,2026-06-13T13:50:16.065Z,21.758,1,20000,4,state_publisher,robot1
23,2026-06-13T13:50:58.300Z,2026-06-13T13:51:16.185Z,17.884,1,20000,4,state_publisher,robot1
24,2026-06-13T13:52:00.345Z,2026-06-13T13:52:20.073Z,19.728,1,20000,4,state_publisher,robot1
25,2026-06-13T13:53:02.313Z,2026-06-13T13:53:20.197Z,17.883,1,20000,4,state_publisher,robot1
26,2026-06-13T13:54:04.303Z,2026-06-13T13:54:26.210Z,21.907,1,20000,4,state_publisher,robot1
27,2026-06-13T13:55:12.161Z,2026-06-13T13:55:32.146Z,19.984,1,20000,4,state_publisher,robot1
28,2026-06-13T13:56:18.192Z,2026-06-13T13:56:36.169Z,17.976,1,20000,4,state_publisher,robot1
29,2026-06-13T13:57:20.222Z,2026-06-13T13:57:38.200Z,17.978,1,20000,4,state_publisher,robot1
30,2026-06-13T13:58:24.210Z,2026-06-13T13:58:42.194Z,17.983,1,20000,4,state_publisher,robot1
