N,ssp_ms,iterq,run,tx_per_block,total_tx,gas_used_pct,avg_gas_per_tx,block_time_s,block_time_std,total_bytes,bytes_per_s
4,20000,1,1,1.1655629139072847,176.0,0.8367748344370861,116543.90909090909,2.0,0.0,159262,530.8733333333333
4,20000,2,1,0.5298013245033113,80.0,0.3893576158940398,119304.6,2.0,0.0,141488,471.62666666666667
4,20000,4,1,0.23841059602649006,36.0,0.16778145695364238,114243.33333333333,2.0,0.0,133447,444.8233333333333
4,20000,8,1,0.07947019867549669,12.0,0.0559271523178808,114243.33333333333,2.0,0.0,129063,430.21
8,20000,1,1,2.3311258278145695,352.0,1.7694238410596026,123219.29545454546,2.0,0.0,191693,638.9766666666667
8,20000,2,1,1.0596026490066226,160.0,0.8225629139072848,126020.85,2.0,0.0,156303,521.01
8,20000,4,1,0.4768211920529801,72.0,0.3550728476821192,120884.66666666667,2.0,0.0,140100,467.0
8,20000,8,1,0.15894039735099338,24.0,0.11835761589403973,120884.66666666667,2.0,0.0,131271,437.57
16,20000,1,1,4.662251655629139,704.0,3.9263311258278146,136716.14772727274,2.0,0.0,256712,855.7066666666667
16,20000,2,1,2.119205298013245,320.0,1.8246225165562915,139774.325,2.0,0.0,185817,619.39
16,20000,4,1,0.9536423841059603,144.0,0.7881456953642384,134167.66666666666,2.0,0.0,153330,511.1
16,20000,8,1,0.31788079470198677,48.0,0.2627152317880795,134167.66666666666,2.0,0.0,135703,452.3433333333333
32,20000,1,1,9.397350993377483,1419.0,9.43212582781457,162943.7159971811,2.0,0.0,388898,1296.3266666666666
32,20000,2,1,4.23841059602649,640.0,4.37153642384106,167441.5875,2.0,0.0,245090,816.9666666666667
32,20000,4,1,1.9072847682119205,288.0,1.888384105960265,160733.66666666666,2.0,0.0,179974,599.9133333333333
32,20000,8,1,0.6357615894039735,96.0,0.6294503311258278,160733.66666666666,2.0,0.0,144586,481.9533333333333
64,20000,1,1,18.721854304635762,2827.0,25.059596026490066,217300.70569508313,2.0,0.0,649551,2165.17
64,20000,2,1,8.473333333333333,1271.0,11.67134,223615.1974822974,2.0067114093959733,0.08192319205190403,361491,1209.0
64,20000,4,1,3.7697368421052633,573.0,4.966131578947369,213866.66666666666,2.0,0.0,233523,773.2549668874173
64,20000,8,1,1.271523178807947,192.0,1.6750596026490068,213866.66666666666,2.0,0.0,162323,541.0766666666667
