trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot
1,2026-05-29T08:45:14.215Z,2026-05-29T08:45:20.144Z,5.928,1,5000,4,state_publisher,robot1
2,2026-05-29T08:45:42.376Z,2026-05-29T08:45:48.116Z,5.740,1,5000,4,state_publisher,robot1
3,2026-05-29T08:46:10.354Z,2026-05-29T08:46:16.066Z,5.711,1,5000,4,state_publisher,robot1
4,2026-05-29T08:46:38.191Z,2026-05-29T08:46:42.174Z,3.983,1,5000,4,state_publisher,robot1
5,2026-05-29T08:47:04.337Z,2026-05-29T08:47:10.071Z,5.733,1,5000,4,state_publisher,robot1
6,2026-05-29T08:47:32.260Z,2026-05-29T08:47:38.196Z,5.935,1,5000,4,state_publisher,robot1
7,2026-05-29T08:48:00.233Z,2026-05-29T08:48:06.171Z,5.937,1,5000,4,state_publisher,robot1
8,2026-05-29T08:48:28.409Z,2026-05-29T08:48:32.105Z,3.696,1,5000,4,state_publisher,robot1
9,2026-05-29T08:48:54.182Z,2026-05-29T08:48:58.153Z,3.970,1,5000,4,state_publisher,robot1
10,2026-05-29T08:49:20.202Z,2026-05-29T08:49:26.137Z,5.934,1,5000,4,state_publisher,robot1
11,2026-05-29T08:49:48.328Z,2026-05-29T08:49:54.028Z,5.699,1,5000,4,state_publisher,robot1
12,2026-05-29T08:50:16.311Z,2026-05-29T08:50:22.208Z,5.897,1,5000,4,state_publisher,robot1
13,2026-05-29T08:50:42.178Z,2026-05-29T08:50:50.147Z,7.969,1,5000,4,state_publisher,robot1
14,2026-05-29T08:51:12.354Z,2026-05-29T08:51:18.065Z,5.711,1,5000,4,state_publisher,robot1
15,2026-05-29T08:51:40.262Z,2026-05-29T08:51:46.017Z,5.754,1,5000,4,state_publisher,robot1
16,2026-05-29T08:52:08.424Z,2026-05-29T08:52:14.115Z,5.690,1,5000,4,state_publisher,robot1
17,2026-05-29T08:52:36.343Z,2026-05-29T08:52:40.088Z,3.744,1,5000,4,state_publisher,robot1
18,2026-05-29T08:53:02.261Z,2026-05-29T08:53:06.159Z,3.898,1,5000,4,state_publisher,robot1
19,2026-05-29T08:53:28.261Z,2026-05-29T08:53:34.057Z,5.796,1,5000,4,state_publisher,robot1
20,2026-05-29T08:53:56.236Z,2026-05-29T08:54:02.156Z,5.919,1,5000,4,state_publisher,robot1
