trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot
1,2026-05-29T08:54:38.330Z,2026-05-29T08:54:48.110Z,9.779,1,10000,4,state_publisher,robot1
2,2026-05-29T08:55:16.270Z,2026-05-29T08:55:26.180Z,9.910,1,10000,4,state_publisher,robot1
3,2026-05-29T08:55:52.216Z,2026-05-29T08:56:04.124Z,11.908,1,10000,4,state_publisher,robot1
4,2026-05-29T08:56:32.249Z,2026-05-29T08:56:42.030Z,9.780,1,10000,4,state_publisher,robot1
5,2026-05-29T08:57:10.206Z,2026-05-29T08:57:20.194Z,9.988,1,10000,4,state_publisher,robot1
6,2026-05-29T08:57:48.269Z,2026-05-29T08:57:58.165Z,9.895,1,10000,4,state_publisher,robot1
7,2026-05-29T08:58:26.291Z,2026-05-29T08:58:36.082Z,9.791,1,10000,4,state_publisher,robot1
8,2026-05-29T08:59:02.177Z,2026-05-29T08:59:14.185Z,12.007,1,10000,4,state_publisher,robot1
9,2026-05-29T08:59:42.325Z,2026-05-29T08:59:52.069Z,9.744,1,10000,4,state_publisher,robot1
10,2026-05-29T09:00:20.185Z,2026-05-29T09:00:30.156Z,9.970,1,10000,4,state_publisher,robot1
11,2026-05-29T09:00:56.245Z,2026-05-29T09:01:08.147Z,11.902,1,10000,4,state_publisher,robot1
12,2026-05-29T09:01:36.317Z,2026-05-29T09:01:46.076Z,9.759,1,10000,4,state_publisher,robot1
13,2026-05-29T09:02:14.264Z,2026-05-29T09:02:22.185Z,7.921,1,10000,4,state_publisher,robot1
14,2026-05-29T09:02:50.162Z,2026-05-29T09:03:00.141Z,9.979,1,10000,4,state_publisher,robot1
15,2026-05-29T09:03:28.277Z,2026-05-29T09:03:38.032Z,9.755,1,10000,4,state_publisher,robot1
16,2026-05-29T09:04:04.379Z,2026-05-29T09:04:16.093Z,11.714,1,10000,4,state_publisher,robot1
17,2026-05-29T09:04:44.305Z,2026-05-29T09:04:54.206Z,9.900,1,10000,4,state_publisher,robot1
18,2026-05-29T09:05:20.206Z,2026-05-29T09:05:32.169Z,11.963,1,10000,4,state_publisher,robot1
19,2026-05-29T09:06:00.336Z,2026-05-29T09:06:10.085Z,9.749,1,10000,4,state_publisher,robot1
20,2026-05-29T09:06:38.190Z,2026-05-29T09:06:48.142Z,9.952,1,10000,4,state_publisher,robot1
