trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot,contract,verifier,verifier_addr,tx_path
1,2026-06-17T12:14:13.626Z,2026-06-17T12:14:19.103Z,5.476,1,1000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
2,2026-06-17T12:14:37.564Z,2026-06-17T12:14:43.198Z,5.634,1,1000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
3,2026-06-17T12:15:01.740Z,2026-06-17T12:15:07.231Z,5.490,1,1000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
4,2026-06-17T12:15:25.600Z,2026-06-17T12:15:31.125Z,5.525,1,1000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
5,2026-06-17T12:15:49.577Z,2026-06-17T12:15:55.035Z,5.458,1,1000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
6,2026-06-17T12:16:13.404Z,2026-06-17T12:16:19.161Z,5.756,1,1000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
7,2026-06-17T12:16:37.576Z,2026-06-17T12:16:43.115Z,5.538,1,1000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
8,2026-06-17T12:17:01.496Z,2026-06-17T12:17:07.215Z,5.719,1,1000,4,state_publisher,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
9,2026-06-17T12:17:25.805Z,2026-06-17T12:17:31.036Z,5.231,1,1000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
10,2026-06-17T12:17:49.518Z,2026-06-17T12:17:55.171Z,5.652,1,1000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
11,2026-06-17T12:18:13.602Z,2026-06-17T12:18:19.090Z,5.487,1,1000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
12,2026-06-17T12:18:37.609Z,2026-06-17T12:18:43.047Z,5.437,1,1000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
13,2026-06-17T12:19:01.517Z,2026-06-17T12:19:07.187Z,5.669,1,1000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
14,2026-06-17T12:19:25.693Z,2026-06-17T12:19:31.192Z,5.499,1,1000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
15,2026-06-17T12:19:49.693Z,2026-06-17T12:19:55.142Z,5.449,1,1000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
16,2026-06-17T12:20:13.633Z,2026-06-17T12:20:19.141Z,5.507,1,1000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
17,2026-06-17T12:20:37.652Z,2026-06-17T12:20:43.144Z,5.492,1,1000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
18,2026-06-17T12:21:01.607Z,2026-06-17T12:21:07.132Z,5.525,1,1000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
19,2026-06-17T12:21:25.638Z,2026-06-17T12:21:31.130Z,5.492,1,1000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
20,2026-06-17T12:21:49.511Z,2026-06-17T12:21:55.040Z,5.529,1,1000,4,state_publisher,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
