trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot,contract,verifier,verifier_addr,tx_path
1,2026-06-21T12:46:47.627Z,2026-06-21T12:47:53.116Z,65.489,1,60000,4,state_publisher,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
2,2026-06-21T12:49:05.423Z,2026-06-21T12:50:11.197Z,65.773,1,60000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
3,2026-06-21T12:51:23.556Z,2026-06-21T12:52:29.100Z,65.543,1,60000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
4,2026-06-21T12:53:41.516Z,2026-06-21T12:54:47.017Z,65.500,1,60000,4,state_publisher,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
5,2026-06-21T12:55:59.515Z,2026-06-21T12:57:05.197Z,65.681,1,60000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
6,2026-06-21T12:58:17.611Z,2026-06-21T12:59:23.165Z,65.554,1,60000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
7,2026-06-21T13:00:35.514Z,2026-06-21T13:01:41.059Z,65.544,1,60000,4,state_publisher,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
8,2026-06-21T13:02:53.492Z,2026-06-21T13:03:59.175Z,65.683,1,60000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
9,2026-06-21T13:05:11.609Z,2026-06-21T13:06:17.097Z,65.488,1,60000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
10,2026-06-21T13:07:29.511Z,2026-06-21T13:08:35.062Z,65.550,1,60000,4,state_publisher,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
11,2026-06-21T13:09:47.571Z,2026-06-21T13:10:53.065Z,65.494,1,60000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
12,2026-06-21T13:12:05.420Z,2026-06-21T13:13:11.148Z,65.728,1,60000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
13,2026-06-21T13:14:23.499Z,2026-06-21T13:15:29.014Z,65.515,1,60000,4,state_publisher,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
14,2026-06-21T13:16:41.351Z,2026-06-21T13:17:47.117Z,65.766,1,60000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
15,2026-06-21T13:18:59.601Z,2026-06-21T13:20:05.130Z,65.528,1,60000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
16,2026-06-21T13:21:17.608Z,2026-06-21T13:22:23.112Z,65.504,1,60000,4,state_publisher,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
17,2026-06-21T13:23:35.495Z,2026-06-21T13:24:41.020Z,65.525,1,60000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
18,2026-06-21T13:25:53.436Z,2026-06-21T13:26:59.158Z,65.721,1,60000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
19,2026-06-21T13:28:11.533Z,2026-06-21T13:29:17.046Z,65.512,1,60000,4,state_publisher,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
20,2026-06-21T13:30:29.400Z,2026-06-21T13:31:35.134Z,65.734,1,60000,4,state_publisher,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
