trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot
1,2026-06-14T08:28:32.305Z,2026-06-14T08:28:42.149Z,9.843,1,5000,4,state_publisher,robot1
2,2026-06-14T08:29:12.228Z,2026-06-14T08:29:18.028Z,5.800,1,5000,4,state_publisher,robot1
3,2026-06-14T08:29:48.377Z,2026-06-14T08:29:52.112Z,3.734,1,5000,4,state_publisher,robot1
4,2026-06-14T08:30:24.288Z,2026-06-14T08:30:34.174Z,9.885,1,5000,4,state_publisher,robot1
5,2026-06-14T08:31:04.284Z,2026-06-14T08:31:10.199Z,5.914,1,5000,4,state_publisher,robot1
6,2026-06-14T08:31:42.401Z,2026-06-14T08:31:52.201Z,9.800,1,5000,4,state_publisher,robot1
7,2026-06-14T08:32:24.362Z,2026-06-14T08:32:34.188Z,9.826,1,5000,4,state_publisher,robot1
8,2026-06-14T08:33:04.285Z,2026-06-14T08:33:10.217Z,5.932,1,5000,4,state_publisher,robot1
9,2026-06-14T08:33:42.236Z,2026-06-14T08:33:52.069Z,9.833,1,5000,4,state_publisher,robot1
10,2026-06-14T08:34:24.362Z,2026-06-14T08:34:34.167Z,9.804,1,5000,4,state_publisher,robot1
11,2026-06-14T08:35:04.283Z,2026-06-14T08:35:10.052Z,5.768,1,5000,4,state_publisher,robot1
12,2026-06-14T08:35:42.351Z,2026-06-14T08:35:52.158Z,9.806,1,5000,4,state_publisher,robot1
13,2026-06-14T08:36:24.273Z,2026-06-14T08:36:34.153Z,9.879,1,5000,4,state_publisher,robot1
14,2026-06-14T08:37:06.300Z,2026-06-14T08:37:16.184Z,9.883,1,5000,4,state_publisher,robot1
15,2026-06-14T08:37:48.296Z,2026-06-14T08:37:58.155Z,9.859,1,5000,4,state_publisher,robot1
16,2026-06-14T08:38:30.358Z,2026-06-14T08:38:40.153Z,9.794,1,5000,4,state_publisher,robot1
17,2026-06-14T08:39:12.317Z,2026-06-14T08:39:22.179Z,9.862,1,5000,4,state_publisher,robot1
18,2026-06-14T08:39:54.372Z,2026-06-14T08:40:04.195Z,9.822,1,5000,4,state_publisher,robot1
19,2026-06-14T08:40:36.172Z,2026-06-14T08:40:46.043Z,9.871,1,5000,4,state_publisher,robot1
20,2026-06-14T08:41:16.378Z,2026-06-14T08:41:20.094Z,3.716,1,5000,4,state_publisher,robot1
21,2026-06-14T08:41:52.296Z,2026-06-14T08:42:02.183Z,9.887,1,5000,4,state_publisher,robot1
22,2026-06-14T08:42:34.361Z,2026-06-14T08:42:44.213Z,9.852,1,5000,4,state_publisher,robot1
23,2026-06-14T08:43:16.324Z,2026-06-14T08:43:26.193Z,9.869,1,5000,4,state_publisher,robot1
24,2026-06-14T08:44:02.242Z,2026-06-14T08:44:08.051Z,5.809,1,5000,4,state_publisher,robot1
25,2026-06-14T08:44:38.356Z,2026-06-14T08:44:48.190Z,9.833,1,5000,4,state_publisher,robot1
26,2026-06-14T08:45:20.274Z,2026-06-14T08:45:30.157Z,9.883,1,5000,4,state_publisher,robot1
27,2026-06-14T08:46:00.333Z,2026-06-14T08:46:06.221Z,5.887,1,5000,4,state_publisher,robot1
28,2026-06-14T08:46:38.312Z,2026-06-14T08:46:48.187Z,9.874,1,5000,4,state_publisher,robot1
29,2026-06-14T08:47:20.344Z,2026-06-14T08:47:30.142Z,9.798,1,5000,4,state_publisher,robot1
30,2026-06-14T08:48:00.192Z,2026-06-14T08:48:06.181Z,5.989,1,5000,4,state_publisher,robot1
