trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot,contract,verifier,verifier_addr,tx_path
1,2026-06-17T13:28:49.548Z,2026-06-17T13:29:15.085Z,25.537,1,20000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
2,2026-06-17T13:29:36.418Z,2026-06-17T13:30:01.106Z,24.688,1,20000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
3,2026-06-17T13:30:22.396Z,2026-06-17T13:30:47.106Z,24.709,1,20000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
4,2026-06-17T13:31:08.408Z,2026-06-17T13:31:33.074Z,24.666,1,20000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
5,2026-06-17T13:31:54.426Z,2026-06-17T13:32:19.092Z,24.666,1,20000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
6,2026-06-17T13:32:40.338Z,2026-06-17T13:33:05.028Z,24.689,1,20000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
7,2026-06-17T13:33:26.320Z,2026-06-17T13:33:51.014Z,24.694,1,20000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
8,2026-06-17T13:34:12.344Z,2026-06-17T13:34:37.022Z,24.677,1,20000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
9,2026-06-17T13:34:58.309Z,2026-06-17T13:35:23.034Z,24.725,1,20000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
10,2026-06-17T13:35:44.423Z,2026-06-17T13:36:09.115Z,24.691,1,20000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
11,2026-06-17T13:36:30.516Z,2026-06-17T13:36:55.159Z,24.642,1,20000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
12,2026-06-17T13:37:16.503Z,2026-06-17T13:37:41.025Z,24.521,1,20000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
13,2026-06-17T13:38:02.301Z,2026-06-17T13:38:27.019Z,24.718,1,20000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
14,2026-06-17T13:38:48.434Z,2026-06-17T13:39:13.083Z,24.649,1,20000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
15,2026-06-17T13:39:34.406Z,2026-06-17T13:39:59.083Z,24.677,1,20000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
16,2026-06-17T13:40:20.424Z,2026-06-17T13:40:45.108Z,24.684,1,20000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
17,2026-06-17T13:41:06.476Z,2026-06-17T13:41:31.169Z,24.692,1,20000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
18,2026-06-17T13:41:52.521Z,2026-06-17T13:42:17.185Z,24.663,1,20000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
19,2026-06-17T13:42:38.510Z,2026-06-17T13:43:03.039Z,24.529,1,20000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
20,2026-06-17T13:43:24.373Z,2026-06-17T13:43:49.085Z,24.712,1,20000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
