trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot,contract,verifier,verifier_addr,tx_path
1,2026-06-17T11:38:26.566Z,2026-06-17T11:38:36.107Z,9.541,1,5000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
2,2026-06-17T11:38:42.331Z,2026-06-17T11:38:52.069Z,9.738,1,5000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
3,2026-06-17T11:38:58.450Z,2026-06-17T11:39:08.141Z,9.690,1,5000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
4,2026-06-17T11:39:14.491Z,2026-06-17T11:39:24.127Z,9.635,1,5000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
5,2026-06-17T11:39:30.462Z,2026-06-17T11:39:40.178Z,9.715,1,5000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
6,2026-06-17T11:39:46.511Z,2026-06-17T11:39:56.016Z,9.505,1,5000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
7,2026-06-17T11:40:07.234Z,2026-06-17T11:40:18.177Z,10.943,1,5000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
8,2026-06-17T11:40:24.672Z,2026-06-17T11:40:34.132Z,9.460,1,5000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
9,2026-06-17T11:40:40.349Z,2026-06-17T11:40:50.087Z,9.737,1,5000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
10,2026-06-17T11:40:56.354Z,2026-06-17T11:41:06.098Z,9.743,1,5000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
11,2026-06-17T11:41:12.391Z,2026-06-17T11:41:22.128Z,9.737,1,5000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
12,2026-06-17T11:41:28.453Z,2026-06-17T11:41:38.097Z,9.643,1,5000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
13,2026-06-17T11:41:44.484Z,2026-06-17T11:41:54.168Z,9.683,1,5000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
14,2026-06-17T11:42:00.486Z,2026-06-17T11:42:10.188Z,9.701,1,5000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
15,2026-06-17T11:42:16.572Z,2026-06-17T11:42:26.050Z,9.477,1,5000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
16,2026-06-17T11:42:32.393Z,2026-06-17T11:42:42.051Z,9.658,1,5000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
17,2026-06-17T11:42:48.355Z,2026-06-17T11:42:58.112Z,9.757,1,5000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
18,2026-06-17T11:43:04.441Z,2026-06-17T11:43:14.163Z,9.721,1,5000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
19,2026-06-17T11:43:20.447Z,2026-06-17T11:43:30.132Z,9.685,1,5000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
20,2026-06-17T11:43:36.398Z,2026-06-17T11:43:46.122Z,9.724,1,5000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
