trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot,contract,verifier,verifier_addr,tx_path
1,2026-06-17T12:00:42.589Z,2026-06-17T12:00:50.126Z,7.537,1,2000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
2,2026-06-17T12:00:57.548Z,2026-06-17T12:01:04.069Z,6.521,1,2000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
3,2026-06-17T12:01:11.569Z,2026-06-17T12:01:18.214Z,6.644,1,2000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
4,2026-06-17T12:01:25.599Z,2026-06-17T12:01:32.149Z,6.549,1,2000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
5,2026-06-17T12:01:39.589Z,2026-06-17T12:01:46.073Z,6.484,1,2000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
6,2026-06-17T12:01:53.526Z,2026-06-17T12:02:00.059Z,6.532,1,2000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
7,2026-06-17T12:02:07.472Z,2026-06-17T12:02:14.207Z,6.735,1,2000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
8,2026-06-17T12:02:21.616Z,2026-06-17T12:02:28.139Z,6.523,1,2000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
9,2026-06-17T12:02:35.646Z,2026-06-17T12:02:42.115Z,6.469,1,2000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
10,2026-06-17T12:02:49.537Z,2026-06-17T12:02:56.072Z,6.535,1,2000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
11,2026-06-17T12:03:03.569Z,2026-06-17T12:03:10.053Z,6.484,1,2000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
12,2026-06-17T12:03:17.569Z,2026-06-17T12:03:24.187Z,6.618,1,2000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
13,2026-06-17T12:03:31.607Z,2026-06-17T12:03:38.144Z,6.536,1,2000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
14,2026-06-17T12:03:45.616Z,2026-06-17T12:03:52.072Z,6.455,1,2000,4,sidecar,robot1,rr,robot3,0xd58dF39bC1EA89717DfB2C68Fe80423DC953b55E,3tx-peer
15,2026-06-17T12:03:59.608Z,2026-06-17T12:04:06.050Z,6.441,1,2000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
16,2026-06-17T12:04:13.444Z,2026-06-17T12:04:20.182Z,6.738,1,2000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
17,2026-06-17T12:04:27.699Z,2026-06-17T12:04:34.133Z,6.433,1,2000,4,sidecar,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
18,2026-06-17T12:04:41.606Z,2026-06-17T12:04:48.118Z,6.512,1,2000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
19,2026-06-17T12:04:55.650Z,2026-06-17T12:05:02.092Z,6.442,1,2000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
20,2026-06-17T12:05:09.579Z,2026-06-17T12:05:16.054Z,6.474,1,2000,4,sidecar,robot1,rr,robot4,0xDCE8a9E9AA18b63433DdbEEA5f05EC59266cD27b,3tx-peer
