trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot
1,2026-06-13T12:41:38.234Z,2026-06-13T12:41:44.102Z,5.868,1,1000,4,sidecar,robot1
2,2026-06-13T12:42:00.174Z,2026-06-13T12:42:06.081Z,5.907,1,1000,4,sidecar,robot1
3,2026-06-13T12:42:20.344Z,2026-06-13T12:42:26.115Z,5.771,1,1000,4,sidecar,robot1
4,2026-06-13T12:42:40.173Z,2026-06-13T12:42:46.096Z,5.923,1,1000,4,sidecar,robot1
5,2026-06-13T12:43:02.261Z,2026-06-13T12:43:08.211Z,5.949,1,1000,4,sidecar,robot1
6,2026-06-13T12:43:22.269Z,2026-06-13T12:43:28.063Z,5.794,1,1000,4,sidecar,robot1
7,2026-06-13T12:43:44.319Z,2026-06-13T12:43:50.039Z,5.720,1,1000,4,sidecar,robot1
8,2026-06-13T12:44:06.229Z,2026-06-13T12:44:12.062Z,5.832,1,1000,4,sidecar,robot1
9,2026-06-13T12:44:26.370Z,2026-06-13T12:44:30.074Z,3.704,1,1000,4,sidecar,robot1
10,2026-06-13T12:44:46.226Z,2026-06-13T12:44:52.203Z,5.977,1,1000,4,sidecar,robot1
11,2026-06-13T12:46:42.192Z,2026-06-13T12:46:48.113Z,5.920,1,1000,4,sidecar,robot1
12,2026-06-13T12:47:04.272Z,2026-06-13T12:47:10.079Z,5.807,1,1000,4,sidecar,robot1
13,2026-06-13T12:47:24.316Z,2026-06-13T12:47:30.137Z,5.821,1,1000,4,sidecar,robot1
14,2026-06-13T12:47:44.297Z,2026-06-13T12:47:50.120Z,5.823,1,1000,4,sidecar,robot1
15,2026-06-13T12:48:04.361Z,2026-06-13T12:48:10.083Z,5.722,1,1000,4,sidecar,robot1
16,2026-06-13T12:48:22.351Z,2026-06-13T12:48:28.213Z,5.862,1,1000,4,sidecar,robot1
17,2026-06-13T12:48:42.350Z,2026-06-13T12:48:46.104Z,3.753,1,1000,4,sidecar,robot1
18,2026-06-13T12:49:00.254Z,2026-06-13T12:49:06.099Z,5.845,1,1000,4,sidecar,robot1
19,2026-06-13T12:49:20.347Z,2026-06-13T12:49:26.044Z,5.696,1,1000,4,sidecar,robot1
20,2026-06-13T12:51:14.341Z,2026-06-13T12:51:20.156Z,5.814,1,1000,4,sidecar,robot1
