t_rel_s,wall_iso,pct,completed,total,done_robot1,done_robot2,done_robot3,done_robot4,healthy,event
0.00,2026-06-19T17:49:38Z,0.00,0,32,0,0,0,0,4,mission_start
0.50,2026-06-19T17:49:39Z,0.00,0,32,0,0,0,0,4,
1.00,2026-06-19T17:49:39Z,0.00,0,32,0,0,0,0,4,
1.50,2026-06-19T17:49:40Z,0.00,0,32,0,0,0,0,4,
2.00,2026-06-19T17:49:40Z,0.00,0,32,0,0,0,0,4,
2.50,2026-06-19T17:49:41Z,0.00,0,32,0,0,0,0,4,
3.00,2026-06-19T17:49:41Z,0.00,0,32,0,0,0,0,4,
3.50,2026-06-19T17:49:42Z,0.00,0,32,0,0,0,0,4,
4.00,2026-06-19T17:49:42Z,0.00,0,32,0,0,0,0,4,
4.50,2026-06-19T17:49:43Z,0.00,0,32,0,0,0,0,4,
5.00,2026-06-19T17:49:43Z,0.00,0,32,0,0,0,0,4,
5.50,2026-06-19T17:49:44Z,0.00,0,32,0,0,0,0,4,
6.00,2026-06-19T17:49:44Z,0.00,0,32,0,0,0,0,4,
6.50,2026-06-19T17:49:45Z,0.00,0,32,0,0,0,0,4,
7.00,2026-06-19T17:49:45Z,0.00,0,32,0,0,0,0,4,
7.50,2026-06-19T17:49:46Z,0.00,0,32,0,0,0,0,4,
8.00,2026-06-19T17:49:46Z,0.00,0,32,0,0,0,0,4,
8.50,2026-06-19T17:49:47Z,0.00,0,32,0,0,0,0,4,
9.00,2026-06-19T17:49:47Z,0.00,0,32,0,0,0,0,4,
9.50,2026-06-19T17:49:48Z,0.00,0,32,0,0,0,0,4,
10.00,2026-06-19T17:49:48Z,0.00,0,32,0,0,0,0,4,
10.50,2026-06-19T17:49:49Z,0.00,0,32,0,0,0,0,4,
11.00,2026-06-19T17:49:49Z,0.00,0,32,0,0,0,0,4,
11.50,2026-06-19T17:49:50Z,0.00,0,32,0,0,0,0,4,
12.00,2026-06-19T17:49:50Z,0.00,0,32,0,0,0,0,4,
12.50,2026-06-19T17:49:51Z,0.00,0,32,0,0,0,0,4,
13.00,2026-06-19T17:49:51Z,0.00,0,32,0,0,0,0,4,
13.50,2026-06-19T17:49:52Z,0.00,0,32,0,0,0,0,4,
14.00,2026-06-19T17:49:52Z,0.00,0,32,0,0,0,0,4,
14.50,2026-06-19T17:49:53Z,0.00,0,32,0,0,0,0,4,
15.00,2026-06-19T17:49:53Z,0.00,0,32,0,0,0,0,4,
15.50,2026-06-19T17:49:54Z,0.00,0,32,0,0,0,0,4,
16.00,2026-06-19T17:49:54Z,0.00,0,32,0,0,0,0,4,
16.50,2026-06-19T17:49:55Z,6.25,2,32,1,0,0,1,4,
17.00,2026-06-19T17:49:55Z,6.25,2,32,1,0,0,1,4,
17.50,2026-06-19T17:49:56Z,6.25,2,32,1,0,0,1,4,
18.00,2026-06-19T17:49:56Z,6.25,2,32,1,0,0,1,4,
18.50,2026-06-19T17:49:57Z,12.50,4,32,1,1,1,1,4,
19.00,2026-06-19T17:49:57Z,12.50,4,32,1,1,1,1,4,
19.50,2026-06-19T17:49:58Z,12.50,4,32,1,1,1,1,4,
20.00,2026-06-19T17:49:58Z,12.50,4,32,1,1,1,1,4,
20.50,2026-06-19T17:49:59Z,12.50,4,32,1,1,1,1,4,
21.00,2026-06-19T17:49:59Z,12.50,4,32,1,1,1,1,4,
21.50,2026-06-19T17:50:00Z,12.50,4,32,1,1,1,1,4,
22.00,2026-06-19T17:50:00Z,12.50,4,32,1,1,1,1,4,
22.50,2026-06-19T17:50:01Z,12.50,4,32,1,1,1,1,4,
23.00,2026-06-19T17:50:01Z,12.50,4,32,1,1,1,1,4,
23.50,2026-06-19T17:50:02Z,12.50,4,32,1,1,1,1,4,
24.00,2026-06-19T17:50:02Z,12.50,4,32,1,1,1,1,4,
24.50,2026-06-19T17:50:03Z,12.50,4,32,1,1,1,1,4,
25.00,2026-06-19T17:50:03Z,12.50,4,32,1,1,1,1,4,
25.50,2026-06-19T17:50:04Z,12.50,4,32,1,1,1,1,4,
26.00,2026-06-19T17:50:04Z,12.50,4,32,1,1,1,1,4,
26.50,2026-06-19T17:50:05Z,12.50,4,32,1,1,1,1,4,
27.00,2026-06-19T17:50:05Z,12.50,4,32,1,1,1,1,4,
27.50,2026-06-19T17:50:06Z,12.50,4,32,1,1,1,1,4,
28.00,2026-06-19T17:50:06Z,12.50,4,32,1,1,1,1,4,
28.50,2026-06-19T17:50:07Z,12.50,4,32,1,1,1,1,4,
29.00,2026-06-19T17:50:07Z,12.50,4,32,1,1,1,1,4,
