t_rel_s,wall_iso,pct,completed,total,done_robot1,done_robot2,done_robot3,done_robot4,healthy,event
0.00,2026-06-19T22:48:06Z,0.00,0,32,0,0,0,0,4,mission_start
0.50,2026-06-19T22:48:07Z,0.00,0,32,0,0,0,0,4,
1.00,2026-06-19T22:48:07Z,0.00,0,32,0,0,0,0,4,
1.50,2026-06-19T22:48:08Z,0.00,0,32,0,0,0,0,4,
2.00,2026-06-19T22:48:08Z,0.00,0,32,0,0,0,0,4,
2.50,2026-06-19T22:48:09Z,0.00,0,32,0,0,0,0,4,
3.00,2026-06-19T22:48:09Z,0.00,0,32,0,0,0,0,4,
3.50,2026-06-19T22:48:10Z,0.00,0,32,0,0,0,0,4,
4.00,2026-06-19T22:48:10Z,0.00,0,32,0,0,0,0,4,
4.50,2026-06-19T22:48:11Z,0.00,0,32,0,0,0,0,4,
5.00,2026-06-19T22:48:11Z,0.00,0,32,0,0,0,0,4,
5.50,2026-06-19T22:48:12Z,0.00,0,32,0,0,0,0,4,
6.00,2026-06-19T22:48:12Z,0.00,0,32,0,0,0,0,4,
6.50,2026-06-19T22:48:13Z,0.00,0,32,0,0,0,0,4,
7.00,2026-06-19T22:48:13Z,0.00,0,32,0,0,0,0,4,
7.50,2026-06-19T22:48:14Z,0.00,0,32,0,0,0,0,4,
8.00,2026-06-19T22:48:14Z,0.00,0,32,0,0,0,0,4,
8.50,2026-06-19T22:48:15Z,0.00,0,32,0,0,0,0,4,
9.00,2026-06-19T22:48:15Z,0.00,0,32,0,0,0,0,4,
