container,t_rel_s,cpu_percent,mem_mb,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
robot1-sidecar,0,5.02,60.09,0.0,1.148,0.016,0.019
robot1-sidecar,1,9.77,60.12,0.0,1.156,0.017,0.022
robot1-sidecar,2,7.9,60.12,0.0,1.156,0.019,0.025
robot1-sidecar,3,9.27,60.15,0.0,1.164,0.021,0.028
robot1-sidecar,4,7.65,60.12,0.0,1.164,0.022,0.03
robot1-sidecar,5,8.52,60.27,0.0,1.172,0.024,0.033
robot1-sidecar,6,8.35,60.14,0.0,1.172,0.026,0.035
robot1-sidecar,7,9.52,60.16,0.0,1.18,0.028,0.038
robot1-sidecar,8,8.99,60.2,0.0,1.18,0.029,0.04
robot1-sidecar,9,9.83,60.33,0.0,1.188,0.031,0.043
robot1-sidecar,10,8.16,60.3,0.0,1.188,0.033,0.046
robot1-sidecar,11,10.23,60.2,0.0,1.195,0.035,0.049
robot1-sidecar,12,8.77,60.35,0.0,1.195,0.037,0.051
robot1-sidecar,13,9.29,60.28,0.0,1.203,0.038,0.054
robot1-sidecar,14,13.79,60.57,0.0,1.203,0.045,0.064
robot1-sidecar,15,12.94,60.44,0.0,1.211,0.053,0.075
robot1-sidecar,16,12.42,60.55,0.0,1.211,0.06,0.085
robot1-sidecar,17,15.77,60.55,0.0,1.219,0.068,0.098
robot1-sidecar,18,12.2,60.68,0.0,1.219,0.074,0.106
robot1-sidecar,19,15.35,60.59,0.0,1.227,0.083,0.119
robot1-sidecar,20,10.92,60.7,0.0,1.227,0.089,0.129
robot1-sidecar,21,14.17,60.57,0.0,1.234,0.098,0.142
robot1-sidecar,22,11.2,60.68,0.0,1.234,0.104,0.151
robot1-sidecar,23,14.33,60.55,0.0,1.25,0.113,0.164
robot1-sidecar,24,9.62,60.7,0.0,1.25,0.115,0.166
robot1-sidecar,25,9.49,60.68,0.0,1.258,0.117,0.169
robot1-sidecar,26,8.8,61.11,0.0,1.258,0.118,0.172
robot1-sidecar,27,9.92,60.59,0.0,1.266,0.12,0.175
robot1-sidecar,28,7.9,60.57,0.0,1.266,0.122,0.177
robot1-sidecar,29,8.72,60.72,0.0,1.273,0.124,0.18
robot1-sidecar,30,12.62,61.03,0.0,1.273,0.132,0.192
robot1-sidecar,31,12.74,60.64,0.0,1.281,0.14,0.203
robot1-sidecar,32,12.69,60.66,0.0,1.281,0.146,0.213
robot1-sidecar,33,23.55,60.84,0.0,1.297,0.165,0.239
robot1-sidecar,34,12.16,60.94,0.0,1.297,0.172,0.249
robot1-sidecar,35,12.12,60.89,0.0,1.312,0.178,0.258
robot1-sidecar,36,9.44,60.92,0.0,1.312,0.179,0.26
robot1-sidecar,37,10.39,60.79,0.0,1.32,0.181,0.263
robot1-sidecar,38,9.93,60.92,0.0,1.32,0.184,0.265
robot1-sidecar,39,8.78,60.95,0.0,1.328,0.186,0.268
robot1-sidecar,40,8.27,60.8,0.0,1.328,0.188,0.27
robot1-sidecar,41,8.79,60.78,0.0,1.336,0.191,0.273
robot1-sidecar,42,8.99,60.8,0.0,1.336,0.193,0.276
robot1-sidecar,43,9.04,60.79,0.0,1.344,0.195,0.279
robot1-sidecar,44,8.38,60.81,0.0,1.344,0.197,0.281
robot1-sidecar,45,12.08,60.85,0.0,1.352,0.203,0.29
robot1-sidecar,47,10.39,60.96,0.0,1.352,0.208,0.297
robot1-sidecar,48,15.98,60.86,0.0,1.359,0.216,0.309
robot1-sidecar,49,11.75,60.88,0.0,1.359,0.222,0.319
robot1-sidecar,50,24.07,61.02,0.0,1.375,0.241,0.345
robot1-sidecar,51,11.79,61.03,0.0,1.375,0.248,0.355
robot1-sidecar,52,12.11,60.84,0.0,1.391,0.252,0.361
robot1-sidecar,53,9.88,60.87,0.0,1.391,0.254,0.364
robot1-sidecar,54,9.07,61.0,0.0,1.398,0.256,0.367
robot1-sidecar,55,9.01,60.85,0.0,1.398,0.257,0.369
robot1-sidecar,56,8.91,60.88,0.0,1.406,0.259,0.372
robot1-sidecar,57,9.12,60.87,0.0,1.406,0.261,0.375
robot1-sidecar,58,9.64,60.86,0.0,1.414,0.263,0.378
robot1-sidecar,59,8.14,61.04,0.0,1.414,0.265,0.38
robot1-sidecar,60,9.1,60.98,0.0,1.422,0.266,0.383
robot1-sidecar,61,10.21,61.02,0.0,1.422,0.268,0.385
robot1-sidecar,62,13.25,61.05,0.0,1.43,0.275,0.395
robot1-sidecar,63,12.36,60.93,0.0,1.43,0.28,0.403
robot1-sidecar,64,14.21,61.09,0.0,1.438,0.289,0.416
robot1-sidecar,65,15.26,60.97,0.0,1.438,0.295,0.426
robot1-sidecar,66,24.79,61.06,0.0,1.453,0.314,0.451
robot1-sidecar,67,12.88,61.08,0.0,1.453,0.32,0.461
robot1-sidecar,68,11.98,61.16,0.0,1.469,0.324,0.467
robot1-sidecar,69,8.7,60.91,0.0,1.469,0.326,0.469
robot1-sidecar,70,8.83,60.96,0.0,1.477,0.328,0.472
robot1-sidecar,71,8.29,60.92,0.0,1.484,0.329,0.475
robot1-sidecar,72,9.3,61.04,0.0,1.484,0.331,0.478
robot1-sidecar,73,9.14,60.92,0.0,1.484,0.333,0.48
robot1-sidecar,74,8.46,60.93,0.0,1.492,0.335,0.483
robot1-sidecar,75,8.98,60.95,0.0,1.492,0.336,0.485
robot1-sidecar,76,8.57,61.03,0.0,1.5,0.338,0.488
robot1-sidecar,77,8.32,61.06,0.0,1.5,0.34,0.491
robot1-sidecar,78,12.0,60.97,0.0,1.508,0.348,0.502
robot1-sidecar,79,13.59,60.97,0.0,1.508,0.356,0.514
robot1-sidecar,80,12.97,60.96,0.0,1.516,0.364,0.526
robot1-sidecar,81,14.27,61.1,0.0,1.523,0.375,0.542
robot1-sidecar,82,19.1,60.99,0.0,1.531,0.388,0.56
robot1-sidecar,83,13.44,60.95,0.0,1.547,0.396,0.572
robot1-sidecar,84,9.11,61.14,0.0,1.547,0.398,0.575
robot1-sidecar,85,9.05,60.96,0.0,1.555,0.4,0.578
robot1-sidecar,86,8.39,61.09,0.0,1.555,0.402,0.58
robot1-sidecar,87,8.73,60.96,0.0,1.562,0.403,0.583
robot1-sidecar,88,8.77,61.09,0.0,1.562,0.405,0.585
robot1-sidecar,89,9.61,60.95,0.0,1.57,0.407,0.588
robot1-sidecar,90,9.21,61.22,0.0,1.57,0.409,0.591
robot1-sidecar,91,8.96,60.95,0.0,1.578,0.411,0.594
robot1-sidecar,92,9.33,61.23,0.0,1.578,0.412,0.596
robot1-sidecar,93,13.26,61.02,0.0,1.586,0.418,0.604
robot1-sidecar,94,9.76,61.12,0.0,1.586,0.423,0.612
robot1-sidecar,95,12.61,60.99,0.0,1.594,0.433,0.626
robot1-sidecar,96,12.85,61.26,0.0,1.594,0.44,0.636
robot1-sidecar,97,19.84,61.0,0.0,1.617,0.453,0.656
robot1-sidecar,98,16.41,61.02,0.0,1.617,0.464,0.669
robot1-sidecar,99,12.81,60.98,0.0,1.641,0.471,0.679
robot1-sidecar,100,8.01,61.24,0.0,1.641,0.473,0.682
robot1-sidecar,101,9.75,61.05,0.0,1.648,0.476,0.685
robot1-sidecar,102,8.49,61.12,0.0,1.648,0.478,0.687
robot1-sidecar,103,8.53,61.11,0.0,1.656,0.481,0.69
robot1-sidecar,104,8.77,61.0,0.0,1.656,0.482,0.692
robot1-sidecar,105,8.6,61.15,0.0,1.664,0.484,0.695
robot1-sidecar,106,8.28,61.14,0.0,1.664,0.486,0.698
robot1-sidecar,107,8.49,61.24,0.0,1.672,0.488,0.701
robot1-sidecar,108,10.64,61.02,0.0,1.672,0.489,0.703
robot1-sidecar,109,16.25,61.07,0.0,1.68,0.5,0.717
robot1-sidecar,110,13.66,61.09,0.0,1.68,0.506,0.727
robot1-sidecar,111,16.91,61.18,0.0,1.688,0.519,0.746
robot1-sidecar,112,10.99,61.05,0.0,1.688,0.525,0.754
robot1-sidecar,113,17.38,61.14,0.0,1.727,0.539,0.773
robot1-sidecar,114,8.66,61.04,0.0,1.727,0.54,0.775
robot1-sidecar,115,9.31,61.1,0.0,1.734,0.542,0.778
robot1-sidecar,116,9.5,61.08,0.0,1.734,0.544,0.78
robot1-sidecar,117,8.55,61.03,0.0,1.742,0.546,0.783
robot1-sidecar,118,8.79,61.25,0.0,1.742,0.547,0.786
robot1-sidecar,119,8.88,61.22,0.0,1.75,0.549,0.789
robot1-sidecar,120,9.27,61.19,0.0,1.75,0.551,0.791
robot1-sidecar,121,10.37,61.01,0.0,1.758,0.553,0.794
robot1-sidecar,122,7.69,61.46,0.0,1.758,0.555,0.797
robot1-sidecar,123,9.43,61.03,0.0,1.766,0.556,0.799
robot1-sidecar,124,10.18,61.14,0.0,1.766,0.558,0.801
robot1-sidecar,125,18.58,61.08,0.0,1.773,0.57,0.818
robot1-sidecar,126,12.25,61.2,0.0,1.773,0.576,0.828
robot1-sidecar,127,22.69,61.19,0.0,1.797,0.593,0.851
robot1-sidecar,128,13.1,61.1,0.0,1.797,0.6,0.861
robot1-sidecar,129,15.36,61.28,0.0,1.82,0.608,0.872
robot1-sidecar,130,8.84,61.18,0.0,1.82,0.609,0.875
robot1-sidecar,131,9.21,61.07,0.0,1.828,0.611,0.878
robot1-sidecar,132,9.03,61.25,0.0,1.828,0.613,0.88
robot1-sidecar,133,8.68,61.07,0.0,1.836,0.615,0.883
robot1-sidecar,134,9.44,61.18,0.0,1.836,0.617,0.885
robot1-sidecar,135,10.6,61.06,0.0,1.844,0.618,0.888
robot1-sidecar,137,10.22,61.17,0.0,1.844,0.62,0.891
robot1-sidecar,138,9.76,61.04,0.0,1.852,0.622,0.894
robot1-sidecar,139,10.59,61.19,0.0,1.852,0.624,0.896
robot1-sidecar,140,9.64,61.17,0.0,1.859,0.626,0.899
robot1-sidecar,141,10.29,61.11,0.0,1.859,0.628,0.904
robot1-sidecar,142,17.15,61.25,0.0,1.867,0.639,0.918
robot1-sidecar,143,12.65,61.22,0.0,1.867,0.646,0.928
robot1-sidecar,144,24.0,61.1,0.0,1.891,0.665,0.955
robot1-sidecar,145,11.29,61.11,0.0,1.891,0.671,0.963
