t_rel_s,formation_error,cum_damage,centroid_x,centroid_y,cross_track,along_track,x_robot1,x_robot2,x_robot3,x_robot4,y_robot1,y_robot2,y_robot3,y_robot4
0.00,0.0000,0.0000,0.0001,-0.0000,0.0000,0.0000,2.0000,-2.0000,-1.9999,2.0001,2.0000,2.0000,-2.0000,-2.0000
0.10,0.0025,0.0001,0.0026,-0.0000,0.0000,0.0026,2.0064,-1.9961,-1.9999,2.0001,2.0000,2.0000,-2.0000,-2.0000
0.20,0.0075,0.0006,0.0126,-0.0000,0.0000,0.0125,2.0227,-1.9824,-1.9964,2.0066,2.0000,2.0000,-2.0000,-2.0000
0.30,0.0109,0.0016,0.0308,-0.0001,0.0001,0.0308,2.0446,-1.9611,-1.9831,2.0229,1.9998,1.9999,-2.0000,-2.0000
0.40,0.0112,0.0027,0.0525,-0.0002,0.0002,0.0525,2.0666,-1.9391,-1.9621,2.0447,1.9993,1.9995,-2.0000,-1.9999
0.50,0.0113,0.0038,0.0745,-0.0004,0.0004,0.0744,2.0886,-1.9172,-1.9401,2.0667,1.9984,1.9988,-1.9996,-1.9993
0.60,0.0114,0.0049,0.0963,-0.0006,0.0006,0.0962,2.1103,-1.8953,-1.9184,2.0884,1.9973,1.9979,-1.9990,-1.9986
0.70,0.0116,0.0061,0.1183,-0.0007,0.0007,0.1182,2.1324,-1.8733,-1.8964,2.1104,1.9961,1.9969,-1.9982,-1.9976
0.80,0.0120,0.0072,0.1403,-0.0008,0.0008,0.1402,2.1544,-1.8513,-1.8744,2.1324,1.9948,1.9958,-1.9974,-1.9966
0.90,0.0124,0.0085,0.1622,-0.0009,0.0009,0.1621,2.1763,-1.8294,-1.8525,2.1543,1.9935,1.9947,-1.9964,-1.9955
1.00,0.0129,0.0097,0.1842,-0.0010,0.0010,0.1841,2.1982,-1.8074,-1.8305,2.1763,1.9923,1.9936,-1.9955,-1.9944
1.10,0.0134,0.0110,0.2062,-0.0011,0.0011,0.2061,2.2202,-1.7854,-1.8085,2.1983,1.9911,1.9926,-1.9946,-1.9933
1.20,0.0140,0.0124,0.2281,-0.0012,0.0012,0.2280,2.2422,-1.7635,-1.7865,2.2202,1.9900,1.9916,-1.9938,-1.9924
1.30,0.0145,0.0138,0.2501,-0.0012,0.0012,0.2500,2.2641,-1.7415,-1.7646,2.2422,1.9889,1.9907,-1.9930,-1.9915
1.40,0.0150,0.0153,0.2721,-0.0013,0.0013,0.2720,2.2861,-1.7195,-1.7425,2.2643,1.9880,1.9899,-1.9923,-1.9907
1.50,0.0155,0.0168,0.2941,-0.0013,0.0013,0.2940,2.3081,-1.6975,-1.7205,2.2863,1.9872,1.9891,-1.9917,-1.9899
1.60,0.0159,0.0184,0.3159,-0.0014,0.0014,0.3159,2.3299,-1.6757,-1.6986,2.3081,1.9865,1.9885,-1.9911,-1.9893
1.70,0.0163,0.0200,0.3379,-0.0014,0.0014,0.3379,2.3519,-1.6538,-1.6766,2.3301,1.9859,1.9880,-1.9906,-1.9888
1.80,0.0166,0.0217,0.3599,-0.0014,0.0014,0.3599,2.3739,-1.6317,-1.6546,2.3522,1.9854,1.9875,-1.9902,-1.9883
1.90,0.0169,0.0234,0.3820,-0.0014,0.0014,0.3820,2.3960,-1.6096,-1.6325,2.3743,1.9850,1.9871,-1.9899,-1.9879
2.00,0.0172,0.0251,0.4041,-0.0014,0.0014,0.4040,2.4180,-1.5876,-1.6104,2.3963,1.9847,1.9867,-1.9896,-1.9876
2.10,0.0174,0.0268,0.4259,-0.0015,0.0015,0.4259,2.4399,-1.5657,-1.5886,2.4182,1.9844,1.9865,-1.9893,-1.9874
2.20,0.0175,0.0285,0.4480,-0.0015,0.0015,0.4479,2.4619,-1.5437,-1.5665,2.4402,1.9842,1.9862,-1.9891,-1.9872
2.30,0.0177,0.0303,0.4701,-0.0015,0.0015,0.4700,2.4840,-1.5216,-1.5445,2.4623,1.9841,1.9861,-1.9890,-1.9870
