t_rel_s,formation_error,cum_damage,centroid_x,centroid_y,cross_track,along_track,x_robot1,x_robot2,x_robot3,x_robot4,y_robot1,y_robot2,y_robot3,y_robot4
0.00,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,2.0001,-2.0000,-2.0000,2.0001,2.0000,2.0000,-2.0000,-2.0000
0.10,0.0005,0.0000,0.0008,-0.0000,0.0000,0.0008,2.0004,-1.9997,-1.9987,2.0012,2.0000,2.0000,-2.0000,-2.0000
0.20,0.0019,0.0001,0.0090,-0.0000,0.0000,0.0090,2.0073,-1.9930,-1.9890,2.0107,2.0000,2.0000,-2.0000,-2.0000
0.30,0.0031,0.0004,0.0268,0.0000,0.0000,0.0268,2.0241,-1.9765,-1.9699,2.0297,2.0000,2.0000,-2.0000,-2.0000
0.40,0.0031,0.0007,0.0488,0.0001,0.0001,0.0487,2.0460,-1.9547,-1.9479,2.0516,1.9998,1.9999,-1.9997,-1.9997
0.50,0.0032,0.0010,0.0707,0.0001,0.0001,0.0706,2.0679,-1.9327,-1.9260,2.0735,1.9993,1.9994,-1.9992,-1.9991
0.60,0.0035,0.0013,0.0926,0.0001,0.0001,0.0926,2.0898,-1.9108,-1.9041,2.0954,1.9985,1.9987,-1.9984,-1.9982
0.70,0.0040,0.0017,0.1145,0.0002,0.0002,0.1144,2.1117,-1.8889,-1.8822,2.1173,1.9975,1.9978,-1.9974,-1.9971
0.80,0.0047,0.0022,0.1364,0.0002,0.0002,0.1363,2.1336,-1.8670,-1.8603,2.1392,1.9963,1.9968,-1.9964,-1.9959
0.90,0.0056,0.0027,0.1583,0.0002,0.0002,0.1583,2.1556,-1.8450,-1.8384,2.1611,1.9952,1.9958,-1.9954,-1.9947
1.00,0.0066,0.0033,0.1804,0.0003,0.0003,0.1804,2.1777,-1.8229,-1.8163,2.1832,1.9941,1.9948,-1.9943,-1.9935
1.10,0.0075,0.0040,0.2024,0.0003,0.0003,0.2024,2.1997,-1.8009,-1.7942,2.2052,1.9930,1.9939,-1.9933,-1.9924
1.20,0.0084,0.0048,0.2244,0.0003,0.0003,0.2243,2.2216,-1.7789,-1.7723,2.2272,1.9919,1.9930,-1.9923,-1.9913
1.30,0.0093,0.0057,0.2465,0.0003,0.0003,0.2464,2.2437,-1.7568,-1.7502,2.2493,1.9910,1.9921,-1.9915,-1.9903
