participant,run,role,metric,duration_s
Robot1,1,prover,e2e_blockchain,4.101297627
Robot1,1,prover,e2e_blockchain,4.4848014659999995
Robot1,1,prover,e2e_blockchain,4.867159775
Robot1,1,prover,e2e_blockchain,5.261245357
Robot1,1,prover,e2e_blockchain,5.669316093
Robot1,1,prover,e2e_blockchain,5.96470566
Robot1,1,prover,e2e_blockchain,4.370886332
Robot1,1,prover,e2e_blockchain,4.763709946
Robot1,1,prover,evidence_call,0.061680844
Robot1,1,prover,evidence_call,0.012551401
Robot1,1,prover,evidence_call,0.010863027
Robot1,1,prover,evidence_call,0.018826975
Robot1,1,prover,evidence_call,0.017329818
Robot1,1,prover,evidence_call,0.008951171
Robot1,1,prover,evidence_call,0.008532614
Robot1,1,prover,evidence_call,0.007788938
Robot1,1,prover,total_lifecycle,4.244758676
Robot1,1,prover,total_lifecycle,4.5892588
Robot1,1,prover,total_lifecycle,4.965684255999999
Robot1,1,prover,total_lifecycle,5.364431433
Robot1,1,prover,total_lifecycle,5.756815808000001
Robot1,1,prover,total_lifecycle,6.162565392
Robot1,1,prover,total_lifecycle,4.473125563
Robot1,1,prover,total_lifecycle,4.8601887029999995
Robot1,1,verifier,reaction_time,0.004756124
Robot1,1,verifier,reaction_time,0.01750624
Robot1,1,verifier,reaction_time,0.0054686959999999995
Robot1,1,verifier,reaction_time,0.003813806
Robot1,1,verifier,reaction_time,0.00433507
Robot1,1,verifier,reaction_time,0.013089423
Robot1,1,verifier,reaction_time,0.0026054620000000002
Robot1,1,verifier,reaction_time,0.0036686830000000003
Robot1,1,verifier,reaction_time,0.002980955
Robot1,1,verifier,signatures_fetch,0.003533625
Robot1,1,verifier,signatures_fetch,0.006456413
Robot1,1,verifier,signatures_fetch,0.007170724
Robot1,1,verifier,signatures_fetch,0.002694941
Robot1,1,verifier,signatures_fetch,0.001857844
Robot1,1,verifier,signatures_fetch,0.00705172
Robot1,1,verifier,signatures_fetch,0.001271634
Robot1,1,verifier,signatures_fetch,0.003111497
Robot1,1,verifier,signatures_fetch,0.0010387550000000001
Robot1,1,verifier,verify_compute,6.6e-07
Robot1,1,verifier,verify_compute,6.769999999999999e-07
Robot1,1,verifier,verify_compute,9.23e-07
Robot1,1,verifier,verify_compute,7.85e-07
Robot1,1,verifier,verify_compute,7.31e-07
Robot1,1,verifier,verify_compute,8.000000000000001e-07
Robot1,1,verifier,verify_compute,5.140000000000001e-07
Robot1,1,verifier,verify_compute,5.97e-07
Robot1,1,verifier,verify_compute,5.15e-07
Robot1,1,verifier,result_call,0.030496797
Robot1,1,verifier,result_call,0.017571423
Robot1,1,verifier,result_call,0.009855898
Robot1,1,verifier,result_call,0.016646436
Robot1,1,verifier,result_call,0.012244993
Robot1,1,verifier,result_call,0.010708922
Robot1,1,verifier,result_call,0.013723668
Robot1,1,verifier,result_call,0.021531553
Robot1,1,verifier,result_call,0.00935216
Robot1,1,verifier,total_lifecycle,0.034126429
Robot1,1,verifier,total_lifecycle,0.024133043
Robot1,1,verifier,total_lifecycle,0.017146078
Robot1,1,verifier,total_lifecycle,0.019476597000000002
Robot1,1,verifier,total_lifecycle,0.014221304
Robot1,1,verifier,total_lifecycle,0.017846479
Robot1,1,verifier,total_lifecycle,0.015132538000000001
Robot1,1,verifier,total_lifecycle,0.024748415000000003
Robot1,1,verifier,total_lifecycle,0.01049253
Robot1,2,prover,e2e_blockchain,2.85058205
Robot1,2,prover,e2e_blockchain,5.244041466
Robot1,2,prover,e2e_blockchain,5.647068675000001
Robot1,2,prover,e2e_blockchain,6.065740644000001
Robot1,2,prover,e2e_blockchain,4.4607202159999995
Robot1,2,prover,e2e_blockchain,4.86927997
Robot1,2,prover,e2e_blockchain,5.255690198
Robot1,2,prover,e2e_blockchain,5.655712569
Robot1,2,prover,evidence_call,0.008598828
Robot1,2,prover,evidence_call,0.0085707
Robot1,2,prover,evidence_call,0.010784845000000001
Robot1,2,prover,evidence_call,0.016657806999999997
Robot1,2,prover,evidence_call,0.007405261000000001
Robot1,2,prover,evidence_call,0.009132979000000001
Robot1,2,prover,evidence_call,0.013080443
Robot1,2,prover,evidence_call,0.008179316999999998
Robot1,2,prover,total_lifecycle,2.966009607
Robot1,2,prover,total_lifecycle,5.3628418149999995
Robot1,2,prover,total_lifecycle,5.720043518000001
Robot1,2,prover,total_lifecycle,6.168959758
Robot1,2,prover,total_lifecycle,4.585525529
Robot1,2,prover,total_lifecycle,4.976529781999999
Robot1,2,prover,total_lifecycle,5.350199672
Robot1,2,prover,total_lifecycle,5.7591712
Robot1,2,verifier,reaction_time,0.0045506719999999995
Robot1,2,verifier,reaction_time,0.003150867
Robot1,2,verifier,reaction_time,0.0035347110000000003
Robot1,2,verifier,reaction_time,0.003075641
Robot1,2,verifier,reaction_time,0.00404225
Robot1,2,verifier,reaction_time,0.002882142
Robot1,2,verifier,reaction_time,0.002577582
Robot1,2,verifier,signatures_fetch,0.002126411
Robot1,2,verifier,signatures_fetch,0.0014630749999999999
Robot1,2,verifier,signatures_fetch,0.003497604
Robot1,2,verifier,signatures_fetch,0.0025725699999999997
Robot1,2,verifier,signatures_fetch,0.002980402
Robot1,2,verifier,signatures_fetch,0.026477757
Robot1,2,verifier,signatures_fetch,0.001255576
Robot1,2,verifier,verify_compute,8.64e-07
Robot1,2,verifier,verify_compute,4.12e-07
Robot1,2,verifier,verify_compute,7.73e-07
Robot1,2,verifier,verify_compute,9.72e-07
Robot1,2,verifier,verify_compute,5.26e-07
Robot1,2,verifier,verify_compute,5.84e-07
Robot1,2,verifier,verify_compute,6.78e-07
Robot1,2,verifier,result_call,0.01344843
Robot1,2,verifier,result_call,0.017054293999999998
Robot1,2,verifier,result_call,0.010597173
Robot1,2,verifier,result_call,0.016352743
Robot1,2,verifier,result_call,0.015971625
Robot1,2,verifier,result_call,0.008045419000000002
Robot1,2,verifier,result_call,0.008457028
Robot1,2,verifier,total_lifecycle,0.015705851
Robot1,2,verifier,total_lifecycle,0.018586825
Robot1,2,verifier,total_lifecycle,0.014287189
Robot1,2,verifier,total_lifecycle,0.019090072
Robot1,2,verifier,total_lifecycle,0.019221685999999998
Robot1,2,verifier,total_lifecycle,0.034675673000000004
Robot1,2,verifier,total_lifecycle,0.009784867999999999
Robot1,3,prover,e2e_blockchain,2.841402647
Robot1,3,prover,e2e_blockchain,5.237105174
Robot1,3,prover,e2e_blockchain,5.657959098
Robot1,3,prover,e2e_blockchain,4.037761724
Robot1,3,prover,e2e_blockchain,4.419422647
Robot1,3,prover,e2e_blockchain,4.8379298959999995
Robot1,3,prover,e2e_blockchain,5.264152291
Robot1,3,prover,e2e_blockchain,5.640528489
Robot1,3,prover,evidence_call,0.010557254
Robot1,3,prover,evidence_call,0.007815116
Robot1,3,prover,evidence_call,0.0071507540000000005
Robot1,3,prover,evidence_call,0.016008892
Robot1,3,prover,evidence_call,0.007774593000000001
Robot1,3,prover,evidence_call,0.012425722
Robot1,3,prover,evidence_call,0.009752694
Robot1,3,prover,evidence_call,0.007522818
Robot1,3,prover,total_lifecycle,2.894376426
Robot1,3,prover,total_lifecycle,5.326604883
Robot1,3,prover,total_lifecycle,5.740275835
Robot1,3,prover,total_lifecycle,4.151907846
Robot1,3,prover,total_lifecycle,4.535461074
Robot1,3,prover,total_lifecycle,4.930094808
Robot1,3,prover,total_lifecycle,5.345801076
Robot1,3,prover,total_lifecycle,5.7484960229999995
Robot1,3,verifier,reaction_time,0.004075191000000001
Robot1,3,verifier,reaction_time,0.009069104
Robot1,3,verifier,reaction_time,0.002209591
Robot1,3,verifier,reaction_time,0.006519563
Robot1,3,verifier,reaction_time,0.002987263
Robot1,3,verifier,reaction_time,0.005373353
Robot1,3,verifier,reaction_time,0.012122817
Robot1,3,verifier,signatures_fetch,0.0012735140000000001
Robot1,3,verifier,signatures_fetch,0.002090049
Robot1,3,verifier,signatures_fetch,0.002177445
Robot1,3,verifier,signatures_fetch,0.007192063
Robot1,3,verifier,signatures_fetch,0.00113391
Robot1,3,verifier,signatures_fetch,0.00165279
Robot1,3,verifier,signatures_fetch,0.001432511
Robot1,3,verifier,verify_compute,6.3e-07
Robot1,3,verifier,verify_compute,6.620000000000001e-07
Robot1,3,verifier,verify_compute,6.970000000000001e-07
Robot1,3,verifier,verify_compute,7.380000000000001e-07
Robot1,3,verifier,verify_compute,6.68e-07
Robot1,3,verifier,verify_compute,8.109999999999999e-07
Robot1,3,verifier,verify_compute,6.76e-07
Robot1,3,verifier,result_call,0.010414767
Robot1,3,verifier,result_call,0.015176657999999999
Robot1,3,verifier,result_call,0.007335661
Robot1,3,verifier,result_call,0.015937116
Robot1,3,verifier,result_call,0.012249368
Robot1,3,verifier,result_call,0.013435667
Robot1,3,verifier,result_call,0.008197498
Robot1,3,verifier,total_lifecycle,0.011793864
Robot1,3,verifier,total_lifecycle,0.017333196999999998
Robot1,3,verifier,total_lifecycle,0.009648308999999999
Robot1,3,verifier,total_lifecycle,0.023253149
Robot1,3,verifier,total_lifecycle,0.013481052
Robot1,3,verifier,total_lifecycle,0.015179007999999999
Robot1,3,verifier,total_lifecycle,0.009676821
Robot1,4,prover,e2e_blockchain,2.750572364
Robot1,4,prover,e2e_blockchain,5.146867702
Robot1,4,prover,e2e_blockchain,5.522012791
Robot1,4,prover,e2e_blockchain,5.946622028
Robot1,4,prover,e2e_blockchain,4.352531240999999
Robot1,4,prover,e2e_blockchain,4.680782264
Robot1,4,prover,e2e_blockchain,5.056785476
Robot1,4,prover,e2e_blockchain,5.4617946250000005
Robot1,4,prover,evidence_call,0.007061848999999999
Robot1,4,prover,evidence_call,0.009408334999999999
Robot1,4,prover,evidence_call,0.006351384999999999
Robot1,4,prover,evidence_call,0.009192398000000001
Robot1,4,prover,evidence_call,0.013240335
Robot1,4,prover,evidence_call,0.009986501
Robot1,4,prover,evidence_call,0.006915732
Robot1,4,prover,evidence_call,0.007148145999999999
Robot1,4,prover,total_lifecycle,2.856272621
Robot1,4,prover,total_lifecycle,5.246476980000001
Robot1,4,prover,total_lifecycle,5.654266166
Robot1,4,prover,total_lifecycle,6.014413464
Robot1,4,prover,total_lifecycle,4.451626157
Robot1,4,prover,total_lifecycle,4.869396682
Robot1,4,prover,total_lifecycle,5.180359118999999
Robot1,4,prover,total_lifecycle,5.538415850000001
Robot1,4,verifier,reaction_time,0.0024483969999999997
Robot1,4,verifier,reaction_time,0.009302943000000001
Robot1,4,verifier,reaction_time,0.006020227
Robot1,4,verifier,reaction_time,0.004330311
Robot1,4,verifier,reaction_time,0.002419653
Robot1,4,verifier,reaction_time,0.004423687
Robot1,4,verifier,reaction_time,0.002189946
Robot1,4,verifier,signatures_fetch,0.001721946
Robot1,4,verifier,signatures_fetch,0.001331942
Robot1,4,verifier,signatures_fetch,0.002505376
Robot1,4,verifier,signatures_fetch,0.0015943
Robot1,4,verifier,signatures_fetch,0.001506186
Robot1,4,verifier,signatures_fetch,0.002215153
Robot1,4,verifier,signatures_fetch,0.001746392
Robot1,4,verifier,verify_compute,5.03e-07
Robot1,4,verifier,verify_compute,9.48e-07
Robot1,4,verifier,verify_compute,7.78e-07
Robot1,4,verifier,verify_compute,7.5e-07
Robot1,4,verifier,verify_compute,7.06e-07
Robot1,4,verifier,verify_compute,5.06e-07
Robot1,4,verifier,verify_compute,4.85e-07
Robot1,4,verifier,result_call,0.011552860000000002
Robot1,4,verifier,result_call,0.0071267909999999995
Robot1,4,verifier,result_call,0.006697671
Robot1,4,verifier,result_call,0.008415548
Robot1,4,verifier,result_call,0.01008391
Robot1,4,verifier,result_call,0.015138958000000001
Robot1,4,verifier,result_call,0.01009562
Robot1,4,verifier,total_lifecycle,0.01337723
Robot1,4,verifier,total_lifecycle,0.008511571999999999
Robot1,4,verifier,total_lifecycle,0.009317741
Robot1,4,verifier,total_lifecycle,0.010131091
