n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,run_median_s,participant_group
4,20000.0,1.0,,Robot3,1,verifier,total_lifecycle,0.0116342515,Robot
4,20000.0,1.0,,Robot3,1,verifier,verify_compute,1.463e-06,Robot
4,20000.0,1.0,,Robot3,2,prover,e2e_blockchain,5.0387598575000005,Robot
4,20000.0,1.0,,Robot3,2,prover,evidence_call,0.0087988485,Robot
4,20000.0,1.0,,Robot3,2,prover,total_lifecycle,5.0530860665,Robot
4,20000.0,1.0,,Robot3,2,verifier,reaction_time,0.002933406,Robot
4,20000.0,1.0,,Robot3,2,verifier,result_call,0.0079203555,Robot
4,20000.0,1.0,,Robot3,2,verifier,signatures_fetch,0.0018490855,Robot
4,20000.0,1.0,,Robot3,2,verifier,total_lifecycle,0.009887160999999998,Robot
4,20000.0,1.0,,Robot3,2,verifier,verify_compute,1.2285e-06,Robot
4,20000.0,1.0,,Robot3,3,prover,e2e_blockchain,5.0108615290000005,Robot
4,20000.0,1.0,,Robot3,3,prover,evidence_call,0.008214490999999999,Robot
4,20000.0,1.0,,Robot3,3,prover,total_lifecycle,5.027309596,Robot
4,20000.0,1.0,,Robot3,3,verifier,reaction_time,0.0028568755,Robot
4,20000.0,1.0,,Robot3,3,verifier,result_call,0.009474709,Robot
4,20000.0,1.0,,Robot3,3,verifier,signatures_fetch,0.002126545,Robot
4,20000.0,1.0,,Robot3,3,verifier,total_lifecycle,0.0115468465,Robot
4,20000.0,1.0,,Robot3,3,verifier,verify_compute,1.068e-06,Robot
4,20000.0,1.0,,Robot4,1,prover,e2e_blockchain,5.3065742675,Robot
4,20000.0,1.0,,Robot4,1,prover,evidence_call,0.011270029,Robot
4,20000.0,1.0,,Robot4,1,prover,total_lifecycle,5.3192233585,Robot
4,20000.0,1.0,,Robot4,1,verifier,reaction_time,0.00438406,Robot
4,20000.0,1.0,,Robot4,1,verifier,result_call,0.011320284,Robot
4,20000.0,1.0,,Robot4,1,verifier,signatures_fetch,0.003689683,Robot
4,20000.0,1.0,,Robot4,1,verifier,total_lifecycle,0.0149591845,Robot
4,20000.0,1.0,,Robot4,1,verifier,verify_compute,8.095e-07,Robot
4,20000.0,1.0,,Robot4,2,prover,e2e_blockchain,5.025103594,Robot
4,20000.0,1.0,,Robot4,2,prover,evidence_call,0.010801030999999999,Robot
