participant,role,step,duration_s,run,attestation_id
Robot1,Verifier,blockchain_read,0.195,5,attestation7677080938466
Robot1,Verifier,blockchain_read,0.022,5,attestation7677080932420
Robot1,Verifier,blockchain_read,0.019,5,attestation7677081483091
Robot1,Verifier,total_verifier,0.28800000000000003,1,attestation7677071402410
Robot1,Verifier,total_verifier,0.099,1,attestation7677071777684
Robot1,Verifier,total_verifier,0.183,1,attestation7677072152721
Robot1,Verifier,total_verifier,0.33,1,attestation7677072331713
Robot1,Verifier,total_verifier,0.58,1,attestation7677072325693
Robot1,Verifier,total_verifier,0.308,1,attestation7677072512869
Robot1,Verifier,total_verifier,0.306,1,attestation7677072707418
Robot1,Verifier,total_verifier,0.18,2,attestation7677073786042
Robot1,Verifier,total_verifier,0.294,2,attestation7677073789846
Robot1,Verifier,total_verifier,0.391,2,attestation7677074144119
Robot1,Verifier,total_verifier,0.149,2,attestation7677074339768
Robot1,Verifier,total_verifier,0.765,2,attestation7677074337188
Robot1,Verifier,total_verifier,0.267,2,attestation7677074517802
Robot1,Verifier,total_verifier,0.11800000000000001,2,attestation7677074704933
Robot1,Verifier,total_verifier,0.294,2,attestation7677074893984
Robot1,Verifier,total_verifier,0.184,3,attestation7677075796836
Robot1,Verifier,total_verifier,0.20500000000000002,3,attestation7677075796653
Robot1,Verifier,total_verifier,0.14,3,attestation7677075981319
Robot1,Verifier,total_verifier,0.403,3,attestation7677076354836
Robot1,Verifier,total_verifier,0.124,3,attestation7677076533846
Robot1,Verifier,total_verifier,0.304,3,attestation7677077093591
Robot1,Verifier,total_verifier,0.683,3,attestation7677077099780
Robot1,Verifier,total_verifier,0.278,4,attestation7677078001357
Robot1,Verifier,total_verifier,0.137,4,attestation7677078375224
Robot1,Verifier,total_verifier,0.424,4,attestation7677078366827
Robot1,Verifier,total_verifier,0.20400000000000001,4,attestation7677078551687
Robot1,Verifier,total_verifier,0.07200000000000001,4,attestation7677078734006
Robot1,Verifier,total_verifier,0.616,4,attestation7677078737629
Robot1,Verifier,total_verifier,0.085,4,attestation7677078739095
Robot1,Verifier,total_verifier,0.293,4,attestation7677078922382
Robot1,Verifier,total_verifier,0.725,4,attestation7677078929753
Robot1,Verifier,total_verifier,0.384,4,attestation7677079108211
Robot1,Verifier,total_verifier,0.39,4,attestation7677079285859
Robot1,Verifier,total_verifier,0.289,5,attestation7677080562555
Robot1,Verifier,total_verifier,0.61,5,attestation7677080568222
Robot1,Verifier,total_verifier,0.202,5,attestation7677080754288
Robot1,Verifier,total_verifier,0.28800000000000003,5,attestation7677080938466
Robot1,Verifier,total_verifier,0.524,5,attestation7677080932420
Robot1,Verifier,total_verifier,0.114,5,attestation7677081483091
Robot1,Verifier,verification_logic,0.0,1,attestation7677071402410
Robot1,Verifier,verification_logic,0.0,1,attestation7677071777684
Robot1,Verifier,verification_logic,0.0,1,attestation7677072152721
Robot1,Verifier,verification_logic,0.0,1,attestation7677072331713
Robot1,Verifier,verification_logic,0.0,1,attestation7677072325693
Robot1,Verifier,verification_logic,0.0,1,attestation7677072512869
Robot1,Verifier,verification_logic,0.0,1,attestation7677072707418
Robot1,Verifier,verification_logic,0.0,2,attestation7677073786042
Robot1,Verifier,verification_logic,0.0,2,attestation7677073789846
Robot1,Verifier,verification_logic,0.0,2,attestation7677074144119
Robot1,Verifier,verification_logic,0.0,2,attestation7677074339768
Robot1,Verifier,verification_logic,0.0,2,attestation7677074337188
Robot1,Verifier,verification_logic,0.0,2,attestation7677074517802
Robot1,Verifier,verification_logic,0.0,2,attestation7677074704933
Robot1,Verifier,verification_logic,0.0,2,attestation7677074893984
Robot1,Verifier,verification_logic,0.0,3,attestation7677075796836
Robot1,Verifier,verification_logic,0.0,3,attestation7677075796653
