n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,run_median_s,run_mean_s,participant_group
4,20000.0,1.0,,Robot1,4,prover,e2e_blockchain,4.6823010190000005,4.514572247499999,Robot
4,20000.0,1.0,,Robot1,4,prover,evidence_call,0.008381294000000001,0.0084086875,Robot
4,20000.0,1.0,,Robot1,4,prover,total_lifecycle,4.6959218730000005,4.527463438833333,Robot
4,20000.0,1.0,,Robot1,4,verifier,reaction_time,0.014043284,0.0135731455,Robot
4,20000.0,1.0,,Robot1,4,verifier,result_call,0.009131578500000001,0.009502082666666667,Robot
4,20000.0,1.0,,Robot1,4,verifier,signatures_fetch,0.0018127549999999999,0.0021753845,Robot
4,20000.0,1.0,,Robot1,4,verifier,total_lifecycle,0.0118135605,0.011702386833333333,Robot
4,20000.0,1.0,,Robot1,4,verifier,verify_compute,1.6805e-06,1.6631666666666668e-06,Robot
4,20000.0,1.0,,Robot1,5,prover,e2e_blockchain,4.372387182,4.380271595833333,Robot
4,20000.0,1.0,,Robot1,5,prover,evidence_call,0.009502365,0.0113463035,Robot
4,20000.0,1.0,,Robot1,5,prover,total_lifecycle,4.383667539,4.3921324555000005,Robot
4,20000.0,1.0,,Robot1,5,verifier,reaction_time,0.0115152085,0.010397294833333334,Robot
4,20000.0,1.0,,Robot1,5,verifier,result_call,0.006972071,0.007050892,Robot
4,20000.0,1.0,,Robot1,5,verifier,signatures_fetch,0.001827181,0.0018926738333333332,Robot
4,20000.0,1.0,,Robot1,5,verifier,total_lifecycle,0.0087545095,0.008964999166666666,Robot
4,20000.0,1.0,,Robot1,5,verifier,verify_compute,1.7975e-06,1.7848333333333335e-06,Robot
4,20000.0,1.0,,Robot2,1,prover,e2e_blockchain,4.312582416,4.188639478833333,Robot
4,20000.0,1.0,,Robot2,1,prover,evidence_call,0.0151454695,0.015468589999999999,Robot
4,20000.0,1.0,,Robot2,1,prover,total_lifecycle,4.327059883,4.203554668333333,Robot
4,20000.0,1.0,,Robot2,1,verifier,reaction_time,0.020945186,0.02033438983333333,Robot
4,20000.0,1.0,,Robot2,1,verifier,result_call,0.012706308,0.014533325833333333,Robot
4,20000.0,1.0,,Robot2,1,verifier,signatures_fetch,0.0034149045000000005,0.0033779786666666665,Robot
4,20000.0,1.0,,Robot2,1,verifier,total_lifecycle,0.016008338,0.017936554,Robot
4,20000.0,1.0,,Robot2,1,verifier,verify_compute,1.6430000000000002e-06,1.5253333333333332e-06,Robot
4,20000.0,1.0,,Robot2,2,prover,e2e_blockchain,5.525733568,5.383468426166666,Robot
4,20000.0,1.0,,Robot2,2,prover,evidence_call,0.0190176565,0.018568445333333333,Robot
4,20000.0,1.0,,Robot2,2,prover,total_lifecycle,5.537345199499999,5.397054846666666,Robot
4,20000.0,1.0,,Robot2,3,prover,e2e_blockchain,4.9036418095,4.968266437833333,Robot
4,20000.0,1.0,,Robot2,3,prover,evidence_call,0.014809820000000001,0.0164034765,Robot
4,20000.0,1.0,,Robot2,3,prover,total_lifecycle,4.913578406,4.980296940666666,Robot
4,20000.0,1.0,,Robot2,4,prover,e2e_blockchain,5.210717074,4.862894591166667,Robot
4,20000.0,1.0,,Robot2,4,prover,evidence_call,0.013629547499999999,0.014576893166666667,Robot
4,20000.0,1.0,,Robot2,4,prover,total_lifecycle,5.22521619,4.875068025,Robot
