n_robots,mode,participant,run,role,metric,run_mean_s,participant_group
4,startup,SECaaS,1,verifier,reaction_time,0.33793529075,SECaaS
4,startup,SECaaS,1,verifier,result_call,0.0820817875,SECaaS
4,startup,SECaaS,1,verifier,signatures_fetch,0.021131595,SECaaS
4,startup,SECaaS,1,verifier,total_lifecycle,0.1776432965,SECaaS
4,startup,SECaaS,1,verifier,verify_compute,2.4514999999999997e-06,SECaaS
4,startup,SECaaS,2,oracle,db_lookup,0.0016307219999999998,SECaaS
4,startup,SECaaS,2,oracle,prover_addr_fetch,0.016868124249999998,SECaaS
4,startup,SECaaS,2,oracle,reaction_time,0.21051994524999998,SECaaS
4,startup,SECaaS,2,verifier,reaction_time,0.21051994524999998,SECaaS
4,startup,SECaaS,2,verifier,result_call,0.0666071185,SECaaS
4,startup,SECaaS,2,verifier,signatures_fetch,0.0149524775,SECaaS
4,startup,SECaaS,2,verifier,total_lifecycle,0.13338532925000002,SECaaS
4,startup,SECaaS,2,verifier,verify_compute,0.00046591075,SECaaS
4,startup,SECaaS,3,oracle,db_lookup,0.003171077,SECaaS
4,startup,SECaaS,3,oracle,prover_addr_fetch,0.014535622250000001,SECaaS
4,startup,SECaaS,3,oracle,reaction_time,0.1997526885,SECaaS
4,startup,SECaaS,3,verifier,reaction_time,0.1997526885,SECaaS
4,startup,SECaaS,3,verifier,result_call,0.047379392,SECaaS
4,startup,SECaaS,3,verifier,signatures_fetch,0.01487774225,SECaaS
4,startup,SECaaS,3,verifier,total_lifecycle,0.11278086500000001,SECaaS
4,startup,SECaaS,3,verifier,verify_compute,3.0257499999999998e-06,SECaaS
4,startup,SECaaS,4,oracle,db_lookup,0.001372694,SECaaS
4,startup,SECaaS,4,oracle,prover_addr_fetch,0.015121573000000001,SECaaS
4,startup,SECaaS,4,oracle,reaction_time,0.1741930425,SECaaS
4,startup,SECaaS,4,verifier,reaction_time,0.1741930425,SECaaS
4,startup,SECaaS,4,verifier,result_call,0.0485532765,SECaaS
4,startup,SECaaS,4,verifier,signatures_fetch,0.012710807250000001,SECaaS
4,startup,SECaaS,4,verifier,total_lifecycle,0.106032938,SECaaS
4,startup,SECaaS,4,verifier,verify_compute,1.79075e-06,SECaaS
4,startup,SECaaS,5,oracle,db_lookup,0.001654183,SECaaS
4,startup,SECaaS,5,oracle,prover_addr_fetch,0.0151302575,SECaaS
4,startup,SECaaS,5,oracle,reaction_time,0.16585436175,SECaaS
4,startup,SECaaS,5,verifier,reaction_time,0.16585436175,SECaaS
4,startup,SECaaS,5,verifier,result_call,0.0519810405,SECaaS
4,startup,SECaaS,5,verifier,signatures_fetch,0.012534976,SECaaS
4,startup,SECaaS,5,verifier,total_lifecycle,0.105256902,SECaaS
4,startup,SECaaS,5,verifier,verify_compute,1.656e-06,SECaaS
4,startup,SECaaS,6,oracle,db_lookup,0.001194351,SECaaS
4,startup,SECaaS,6,oracle,prover_addr_fetch,0.0136856855,SECaaS
4,startup,SECaaS,6,oracle,reaction_time,0.1641627395,SECaaS
4,startup,SECaaS,6,verifier,reaction_time,0.1641627395,SECaaS
4,startup,SECaaS,6,verifier,result_call,0.04542370275,SECaaS
4,startup,SECaaS,6,verifier,signatures_fetch,0.0141434525,SECaaS
4,startup,SECaaS,6,verifier,total_lifecycle,0.10224322225,SECaaS
4,startup,SECaaS,6,verifier,verify_compute,1.6885e-06,SECaaS
4,startup,SECaaS,7,oracle,db_lookup,0.00154307175,SECaaS
4,startup,SECaaS,7,oracle,prover_addr_fetch,0.0150629775,SECaaS
4,startup,SECaaS,7,oracle,reaction_time,0.15258635250000002,SECaaS
4,startup,SECaaS,7,verifier,reaction_time,0.15258635250000002,SECaaS
4,startup,SECaaS,7,verifier,result_call,0.033475726,SECaaS
4,startup,SECaaS,7,verifier,signatures_fetch,0.01022565125,SECaaS
4,startup,SECaaS,7,verifier,total_lifecycle,0.08414014574999999,SECaaS
4,startup,SECaaS,7,verifier,verify_compute,1.37675e-06,SECaaS
4,startup,SECaaS,8,oracle,db_lookup,0.0011723600000000001,SECaaS
4,startup,SECaaS,8,oracle,prover_addr_fetch,0.0178756115,SECaaS
4,startup,SECaaS,8,oracle,reaction_time,0.17781694,SECaaS
4,startup,SECaaS,8,verifier,reaction_time,0.17781694,SECaaS
4,startup,SECaaS,8,verifier,result_call,0.051156488,SECaaS
4,startup,SECaaS,8,verifier,signatures_fetch,0.0133050485,SECaaS
4,startup,SECaaS,8,verifier,total_lifecycle,0.11064633875,SECaaS
4,startup,SECaaS,8,verifier,verify_compute,1.95875e-06,SECaaS
4,startup,SECaaS,9,oracle,db_lookup,0.001171437,SECaaS
4,startup,SECaaS,9,oracle,prover_addr_fetch,0.013972864,SECaaS
4,startup,SECaaS,9,oracle,reaction_time,0.17208687,SECaaS
4,startup,SECaaS,9,verifier,reaction_time,0.17208687,SECaaS
4,startup,SECaaS,9,verifier,result_call,0.0480226775,SECaaS
4,startup,SECaaS,9,verifier,signatures_fetch,0.01245300675,SECaaS
4,startup,SECaaS,9,verifier,total_lifecycle,0.10220779075,SECaaS
4,startup,SECaaS,9,verifier,verify_compute,1.57e-06,SECaaS
4,startup,SECaaS,10,oracle,db_lookup,0.00124109,SECaaS
4,startup,SECaaS,10,oracle,prover_addr_fetch,0.0125897685,SECaaS
4,startup,SECaaS,10,oracle,reaction_time,0.166627621,SECaaS
4,startup,SECaaS,10,verifier,reaction_time,0.166627621,SECaaS
4,startup,SECaaS,10,verifier,result_call,0.03867040025,SECaaS
4,startup,SECaaS,10,verifier,signatures_fetch,0.01599120425,SECaaS
4,startup,SECaaS,10,verifier,total_lifecycle,0.091696026,SECaaS
4,startup,SECaaS,10,verifier,verify_compute,2.17e-06,SECaaS
10,continuous,Robot1,1,prover,e2e_blockchain,5.073518065545454,Robot
10,continuous,Robot1,1,prover,evidence_call,0.013334850454545456,Robot
10,continuous,Robot1,1,prover,total_lifecycle,5.256795764909091,Robot
10,continuous,Robot1,1,verifier,reaction_time,0.012309200888888889,Robot
10,continuous,Robot1,1,verifier,result_call,0.021433003444444446,Robot
10,continuous,Robot1,1,verifier,signatures_fetch,0.004914571555555556,Robot
10,continuous,Robot1,1,verifier,total_lifecycle,0.026427135888888887,Robot
10,continuous,Robot1,1,verifier,verify_compute,7.341111111111112e-07,Robot
10,continuous,Robot1,2,prover,e2e_blockchain,5.007123844090909,Robot
10,continuous,Robot1,2,prover,evidence_call,0.025934927363636364,Robot
10,continuous,Robot1,2,prover,total_lifecycle,5.1568873822727275,Robot
10,continuous,Robot1,2,verifier,reaction_time,0.004988865800000001,Robot
10,continuous,Robot1,2,verifier,result_call,0.0113922953,Robot
10,continuous,Robot1,2,verifier,signatures_fetch,0.0025705452,Robot
10,continuous,Robot1,2,verifier,total_lifecycle,0.014043254300000002,Robot
10,continuous,Robot1,2,verifier,verify_compute,2.3699e-06,Robot
10,continuous,Robot1,3,prover,e2e_blockchain,5.181308850090909,Robot
10,continuous,Robot1,3,prover,evidence_call,0.015441300000000002,Robot
10,continuous,Robot1,3,prover,total_lifecycle,5.402664826818182,Robot
10,continuous,Robot1,3,verifier,reaction_time,0.007424314111111111,Robot
10,continuous,Robot1,3,verifier,result_call,0.016515151333333332,Robot
10,continuous,Robot1,3,verifier,signatures_fetch,0.0024139353333333335,Robot
10,continuous,Robot1,3,verifier,total_lifecycle,0.018993053333333332,Robot
