n_robots,participant,run,role,metric,run_median_s,run_mean_s,participant_group
4,Robot1,1,prover,e2e_blockchain,3.601602806,3.601602806,Robot
4,Robot1,1,prover,evidence_call,0.066664439,0.066664439,Robot
4,Robot1,1,prover,total_lifecycle,3.6149436550000003,3.6149436550000003,Robot
4,Robot1,2,prover,e2e_blockchain,2.432911214,2.432911214,Robot
4,Robot1,2,prover,evidence_call,0.020137843,0.020137843,Robot
4,Robot1,2,prover,total_lifecycle,2.447170386,2.447170386,Robot
4,Robot1,3,prover,e2e_blockchain,2.2756299330000003,2.2756299330000003,Robot
4,Robot1,3,prover,evidence_call,0.016467278000000002,0.016467278000000002,Robot
4,Robot1,3,prover,total_lifecycle,2.2913527709999997,2.2913527709999997,Robot
4,Robot1,4,prover,e2e_blockchain,2.142382978,2.142382978,Robot
4,Robot1,4,prover,evidence_call,0.011822833,0.011822833,Robot
4,Robot1,4,prover,total_lifecycle,2.1570055889999997,2.1570055889999997,Robot
4,Robot1,5,prover,e2e_blockchain,3.9805319679999998,3.9805319679999998,Robot
4,Robot1,5,prover,evidence_call,0.010816376999999999,0.010816376999999999,Robot
4,Robot1,5,prover,total_lifecycle,3.991841752,3.991841752,Robot
4,Robot1,6,prover,e2e_blockchain,2.864336842,2.864336842,Robot
4,Robot1,6,prover,evidence_call,0.01068181,0.01068181,Robot
4,Robot1,6,prover,total_lifecycle,2.875135873,2.875135873,Robot
4,Robot1,7,prover,e2e_blockchain,2.6953459520000003,2.6953459520000003,Robot
4,Robot1,7,prover,evidence_call,0.012390353,0.012390353,Robot
4,Robot1,7,prover,total_lifecycle,2.70791759,2.70791759,Robot
4,Robot1,8,prover,e2e_blockchain,2.578762407,2.578762407,Robot
4,Robot1,8,prover,evidence_call,0.012937628999999999,0.012937628999999999,Robot
4,Robot1,8,prover,total_lifecycle,2.590312398,2.590312398,Robot
4,Robot1,9,prover,e2e_blockchain,2.433510123,2.433510123,Robot
4,Robot1,9,prover,evidence_call,0.012273220999999999,0.012273220999999999,Robot
4,Robot1,9,prover,total_lifecycle,2.447694205,2.447694205,Robot
4,Robot1,10,prover,e2e_blockchain,2.2821049760000003,2.2821049760000003,Robot
4,Robot1,10,prover,evidence_call,0.025631644000000002,0.025631644000000002,Robot
4,Robot1,10,prover,total_lifecycle,2.29377736,2.29377736,Robot
4,Robot2,1,prover,e2e_blockchain,3.602174359,3.602174359,Robot
4,Robot2,1,prover,evidence_call,0.053255343000000004,0.053255343000000004,Robot
4,Robot2,1,prover,total_lifecycle,3.614585153,3.614585153,Robot
4,Robot2,2,prover,e2e_blockchain,2.4240791720000003,2.4240791720000003,Robot
4,Robot2,2,prover,evidence_call,0.020042152,0.020042152,Robot
4,Robot2,2,prover,total_lifecycle,2.4474477350000003,2.4474477350000003,Robot
4,Robot2,3,prover,e2e_blockchain,2.2642341700000004,2.2642341700000004,Robot
4,Robot2,3,prover,evidence_call,0.014067922,0.014067922,Robot
4,Robot2,3,prover,total_lifecycle,2.276830003,2.276830003,Robot
4,Robot2,4,prover,e2e_blockchain,2.144278622,2.144278622,Robot
4,Robot2,4,prover,evidence_call,0.0122043,0.0122043,Robot
4,Robot2,4,prover,total_lifecycle,2.1568626859999998,2.1568626859999998,Robot
4,Robot2,5,prover,e2e_blockchain,3.979178105,3.979178105,Robot
4,Robot2,5,prover,evidence_call,0.009378767,0.009378767,Robot
4,Robot2,5,prover,total_lifecycle,3.9920146930000002,3.9920146930000002,Robot
4,Robot2,6,prover,e2e_blockchain,2.857991415,2.857991415,Robot
4,Robot2,6,prover,evidence_call,0.015354735,0.015354735,Robot
4,Robot2,6,prover,total_lifecycle,2.875528362,2.875528362,Robot
4,Robot2,7,prover,e2e_blockchain,2.69583311,2.69583311,Robot
4,Robot2,7,prover,evidence_call,0.011749621,0.011749621,Robot
4,Robot2,7,prover,total_lifecycle,2.708141807,2.708141807,Robot
4,Robot2,8,prover,e2e_blockchain,2.573910202,2.573910202,Robot
4,Robot2,8,prover,evidence_call,0.012153339,0.012153339,Robot
4,Robot2,8,prover,total_lifecycle,2.589082611,2.589082611,Robot
4,Robot2,9,prover,e2e_blockchain,2.436996005,2.436996005,Robot
4,Robot2,9,prover,evidence_call,0.012961344999999999,0.012961344999999999,Robot
4,Robot2,9,prover,total_lifecycle,2.452530157,2.452530157,Robot
4,Robot2,10,prover,e2e_blockchain,2.282428631,2.282428631,Robot
4,Robot2,10,prover,evidence_call,0.010254239,0.010254239,Robot
4,Robot2,10,prover,total_lifecycle,2.2942424409999997,2.2942424409999997,Robot
4,Robot3,1,prover,e2e_blockchain,3.576094588,3.576094588,Robot
4,Robot3,1,prover,evidence_call,0.055746212,0.055746212,Robot
4,Robot3,1,prover,total_lifecycle,3.5928343369999998,3.5928343369999998,Robot
4,Robot3,2,prover,e2e_blockchain,2.4314171740000003,2.4314171740000003,Robot
4,Robot3,2,prover,evidence_call,0.012145265,0.012145265,Robot
4,Robot3,2,prover,total_lifecycle,2.446221329,2.446221329,Robot
4,Robot3,3,prover,e2e_blockchain,2.262676362,2.262676362,Robot
4,Robot3,3,prover,evidence_call,0.019020339,0.019020339,Robot
4,Robot3,3,prover,total_lifecycle,2.2784406859999997,2.2784406859999997,Robot
4,Robot3,4,prover,e2e_blockchain,2.1289194630000003,2.1289194630000003,Robot
4,Robot3,4,prover,evidence_call,0.02198623,0.02198623,Robot
4,Robot3,4,prover,total_lifecycle,2.146793477,2.146793477,Robot
4,Robot3,5,prover,e2e_blockchain,3.9784060340000003,3.9784060340000003,Robot
4,Robot3,5,prover,evidence_call,0.013362145,0.013362145,Robot
4,Robot3,5,prover,total_lifecycle,3.9899887520000004,3.9899887520000004,Robot
4,Robot3,6,prover,e2e_blockchain,2.853446969,2.853446969,Robot
4,Robot3,6,prover,evidence_call,0.012700975,0.012700975,Robot
4,Robot3,6,prover,total_lifecycle,2.8786927700000002,2.8786927700000002,Robot
4,Robot3,7,prover,e2e_blockchain,2.70752637,2.70752637,Robot
4,Robot3,7,prover,evidence_call,0.018214718,0.018214718,Robot
4,Robot3,7,prover,total_lifecycle,2.719612414,2.719612414,Robot
4,Robot3,8,prover,e2e_blockchain,2.559685574,2.559685574,Robot
