n_robots,participant,run,role,metric,duration_s
16,Robot11,3,prover,evidence_call,0.016590107
16,Robot11,3,prover,total_lifecycle,3.3435491390000003
16,Robot11,4,prover,e2e_blockchain,2.8924857189999997
16,Robot11,4,prover,evidence_call,0.010346847999999999
16,Robot11,4,prover,total_lifecycle,2.9102111319999997
16,Robot11,5,prover,e2e_blockchain,3.549223086
16,Robot11,5,prover,evidence_call,0.012670577
16,Robot11,5,prover,total_lifecycle,3.561239939
16,Robot11,6,prover,e2e_blockchain,3.1874352349999997
16,Robot11,6,prover,evidence_call,0.013423425
16,Robot11,6,prover,total_lifecycle,3.201391439
16,Robot11,7,prover,e2e_blockchain,2.861031312
16,Robot11,7,prover,evidence_call,0.009499632999999999
16,Robot11,7,prover,total_lifecycle,2.8745304139999996
16,Robot11,8,prover,e2e_blockchain,3.48748443
16,Robot11,8,prover,evidence_call,0.019098916
16,Robot11,8,prover,total_lifecycle,3.500260476
16,Robot11,9,prover,e2e_blockchain,3.15447845
16,Robot11,9,prover,evidence_call,0.017686895
16,Robot11,9,prover,total_lifecycle,3.1659709339999997
16,Robot12,1,prover,e2e_blockchain,5.073437643
16,Robot12,1,prover,evidence_call,0.049345869
16,Robot12,1,prover,total_lifecycle,5.08600623
16,Robot12,10,prover,e2e_blockchain,2.8139586399999996
16,Robot12,10,prover,evidence_call,0.017569064000000002
16,Robot12,10,prover,total_lifecycle,2.826640965
16,Robot12,2,prover,e2e_blockchain,2.661887534
16,Robot12,2,prover,evidence_call,0.013151302
16,Robot12,2,prover,total_lifecycle,2.676792866
16,Robot12,3,prover,e2e_blockchain,3.331738566
16,Robot12,3,prover,evidence_call,0.012821477
16,Robot12,3,prover,total_lifecycle,3.34392142
16,Robot12,4,prover,e2e_blockchain,2.895432415
16,Robot12,4,prover,evidence_call,0.010044568
16,Robot12,4,prover,total_lifecycle,2.9059985339999996
16,Robot12,5,prover,e2e_blockchain,3.5485084820000004
16,Robot12,5,prover,evidence_call,0.015419959
16,Robot12,5,prover,total_lifecycle,3.559849712
16,Robot12,6,prover,e2e_blockchain,3.200856972
16,Robot12,6,prover,evidence_call,0.011186265
16,Robot12,6,prover,total_lifecycle,3.2140277040000003
16,Robot12,7,prover,e2e_blockchain,2.856846847
16,Robot12,7,prover,evidence_call,0.031640312000000004
16,Robot12,7,prover,total_lifecycle,2.867703902
16,Robot12,8,prover,e2e_blockchain,3.4741619
16,Robot12,8,prover,evidence_call,0.010002821
16,Robot12,8,prover,total_lifecycle,3.4845255379999998
16,Robot12,9,prover,e2e_blockchain,3.150066934
16,Robot12,9,prover,evidence_call,0.015301522
16,Robot12,9,prover,total_lifecycle,3.1608811099999996
16,Robot13,1,prover,e2e_blockchain,5.0784304229999995
16,Robot13,1,prover,evidence_call,0.049755456
16,Robot13,1,prover,total_lifecycle,5.094184585
16,Robot13,10,prover,e2e_blockchain,2.8140298550000002
16,Robot13,10,prover,evidence_call,0.016220328
16,Robot13,10,prover,total_lifecycle,2.8273257669999996
16,Robot13,2,prover,e2e_blockchain,2.676348015
