n_robots,participant,run,role,metric,run_median_s,run_mean_s,participant_group
4,Robot1,15,prover,total_lifecycle,3.724064926,3.724064926,Robot
4,Robot1,16,prover,e2e_blockchain,2.669699887,2.669699887,Robot
4,Robot1,16,prover,evidence_call,0.013058206999999999,0.013058206999999999,Robot
4,Robot1,16,prover,total_lifecycle,2.683344447,2.683344447,Robot
4,Robot1,17,prover,e2e_blockchain,3.498659385,3.498659385,Robot
4,Robot1,17,prover,evidence_call,0.012697941,0.012697941,Robot
4,Robot1,17,prover,total_lifecycle,3.511623626,3.511623626,Robot
4,Robot1,18,prover,e2e_blockchain,3.291876456,3.291876456,Robot
4,Robot1,18,prover,evidence_call,0.011690005,0.011690005,Robot
4,Robot1,18,prover,total_lifecycle,3.301467014,3.301467014,Robot
4,Robot1,19,prover,e2e_blockchain,2.259101174,2.259101174,Robot
4,Robot1,19,prover,evidence_call,0.013376823,0.013376823,Robot
4,Robot1,19,prover,total_lifecycle,2.2728039090000003,2.2728039090000003,Robot
4,Robot1,20,prover,e2e_blockchain,4.114636363,4.114636363,Robot
4,Robot1,20,prover,evidence_call,0.020503904,0.020503904,Robot
4,Robot1,20,prover,total_lifecycle,4.124017688,4.124017688,Robot
4,Robot2,1,prover,e2e_blockchain,3.001722162,3.001722162,Robot
4,Robot2,1,prover,evidence_call,0.050870234,0.050870234,Robot
4,Robot2,1,prover,total_lifecycle,3.021759828,3.021759828,Robot
4,Robot2,2,prover,e2e_blockchain,2.736626932,2.736626932,Robot
4,Robot2,2,prover,evidence_call,0.035845592,0.035845592,Robot
4,Robot2,2,prover,total_lifecycle,2.754651771,2.754651771,Robot
4,Robot2,3,prover,e2e_blockchain,3.73977967,3.73977967,Robot
4,Robot2,3,prover,evidence_call,0.017702714,0.017702714,Robot
4,Robot2,3,prover,total_lifecycle,3.75992394,3.75992394,Robot
4,Robot2,4,prover,e2e_blockchain,2.483112171,2.483112171,Robot
4,Robot2,4,prover,evidence_call,0.018202903,0.018202903,Robot
4,Robot2,4,prover,total_lifecycle,2.4961089160000003,2.4961089160000003,Robot
4,Robot2,5,prover,e2e_blockchain,3.3272680279999998,3.3272680279999998,Robot
4,Robot2,5,prover,evidence_call,0.023599491,0.023599491,Robot
4,Robot2,5,prover,total_lifecycle,3.3416688100000003,3.3416688100000003,Robot
4,Robot2,6,prover,e2e_blockchain,3.096774347,3.096774347,Robot
4,Robot2,6,prover,evidence_call,0.014535543,0.014535543,Robot
4,Robot2,6,prover,total_lifecycle,3.111981002,3.111981002,Robot
4,Robot2,7,prover,e2e_blockchain,3.077587351,3.077587351,Robot
4,Robot2,7,prover,evidence_call,0.015580614999999999,0.015580614999999999,Robot
4,Robot2,7,prover,total_lifecycle,3.092253064,3.092253064,Robot
4,Robot2,8,prover,e2e_blockchain,3.9013034859999998,3.9013034859999998,Robot
4,Robot2,8,prover,evidence_call,0.013453379,0.013453379,Robot
4,Robot2,8,prover,total_lifecycle,3.914636711,3.914636711,Robot
4,Robot2,9,prover,e2e_blockchain,3.705207385,3.705207385,Robot
4,Robot2,9,prover,evidence_call,0.014263817,0.014263817,Robot
4,Robot2,9,prover,total_lifecycle,3.716695374,3.716695374,Robot
4,Robot2,10,prover,e2e_blockchain,2.473095618,2.473095618,Robot
4,Robot2,10,prover,evidence_call,0.014296105,0.014296105,Robot
4,Robot2,10,prover,total_lifecycle,2.485423656,2.485423656,Robot
4,Robot2,11,prover,e2e_blockchain,2.4757411780000003,2.4757411780000003,Robot
4,Robot2,11,prover,evidence_call,0.015890007,0.015890007,Robot
4,Robot2,11,prover,total_lifecycle,2.4862389119999997,2.4862389119999997,Robot
4,Robot2,12,prover,e2e_blockchain,3.2877349810000003,3.2877349810000003,Robot
4,Robot2,12,prover,evidence_call,0.013910793999999999,0.013910793999999999,Robot
4,Robot2,12,prover,total_lifecycle,3.302038308,3.302038308,Robot
4,Robot2,13,prover,e2e_blockchain,3.080509428,3.080509428,Robot
4,Robot2,13,prover,evidence_call,0.012512489,0.012512489,Robot
4,Robot2,13,prover,total_lifecycle,3.0911029749999996,3.0911029749999996,Robot
4,Robot2,14,prover,e2e_blockchain,2.8699182850000002,2.8699182850000002,Robot
4,Robot2,14,prover,evidence_call,0.013384708,0.013384708,Robot
4,Robot2,14,prover,total_lifecycle,2.87930664,2.87930664,Robot
4,Robot2,15,prover,e2e_blockchain,3.700895821,3.700895821,Robot
4,Robot2,15,prover,evidence_call,0.016454106,0.016454106,Robot
4,Robot2,15,prover,total_lifecycle,3.7131295879999997,3.7131295879999997,Robot
4,Robot2,16,prover,e2e_blockchain,2.6724278800000003,2.6724278800000003,Robot
4,Robot2,16,prover,evidence_call,0.021637029,0.021637029,Robot
4,Robot2,16,prover,total_lifecycle,2.685172556,2.685172556,Robot
4,Robot2,17,prover,e2e_blockchain,3.484369634,3.484369634,Robot
4,Robot2,17,prover,evidence_call,0.011962356,0.011962356,Robot
4,Robot2,17,prover,total_lifecycle,3.4962457380000003,3.4962457380000003,Robot
4,Robot2,18,prover,e2e_blockchain,3.287705294,3.287705294,Robot
4,Robot2,18,prover,evidence_call,0.012964779999999999,0.012964779999999999,Robot
4,Robot2,18,prover,total_lifecycle,3.302047311,3.302047311,Robot
4,Robot2,19,prover,e2e_blockchain,2.259274066,2.259274066,Robot
4,Robot2,19,prover,evidence_call,0.020022217999999998,0.020022217999999998,Robot
4,Robot2,19,prover,total_lifecycle,2.269976228,2.269976228,Robot
4,Robot2,20,prover,e2e_blockchain,3.915599246,3.915599246,Robot
4,Robot2,20,prover,evidence_call,0.033338009,0.033338009,Robot
4,Robot2,20,prover,total_lifecycle,3.926357971,3.926357971,Robot
4,Robot3,1,prover,e2e_blockchain,3.004194396,3.004194396,Robot
4,Robot3,1,prover,evidence_call,0.051732516,0.051732516,Robot
4,Robot3,1,prover,total_lifecycle,3.019956856,3.019956856,Robot
4,Robot3,2,prover,e2e_blockchain,2.7421031630000003,2.7421031630000003,Robot
4,Robot3,2,prover,evidence_call,0.040977914,0.040977914,Robot
4,Robot3,2,prover,total_lifecycle,2.754985622,2.754985622,Robot
4,Robot3,3,prover,e2e_blockchain,3.744292189,3.744292189,Robot
4,Robot3,3,prover,evidence_call,0.020056024000000002,0.020056024000000002,Robot
4,Robot3,3,prover,total_lifecycle,3.761605231,3.761605231,Robot
4,Robot3,4,prover,e2e_blockchain,2.4797492240000003,2.4797492240000003,Robot
4,Robot3,4,prover,evidence_call,0.018365957999999998,0.018365957999999998,Robot
4,Robot3,4,prover,total_lifecycle,2.4939360109999997,2.4939360109999997,Robot
4,Robot3,5,prover,e2e_blockchain,3.329679979,3.329679979,Robot
4,Robot3,5,prover,evidence_call,0.021100494,0.021100494,Robot
4,Robot3,5,prover,total_lifecycle,3.341266134,3.341266134,Robot
4,Robot3,6,prover,e2e_blockchain,3.098932031,3.098932031,Robot
4,Robot3,6,prover,evidence_call,0.014949808,0.014949808,Robot
4,Robot3,6,prover,total_lifecycle,3.113711385,3.113711385,Robot
4,Robot3,7,prover,e2e_blockchain,3.079314335,3.079314335,Robot
4,Robot3,7,prover,evidence_call,0.011391268999999999,0.011391268999999999,Robot
4,Robot3,7,prover,total_lifecycle,3.089237248,3.089237248,Robot
4,Robot3,8,prover,e2e_blockchain,3.8987531370000004,3.8987531370000004,Robot
4,Robot3,8,prover,evidence_call,0.013087225999999999,0.013087225999999999,Robot
4,Robot3,8,prover,total_lifecycle,3.909426144,3.909426144,Robot
4,Robot3,9,prover,e2e_blockchain,3.7064094799999996,3.7064094799999996,Robot
4,Robot3,9,prover,evidence_call,0.015132383000000001,0.015132383000000001,Robot
4,Robot3,9,prover,total_lifecycle,3.717414538,3.717414538,Robot
4,Robot3,10,prover,e2e_blockchain,2.470241375,2.470241375,Robot
4,Robot3,10,prover,evidence_call,0.017007004,0.017007004,Robot
4,Robot3,10,prover,total_lifecycle,2.486067076,2.486067076,Robot
