participant,role,metric,count,mean_s,std_s,min_s,max_s,median_s,p25_s,p75_s
Robot4,verifier,reaction_time,14,0.009372208642857144,0.010365721530650376,0.00249195,0.040242471,0.004770245499999999,0.00291475025,0.01170000925
Robot4,verifier,result_call,14,0.014937941857142856,0.006129870928957011,0.006864212000000001,0.033035978,0.013261126,0.01158465,0.015922223
Robot4,verifier,signatures_fetch,14,0.003167343214285714,0.0017636081814717752,0.0013782900000000001,0.006861047,0.0025390685,0.00190075175,0.004181168250000001
Robot4,verifier,total_lifecycle,14,0.01820773164285714,0.006498031279142199,0.009564985,0.035339384,0.016740187500000003,0.013713051,0.021184014
Robot4,verifier,verify_compute,14,6.836428571428571e-07,1.4686812878479546e-07,4.55e-07,9.25e-07,7.36e-07,5.4825e-07,7.727499999999999e-07
SECaaS,oracle,db_lookup,64,0.001475394328125,0.001044045606066742,0.000775684,0.0065242089999999996,0.001005095,0.0009068145,0.001684716
SECaaS,oracle,prover_addr_fetch,64,0.0168864736875,0.008972712834593595,0.0075538540000000005,0.047334364000000004,0.0139279355,0.01008555275,0.021425475
SECaaS,oracle,reaction_time,64,0.15150954125,0.10750141075740763,0.009961323,0.491305076,0.1527503865,0.0361257775,0.22317909175
SECaaS,oracle,ref_signature_call,56,0.041518147678571427,0.012666975549641146,0.027541633,0.08015230200000001,0.038648891500000004,0.032019214500000004,0.04630406075
SECaaS,oracle,total_lifecycle,56,0.08594559351785715,0.028318666159803847,0.052353963,0.15971006299999999,0.078135555,0.06463342975,0.09819498875
SECaaS,verifier,reaction_time,8,0.21156383237499998,0.1601036572791665,0.020239387,0.491305076,0.20732879799999998,0.11034922575,0.27678624575
SECaaS,verifier,result_call,8,0.05410189075,0.028801766606839873,0.026935763,0.111560107,0.0536263605,0.0281584385,0.06522846474999999
SECaaS,verifier,signatures_fetch,8,0.0173890265,0.009076827329910473,0.007235778,0.032231380999999996,0.016062613,0.009380694750000002,0.0241097265
SECaaS,verifier,total_lifecycle,8,0.123929667125,0.05420075859251377,0.05769602,0.21088089,0.134018713,0.0737237435,0.15029037975
SECaaS,verifier,verify_compute,8,3.4325e-06,5.8737385758256945e-06,7.179999999999999e-07,1.7933000000000003e-05,1.6535e-06,9.8675e-07,1.7642499999999999e-06
