participant,role,metric,count,mean_s,std_s,min_s,max_s,median_s,p25_s,p75_s
Robot1,prover,e2e_blockchain,16,4.8819902076875,0.8202815228810708,2.820125061,6.017649989,4.959577467,4.43278767975,5.4766924625
Robot1,prover,evidence_call,16,0.016393025875,0.01545673974014371,0.007384191,0.05337252,0.010185466,0.00783221475,0.0120037145
Robot1,prover,total_lifecycle,16,4.9770974459375,0.8276402072356237,2.901043399,6.060853375,5.056565023500001,4.50374632575,5.59772694975
Robot1,verifier,reaction_time,14,0.007561311714285714,0.008914046344577327,0.001875213,0.031517382000000004,0.0033173365000000003,0.002476204,0.00924268975
Robot1,verifier,result_call,14,0.009845935357142857,0.003284626477261153,0.006926697,0.017732504,0.0087817205,0.0078174365,0.010247225750000002
Robot1,verifier,signatures_fetch,14,0.0024192856428571427,0.0017670941097782586,0.001058215,0.007799965,0.001839896,0.00154873975,0.00229351625
Robot1,verifier,total_lifecycle,14,0.0124412445,0.003817276243645132,0.008260121,0.020210182,0.011226694,0.010142386250000001,0.01229795425
Robot1,verifier,verify_compute,14,6.832142857142858e-07,1.686535723681164e-07,3.5799999999999995e-07,1.034e-06,6.43e-07,6.26e-07,7.58e-07
Robot2,prover,e2e_blockchain,16,4.766884790875,0.787803950996737,2.862972944,5.864082091999999,4.7942425475,4.28076140125,5.30291821425
Robot2,prover,evidence_call,16,0.012787408375,0.0057824895040784275,0.008221349,0.027098837,0.010433350000000001,0.008888133749999999,0.01332697075
Robot2,prover,total_lifecycle,16,4.8622254605,0.799796147757728,2.9066409650000002,5.9679924369999995,4.890976043,4.360473728750001,5.41141826525
Robot2,verifier,reaction_time,13,0.00437244,0.0019343449844981119,0.002851559,0.010200684000000002,0.003767255,0.003306451,0.004698178000000001
Robot2,verifier,result_call,13,0.012432953384615385,0.005069628335615896,0.007622086,0.022042859,0.010381465999999999,0.00877604,0.016244239
Robot2,verifier,signatures_fetch,13,0.002365638076923077,0.0017670753524926654,0.001298603,0.008103133,0.0019122,0.0016033710000000001,0.002216536
Robot2,verifier,total_lifecycle,13,0.014909371000000001,0.00584156646555217,0.009473947,0.02446031,0.011830585,0.010952548,0.020996339
Robot2,verifier,verify_compute,13,6.971538461538461e-07,2.4558089168128364e-07,4.01e-07,1.371e-06,6.19e-07,5.57e-07,7.739999999999999e-07
Robot3,prover,e2e_blockchain,16,4.757778031375,0.795317630339173,2.828429168,5.875409802,4.7469924405,4.27914378,5.2962908859999995
Robot3,prover,evidence_call,16,0.0136566223125,0.01390787884300322,0.0068431889999999995,0.061114879000000004,0.008526741000000001,0.0076166045000000005,0.011610014
Robot3,prover,total_lifecycle,16,4.856849463,0.798109503298291,2.890654954,5.959930311,4.879930612499999,4.3666920430000005,5.40731072725
Robot3,verifier,reaction_time,15,0.006886048266666667,0.006270978206291714,0.0022464209999999997,0.01948859,0.0033669340000000002,0.0027147995,0.0107918595
Robot3,verifier,result_call,15,0.010396486399999998,0.0033964059332014015,0.006464834,0.019236133,0.009223338999999999,0.00834235,0.011036891
Robot3,verifier,signatures_fetch,15,0.0024155567333333334,0.0016511809347947422,0.001159902,0.006562409,0.001835558,0.0013802509999999999,0.0025237905000000003
Robot3,verifier,total_lifecycle,15,0.012932615066666665,0.003631706455137672,0.007942318,0.021150743,0.011380038,0.010231851,0.015002351
Robot3,verifier,verify_compute,15,6.420000000000001e-07,1.378404875209022e-07,4.73e-07,1.026e-06,6.33e-07,5.47e-07,6.77e-07
Robot4,prover,e2e_blockchain,16,4.7300989249375,0.7994439903190189,2.771376032,5.857656757,4.809010453500001,4.24338148775,5.397821982
Robot4,prover,evidence_call,16,0.0106895145625,0.006168225212654069,0.005757482,0.029287457,0.008668359,0.0073053432500000005,0.01096792525
Robot4,prover,total_lifecycle,16,4.8497904533125,0.80656964155209,2.8932814760000003,5.9650926570000005,4.912416155499999,4.33685713575,5.49873608725
