n_robots,mode,participant,run,role,metric,duration_s
10,continuous,Robot1,4,verifier,result_call,0.017673815000000002
10,continuous,Robot1,4,verifier,result_call,0.009321763
10,continuous,Robot1,4,verifier,result_call,0.006797708
10,continuous,Robot1,4,verifier,result_call,0.016368159
10,continuous,Robot1,4,verifier,result_call,0.021866957
10,continuous,Robot1,4,verifier,total_lifecycle,0.011424376
10,continuous,Robot1,4,verifier,total_lifecycle,0.009369939
10,continuous,Robot1,4,verifier,total_lifecycle,0.021311907999999997
10,continuous,Robot1,4,verifier,total_lifecycle,0.010922001
10,continuous,Robot1,4,verifier,total_lifecycle,0.008427851
10,continuous,Robot1,4,verifier,total_lifecycle,0.020189046000000002
10,continuous,Robot1,4,verifier,total_lifecycle,0.026488903
10,continuous,Robot1,5,prover,e2e_blockchain,5.547645553000001
10,continuous,Robot1,5,prover,e2e_blockchain,4.880095196
10,continuous,Robot1,5,prover,e2e_blockchain,6.0857896490000005
10,continuous,Robot1,5,prover,e2e_blockchain,5.456588474
10,continuous,Robot1,5,prover,e2e_blockchain,4.7775927220000005
10,continuous,Robot1,5,prover,e2e_blockchain,5.781796163
10,continuous,Robot1,5,prover,e2e_blockchain,5.143960721
10,continuous,Robot1,5,prover,e2e_blockchain,4.382726899000001
10,continuous,Robot1,5,prover,e2e_blockchain,5.7469587970000005
10,continuous,Robot1,5,prover,e2e_blockchain,5.0855079320000005
10,continuous,Robot1,5,prover,e2e_blockchain,4.441725956
10,continuous,Robot1,5,prover,evidence_call,0.008786645999999999
10,continuous,Robot1,5,prover,evidence_call,0.013364951
10,continuous,Robot1,5,prover,evidence_call,0.010295094000000001
10,continuous,Robot1,5,prover,evidence_call,0.063021098
10,continuous,Robot1,5,prover,evidence_call,0.007257965999999999
10,continuous,Robot1,5,prover,evidence_call,0.010568588
10,continuous,Robot1,5,prover,evidence_call,0.008005614
10,continuous,Robot1,5,prover,evidence_call,0.009462837
10,continuous,Robot1,5,prover,evidence_call,0.011906375
10,continuous,Robot1,5,prover,evidence_call,0.010584814
10,continuous,Robot1,5,prover,evidence_call,0.017225623
10,continuous,Robot1,5,prover,total_lifecycle,5.6953370240000005
10,continuous,Robot1,5,prover,total_lifecycle,5.051484117
10,continuous,Robot1,5,prover,total_lifecycle,6.4002741379999994
10,continuous,Robot1,5,prover,total_lifecycle,5.57886367
10,continuous,Robot1,5,prover,total_lifecycle,4.943611802
10,continuous,Robot1,5,prover,total_lifecycle,6.288060523
10,continuous,Robot1,5,prover,total_lifecycle,5.26684998
10,continuous,Robot1,5,prover,total_lifecycle,4.654138152000001
10,continuous,Robot1,5,prover,total_lifecycle,5.877383908
10,continuous,Robot1,5,prover,total_lifecycle,5.2556939069999995
10,continuous,Robot1,5,prover,total_lifecycle,4.568565536
10,continuous,Robot1,5,verifier,reaction_time,0.0032450260000000002
10,continuous,Robot1,5,verifier,reaction_time,0.025376644
10,continuous,Robot1,5,verifier,reaction_time,0.003020779
10,continuous,Robot1,5,verifier,reaction_time,0.01618775
10,continuous,Robot1,5,verifier,reaction_time,0.0064593870000000005
10,continuous,Robot1,5,verifier,reaction_time,0.0031643409999999998
10,continuous,Robot1,5,verifier,reaction_time,0.0025608909999999996
10,continuous,Robot1,5,verifier,reaction_time,0.002905895
10,continuous,Robot1,5,verifier,reaction_time,0.004551408999999999
10,continuous,Robot1,5,verifier,reaction_time,0.019405165
10,continuous,Robot1,5,verifier,reaction_time,0.004117048
10,continuous,Robot1,5,verifier,reaction_time,0.028789998
10,continuous,Robot1,5,verifier,reaction_time,0.0031766529999999998
10,continuous,Robot1,5,verifier,reaction_time,0.003165968
10,continuous,Robot1,5,verifier,reaction_time,0.002366902
10,continuous,Robot1,5,verifier,signatures_fetch,0.001628902
10,continuous,Robot1,5,verifier,signatures_fetch,0.008726749
10,continuous,Robot1,5,verifier,signatures_fetch,0.00191852
10,continuous,Robot1,5,verifier,signatures_fetch,0.00342586
10,continuous,Robot1,5,verifier,signatures_fetch,0.001813209
10,continuous,Robot1,5,verifier,signatures_fetch,0.001728698
10,continuous,Robot1,5,verifier,signatures_fetch,0.001223847
10,continuous,Robot1,5,verifier,signatures_fetch,0.0013408340000000002
10,continuous,Robot1,5,verifier,signatures_fetch,0.001644466
10,continuous,Robot1,5,verifier,signatures_fetch,0.001530434
10,continuous,Robot1,5,verifier,signatures_fetch,0.002516034
10,continuous,Robot1,5,verifier,signatures_fetch,0.003220424
10,continuous,Robot1,5,verifier,signatures_fetch,0.001466901
10,continuous,Robot1,5,verifier,signatures_fetch,0.0015218100000000002
10,continuous,Robot1,5,verifier,signatures_fetch,0.001608666
10,continuous,Robot1,5,verifier,verify_compute,5.98e-07
10,continuous,Robot1,5,verifier,verify_compute,7.13e-07
10,continuous,Robot1,5,verifier,verify_compute,6.809999999999999e-07
10,continuous,Robot1,5,verifier,verify_compute,6.19e-07
10,continuous,Robot1,5,verifier,verify_compute,6.53e-07
10,continuous,Robot1,5,verifier,verify_compute,6.74e-07
10,continuous,Robot1,5,verifier,verify_compute,4.3600000000000004e-07
10,continuous,Robot1,5,verifier,verify_compute,4.769999999999999e-07
10,continuous,Robot1,5,verifier,verify_compute,6.38e-07
10,continuous,Robot1,5,verifier,verify_compute,1.116e-06
10,continuous,Robot1,5,verifier,verify_compute,7.03e-07
10,continuous,Robot1,5,verifier,verify_compute,5.66e-07
10,continuous,Robot1,5,verifier,verify_compute,6.769999999999999e-07
10,continuous,Robot1,5,verifier,verify_compute,5.76e-07
10,continuous,Robot1,5,verifier,verify_compute,6.37e-07
10,continuous,Robot1,5,verifier,result_call,0.011959282
10,continuous,Robot1,5,verifier,result_call,0.016547314
10,continuous,Robot1,5,verifier,result_call,0.008284652
10,continuous,Robot1,5,verifier,result_call,0.014952924
10,continuous,Robot1,5,verifier,result_call,0.010309768
10,continuous,Robot1,5,verifier,result_call,0.010888442
10,continuous,Robot1,5,verifier,result_call,0.00719864
10,continuous,Robot1,5,verifier,result_call,0.008495404
10,continuous,Robot1,5,verifier,result_call,0.010883976
10,continuous,Robot1,5,verifier,result_call,0.009671822
10,continuous,Robot1,5,verifier,result_call,0.021212266
10,continuous,Robot1,5,verifier,result_call,0.016328366
10,continuous,Robot1,5,verifier,result_call,0.006965465
10,continuous,Robot1,5,verifier,result_call,0.008718478
10,continuous,Robot1,5,verifier,result_call,0.0067002350000000006
10,continuous,Robot1,5,verifier,total_lifecycle,0.01367664
10,continuous,Robot1,5,verifier,total_lifecycle,0.025346888
10,continuous,Robot1,5,verifier,total_lifecycle,0.010277386
10,continuous,Robot1,5,verifier,total_lifecycle,0.01842271
10,continuous,Robot1,5,verifier,total_lifecycle,0.012277274
10,continuous,Robot1,5,verifier,total_lifecycle,0.012683891
10,continuous,Robot1,5,verifier,total_lifecycle,0.008473532
10,continuous,Robot1,5,verifier,total_lifecycle,0.009884406
10,continuous,Robot1,5,verifier,total_lifecycle,0.012683258999999999
10,continuous,Robot1,5,verifier,total_lifecycle,0.011255729
10,continuous,Robot1,5,verifier,total_lifecycle,0.023793545000000003
10,continuous,Robot1,5,verifier,total_lifecycle,0.019607945999999998
10,continuous,Robot1,5,verifier,total_lifecycle,0.008517006
10,continuous,Robot1,5,verifier,total_lifecycle,0.01032715
10,continuous,Robot1,5,verifier,total_lifecycle,0.008370115000000001
10,continuous,Robot10,1,prover,e2e_blockchain,4.466957976
10,continuous,Robot10,1,prover,e2e_blockchain,5.825029249999999
10,continuous,Robot10,1,prover,e2e_blockchain,5.014610096999999
10,continuous,Robot10,1,prover,e2e_blockchain,4.189981812
10,continuous,Robot10,1,prover,e2e_blockchain,5.487259523
10,continuous,Robot10,1,prover,e2e_blockchain,4.788024126
