n_robots,ssp_ms,iterq,cpu_limit,participant,run,role,metric,duration_s
16,20000.0,1.0,,Robot10,1,prover,e2e_blockchain,4.70961489
16,20000.0,1.0,,Robot10,1,prover,e2e_blockchain,4.185826424
16,20000.0,1.0,,Robot10,1,prover,e2e_blockchain,5.6982892739999995
16,20000.0,1.0,,Robot10,1,prover,e2e_blockchain,5.166505460000001
16,20000.0,1.0,,Robot10,1,prover,evidence_call,0.016926137
16,20000.0,1.0,,Robot10,1,prover,evidence_call,0.013513655
16,20000.0,1.0,,Robot10,1,prover,evidence_call,0.008916519
16,20000.0,1.0,,Robot10,1,prover,evidence_call,0.0068635599999999995
16,20000.0,1.0,,Robot10,1,prover,evidence_call,0.006386614
16,20000.0,1.0,,Robot10,1,prover,evidence_call,0.015361072
16,20000.0,1.0,,Robot10,1,prover,total_lifecycle,5.777169543
16,20000.0,1.0,,Robot10,1,prover,total_lifecycle,5.24180619
16,20000.0,1.0,,Robot10,1,prover,total_lifecycle,4.720791449
16,20000.0,1.0,,Robot10,1,prover,total_lifecycle,4.197398192
16,20000.0,1.0,,Robot10,1,prover,total_lifecycle,5.708996972
16,20000.0,1.0,,Robot10,1,prover,total_lifecycle,5.176450176
16,20000.0,1.0,,Robot10,1,verifier,reaction_time,0.025514614999999997
16,20000.0,1.0,,Robot10,1,verifier,reaction_time,0.014112969
16,20000.0,1.0,,Robot10,1,verifier,reaction_time,0.004705527
16,20000.0,1.0,,Robot10,1,verifier,reaction_time,0.011586312
16,20000.0,1.0,,Robot10,1,verifier,reaction_time,0.009328245
16,20000.0,1.0,,Robot10,1,verifier,reaction_time,0.004667963000000001
16,20000.0,1.0,,Robot10,1,verifier,reaction_time,0.0032361390000000003
16,20000.0,1.0,,Robot10,1,verifier,signatures_fetch,0.023281787999999998
16,20000.0,1.0,,Robot10,1,verifier,signatures_fetch,0.006074523
16,20000.0,1.0,,Robot10,1,verifier,signatures_fetch,0.002043382
16,20000.0,1.0,,Robot10,1,verifier,signatures_fetch,0.00475532
16,20000.0,1.0,,Robot10,1,verifier,signatures_fetch,0.0017132760000000001
16,20000.0,1.0,,Robot10,1,verifier,signatures_fetch,0.002291649
16,20000.0,1.0,,Robot10,1,verifier,signatures_fetch,0.00565549
16,20000.0,1.0,,Robot10,1,verifier,verify_compute,1.513e-06
16,20000.0,1.0,,Robot10,1,verifier,verify_compute,1.982e-06
16,20000.0,1.0,,Robot10,1,verifier,verify_compute,1.849e-06
16,20000.0,1.0,,Robot10,1,verifier,verify_compute,2.046e-06
16,20000.0,1.0,,Robot10,1,verifier,verify_compute,2.355e-06
16,20000.0,1.0,,Robot10,1,verifier,verify_compute,4.51e-07
16,20000.0,1.0,,Robot10,1,verifier,verify_compute,1.575e-06
16,20000.0,1.0,,Robot10,1,verifier,result_call,0.027366679999999997
16,20000.0,1.0,,Robot10,1,verifier,result_call,0.031874562
16,20000.0,1.0,,Robot10,1,verifier,result_call,0.008301198
16,20000.0,1.0,,Robot10,1,verifier,result_call,0.008327494
16,20000.0,1.0,,Robot10,1,verifier,result_call,0.012843209
