n_robots,mode,variant,ssp_s,iterqu,cpu_limit,participant,participant_group,role,metric,run_count,mean_s,std_s,min_s,max_s,median_s,p25_s,p75_s
4,continuous,standard,20.0,1.0,0.4,Robot1,Robot,prover,e2e_blockchain,5,4.9979734737,0.17015450099697596,4.715455205833334,5.126962564833334,5.067065799333333,4.965972901833333,5.114410896666667
4,continuous,standard,20.0,1.0,0.4,Robot1,Robot,prover,evidence_call,5,0.0083914166,0.0015016408464038175,0.006493524833333333,0.010518892666666668,0.008462659166666666,0.0075924550000000006,0.008889551333333334
4,continuous,standard,20.0,1.0,0.4,Robot1,Robot,prover,total_lifecycle,5,5.032736674766666,0.17316274579147808,4.747444166666667,5.166499258166667,5.101208613666667,4.9951474608333335,5.1533838745
4,continuous,standard,20.0,1.0,0.4,Robot1,Robot,verifier,reaction_time,5,0.0068305694816666665,0.002054166342470013,0.005247133333333333,0.009936052375,0.005553644599999999,0.005469758999999999,0.0079462581
4,continuous,standard,20.0,1.0,0.4,Robot1,Robot,verifier,result_call,5,0.008629964356666667,0.0016660143609067179,0.007282902833333334,0.01152900825,0.00814217,0.0078988807,0.00829686
4,continuous,standard,20.0,1.0,0.4,Robot1,Robot,verifier,signatures_fetch,5,0.0021954569133333336,0.0006263888564308108,0.0017293196249999999,0.0032961198749999997,0.0020006131666666666,0.0019204576000000002,0.0020307743
4,continuous,standard,20.0,1.0,0.4,Robot1,Robot,verifier,total_lifecycle,5,0.01086917795,0.0022535065092578375,0.0093233495,0.01485922525,0.0100779515,0.0099689523,0.0101164112
4,continuous,standard,20.0,1.0,0.4,Robot1,Robot,verifier,verify_compute,5,3.547866666666667e-07,4.3265083513023405e-08,3.01875e-07,4.1562500000000004e-07,3.638e-07,3.268e-07,3.6583333333333336e-07
4,continuous,standard,20.0,1.0,0.4,Robot2,Robot,prover,e2e_blockchain,5,5.008687955966666,0.18934233193067831,4.704757352833333,5.167408020833333,5.054055048666666,4.961672394333333,5.155546963166667
4,continuous,standard,20.0,1.0,0.4,Robot2,Robot,prover,evidence_call,5,0.011026661600000001,0.003523845302406285,0.007251302,0.015659662833333334,0.010414636333333333,0.008301242833333333,0.013506464000000001
4,continuous,standard,20.0,1.0,0.4,Robot2,Robot,prover,total_lifecycle,5,5.0405895911,0.1898956879328159,4.7348835895,5.198124121333334,5.089687979,4.993560580166666,5.1866916855000005
4,continuous,standard,20.0,1.0,0.4,Robot2,Robot,verifier,reaction_time,5,0.0036525434904761908,0.0013887231762342537,0.0022708598333333334,0.005900060285714286,0.003211631333333333,0.0029557565,0.0039244095
4,continuous,standard,20.0,1.0,0.4,Robot2,Robot,verifier,result_call,5,0.007967527595238095,0.00229350688005459,0.005929393000000001,0.011816427142857144,0.007718459499999999,0.006557715166666668,0.007815643166666665
4,continuous,standard,20.0,1.0,0.4,Robot2,Robot,verifier,signatures_fetch,5,0.002430920467857143,0.0012856530071118748,0.0015538806666666666,0.004675770714285715,0.0019788885,0.0016735273333333333,0.002272535125
4,continuous,standard,20.0,1.0,0.4,Robot2,Robot,verifier,total_lifecycle,5,0.01044603351904762,0.0035621364352024392,0.0075361385,0.01653620542857143,0.009838300999999999,0.008288196666666666,0.010031326
4,continuous,standard,20.0,1.0,0.4,Robot2,Robot,verifier,verify_compute,5,4.0042499999999996e-07,2.783839150645503e-08,3.60625e-07,4.3100000000000003e-07,4.0583333333333335e-07,3.8583333333333333e-07,4.188333333333333e-07
4,continuous,standard,20.0,1.0,0.4,Robot3,Robot,prover,e2e_blockchain,5,5.0071453425,0.18196964236945182,4.7106456051666665,5.159951757,5.06776452,4.964823703833333,5.1325411265000005
4,continuous,standard,20.0,1.0,0.4,Robot3,Robot,prover,evidence_call,5,0.009078829733333332,0.0021230541586560294,0.0069840075,0.012507041499999998,0.008554967333333333,0.007872062166666667,0.009476070166666666
4,continuous,standard,20.0,1.0,0.4,Robot3,Robot,prover,total_lifecycle,5,5.0395696092,0.1834290197832352,4.741788548,5.191457490666667,5.101361539833333,4.993624269333334,5.169616198166667
4,continuous,standard,20.0,1.0,0.4,Robot3,Robot,verifier,reaction_time,5,0.005032584483333333,0.0006082838848763347,0.0042546626666666665,0.0059270778,0.005028814749999999,0.004791278,0.0051610892
4,continuous,standard,20.0,1.0,0.4,Robot3,Robot,verifier,result_call,5,0.01019115678952381,0.0022042545983614542,0.0077462037999999995,0.0126724526,0.010197681333333333,0.0082593085,0.012080137714285717
4,continuous,standard,20.0,1.0,0.4,Robot3,Robot,verifier,signatures_fetch,5,0.002609124950952381,0.0007793366591799524,0.001968777833333333,0.00384030175,0.0022466722,0.0020789005714285714,0.0029109724
4,continuous,standard,20.0,1.0,0.4,Robot3,Robot,verifier,total_lifecycle,5,0.012851584420000001,0.002143378095557433,0.010044567800000001,0.015632976799999997,0.012218536,0.0121457595,0.014216082000000001
4,continuous,standard,20.0,1.0,0.4,Robot3,Robot,verifier,verify_compute,5,3.9512000000000006e-07,8.037958074038458e-08,3.305e-07,5.135e-07,3.588e-07,3.308e-07,4.4200000000000007e-07
4,continuous,standard,20.0,1.0,0.4,Robot4,Robot,prover,e2e_blockchain,5,5.014036674833333,0.18914572556573367,4.709060693833334,5.170753534666667,5.0653676355,4.967102911333334,5.1578985988333335
4,continuous,standard,20.0,1.0,0.4,Robot4,Robot,prover,evidence_call,5,0.008758019733333334,0.002258482225021303,0.006499988333333334,0.011828382333333333,0.0076595985,0.0073796045,0.010422525
4,continuous,standard,20.0,1.0,0.4,Robot4,Robot,prover,total_lifecycle,5,5.0448853758,0.1899835181576763,4.738971447166667,5.202347229666667,5.0990742875,4.995533354,5.188500560666666
4,continuous,standard,20.0,1.0,0.4,Robot4,Robot,verifier,reaction_time,5,0.005300987771428571,0.0019214810617819672,0.003525267,0.007988193,0.00479514075,0.00367409925,0.006522238857142857
4,continuous,standard,20.0,1.0,0.4,Robot4,Robot,verifier,result_call,5,0.009889957421428572,0.0033292153731027834,0.0069969265,0.01511403825,0.008254128857142858,0.0078458135,0.01123888
4,continuous,standard,20.0,1.0,0.4,Robot4,Robot,verifier,signatures_fetch,5,0.002044414057142857,0.0001599162638367294,0.0018786890000000002,0.0022431795,0.002069648,0.0018868525,0.0021437012857142856
4,continuous,standard,20.0,1.0,0.4,Robot4,Robot,verifier,total_lifecycle,5,0.011979039307142857,0.0032931439014287104,0.0091159835,0.01703488725,0.010448129285714286,0.009769565499999999,0.013526630999999999
4,continuous,standard,20.0,1.0,0.4,Robot4,Robot,verifier,verify_compute,5,3.6600714285714286e-07,2.8977520316160073e-08,3.235e-07,3.96e-07,3.6575e-07,3.5550000000000003e-07,3.892857142857143e-07
4,continuous,standard,20.0,1.0,0.4,SECaaS,SECaaS,oracle,db_lookup,5,0.0009745460416666667,6.375767746798104e-05,0.0008973027916666667,0.0010467374583333334,0.0009849184583333333,0.0009220846250000001,0.001021686875
4,continuous,standard,20.0,1.0,0.4,SECaaS,SECaaS,oracle,prover_addr_fetch,5,0.011357563183333332,0.0017431873425475344,0.009597219583333334,0.013862045333333335,0.011705044208333333,0.009795139333333333,0.011828367458333334
4,continuous,standard,20.0,1.0,0.4,SECaaS,SECaaS,oracle,reaction_time,5,0.10956163910833334,0.01564313926656008,0.09598504829166667,0.135176014875,0.10555270091666667,0.09883497375,0.11225945770833333
4,continuous,standard,20.0,1.0,0.4,SECaaS,SECaaS,oracle,ref_signature_call,5,0.0339105179,0.005074348049542011,0.029493298333333334,0.042075473625,0.033700688708333336,0.029848609916666668,0.034434518916666663
4,continuous,standard,20.0,1.0,0.4,SECaaS,SECaaS,oracle,total_lifecycle,5,0.06606070650833333,0.009644477390923122,0.05691514366666667,0.08163900533333333,0.065383965,0.059393557166666666,0.066971861375
4,startup,,,,,Robot1,Robot,prover,e2e_blockchain,5,3.2748721959999996,0.30752355611157717,2.888211681,3.672031226,3.24108949,3.099927913,3.47310067
4,startup,,,,,Robot1,Robot,prover,evidence_call,5,0.0186758618,0.012433531082605604,0.010992881999999999,0.040673851999999996,0.013728939,0.012110535,0.015873101
4,startup,,,,,Robot1,Robot,prover,total_lifecycle,5,3.3086192613999996,0.3056581872384175,2.926671652,3.7088623640000002,3.271302212,3.136394352,3.499865727
4,startup,,,,,Robot2,Robot,prover,e2e_blockchain,5,3.2705576836,0.2923229212211255,2.890148866,3.64712154,3.237734208,3.125261393,3.452522411
4,startup,,,,,Robot2,Robot,prover,evidence_call,5,0.025591066200000002,0.01552234964358179,0.014268071,0.047016858,0.014756150999999999,0.01458094,0.037333311
4,startup,,,,,Robot2,Robot,prover,total_lifecycle,5,3.30189993,0.2949372011133835,2.918903122,3.686816952,3.264004391,3.160167591,3.479607594
4,startup,,,,,Robot3,Robot,prover,e2e_blockchain,5,3.2709033664000002,0.3026492341571694,2.889449801,3.6711632610000002,3.244567956,3.101535685,3.447800129
4,startup,,,,,Robot3,Robot,prover,evidence_call,5,0.019271637,0.01410612418547556,0.011161529,0.044355544000000004,0.013405746999999999,0.012159923,0.015275442
4,startup,,,,,Robot3,Robot,prover,total_lifecycle,5,3.3038815392,0.30157060774107325,2.925258741,3.706525387,3.2712627349999996,3.139063464,3.477297369
4,startup,,,,,Robot4,Robot,prover,e2e_blockchain,5,3.2711948016,0.30405553218013076,2.88810045,3.67136299,3.244855254,3.0995232230000003,3.4521320909999997
4,startup,,,,,Robot4,Robot,prover,evidence_call,5,0.019618543,0.012734716308078481,0.009791156,0.041362692,0.01363374,0.013054334,0.020250793000000003
4,startup,,,,,Robot4,Robot,prover,total_lifecycle,5,3.304385326,0.3033852846645894,2.923182607,3.7047041490000003,3.270240049,3.136798495,3.48700133
4,startup,,,,,SECaaS,SECaaS,oracle,db_lookup,5,0.0010417181500000001,0.00015133180627913703,0.00087981,0.0012626442500000001,0.0010091594999999999,0.00094138925,0.00111558775
