ssp_ms,n_total,n_detected,detection_rate,mean_s,median_s,std_s,min_s,max_s,p25_s,p75_s
1000,19,19,1.0,5.206,5.758,0.974,3.738,5.988,3.878,5.912
2000,30,30,1.0,7.65,7.822,0.629,5.666,8.021,7.761,7.938
5000,30,30,1.0,8.51,9.824,2.134,3.716,9.887,5.946,9.867
10000,26,26,1.0,9.533,9.733,1.553,7.709,11.956,7.95,9.86
20000,30,30,1.0,20.044,19.776,1.649,17.883,21.998,17.979,21.757
