collected_at_iso,block_number,block_timestamp,block_time_s,tx_count,gas_used,gas_limit,gas_used_pct,size_bytes,extra_data_bytes,avg_gas_per_tx
2026-05-19T18:07:04.382992+00:00,370,1779214024,,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:06.390315+00:00,371,1779214026,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:08.397610+00:00,372,1779214028,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:10.404778+00:00,373,1779214030,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:12.412710+00:00,374,1779214032,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:14.419612+00:00,375,1779214034,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:16.427133+00:00,376,1779214036,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:18.434615+00:00,377,1779214038,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:20.444535+00:00,378,1779214040,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:22.452164+00:00,379,1779214042,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:24.459047+00:00,380,1779214044,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:26.467096+00:00,381,1779214046,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:28.474705+00:00,382,1779214048,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:30.482196+00:00,383,1779214050,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:32.489121+00:00,384,1779214052,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:34.496460+00:00,385,1779214054,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:36.503964+00:00,386,1779214056,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:38.511512+00:00,387,1779214058,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:40.518557+00:00,388,1779214060,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:42.526866+00:00,389,1779214062,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:44.534287+00:00,390,1779214064,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:46.543209+00:00,391,1779214066,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:48.550745+00:00,392,1779214068,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:50.558898+00:00,393,1779214070,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:52.569327+00:00,394,1779214072,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:54.577494+00:00,395,1779214074,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:56.584864+00:00,396,1779214076,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:07:58.593307+00:00,397,1779214078,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:08:00.600970+00:00,398,1779214080,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:08:02.609010+00:00,399,1779214082,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:08:04.616458+00:00,400,1779214084,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:08:06.623718+00:00,401,1779214086,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:08:08.630649+00:00,402,1779214088,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:08:10.638455+00:00,403,1779214090,2,0,0,16234336,0.0,840,0,0.0
2026-05-19T18:08:12.647064+00:00,404,1779214092,2,0,0,16234336,0.0,840,0,0.0
