t_rel_s,formation_error,cum_damage,centroid_x,centroid_y,cross_track,along_track,x_robot1,x_robot2,x_robot3,x_robot4,y_robot1,y_robot2,y_robot3,y_robot4
0.00,0.0000,0.0000,0.0001,-0.0000,0.0000,0.0000,2.0001,-2.0000,-1.9999,2.0000,2.0000,2.0000,-2.0000,-2.0000
0.10,0.0005,0.0000,0.0009,-0.0000,0.0000,0.0008,2.0006,-1.9993,-1.9996,2.0018,2.0000,2.0000,-2.0000,-2.0000
0.20,0.0016,0.0001,0.0096,-0.0000,0.0000,0.0095,2.0086,-1.9910,-1.9919,2.0127,2.0000,2.0000,-2.0000,-2.0000
0.30,0.0024,0.0003,0.0280,0.0000,0.0000,0.0280,2.0264,-1.9729,-1.9743,2.0328,2.0000,2.0000,-2.0000,-2.0000
0.40,0.0024,0.0006,0.0500,0.0000,0.0000,0.0499,2.0484,-1.9509,-1.9523,2.0547,1.9999,1.9999,-1.9999,-1.9998
0.50,0.0024,0.0008,0.0720,0.0000,0.0000,0.0719,2.0704,-1.9289,-1.9303,2.0767,1.9996,1.9996,-1.9997,-1.9995
0.60,0.0025,0.0011,0.0939,0.0000,0.0000,0.0939,2.0923,-1.9069,-1.9084,2.0987,1.9992,1.9992,-1.9993,-1.9990
0.70,0.0028,0.0013,0.1160,0.0000,0.0000,0.1159,2.1144,-1.8849,-1.8864,2.1207,1.9987,1.9988,-1.9988,-1.9985
0.80,0.0031,0.0016,0.1380,0.0000,0.0001,0.1379,2.1364,-1.8629,-1.8644,2.1427,1.9982,1.9983,-1.9983,-1.9980
0.90,0.0035,0.0019,0.1600,0.0001,0.0001,0.1599,2.1584,-1.8409,-1.8423,2.1647,1.9977,1.9978,-1.9978,-1.9974
1.00,0.0038,0.0023,0.1819,0.0001,0.0001,0.1819,2.1803,-1.8189,-1.8204,2.1867,1.9972,1.9973,-1.9973,-1.9969
1.10,0.0042,0.0027,0.2039,0.0001,0.0001,0.2039,2.2023,-1.7969,-1.7984,2.2087,1.9967,1.9969,-1.9969,-1.9964
1.20,0.0045,0.0031,0.2259,0.0001,0.0001,0.2259,2.2243,-1.7750,-1.7764,2.2307,1.9963,1.9965,-1.9965,-1.9960
1.30,0.0048,0.0036,0.2479,0.0001,0.0001,0.2479,2.2463,-1.7530,-1.7544,2.2527,1.9959,1.9962,-1.9962,-1.9956
1.40,0.0051,0.0041,0.2698,0.0001,0.0001,0.2698,2.2682,-1.7311,-1.7324,2.2746,1.9957,1.9959,-1.9959,-1.9953
1.50,0.0052,0.0046,0.2918,0.0001,0.0001,0.2918,2.2902,-1.7091,-1.7105,2.2966,1.9954,1.9957,-1.9956,-1.9951
1.60,0.0054,0.0051,0.3138,0.0001,0.0001,0.3138,2.3123,-1.6871,-1.6884,2.3186,1.9953,1.9956,-1.9954,-1.9950
1.70,0.0055,0.0057,0.3359,0.0001,0.0001,0.3359,2.3343,-1.6650,-1.6663,2.3407,1.9951,1.9955,-1.9953,-1.9949
1.80,0.0056,0.0062,0.3579,0.0001,0.0001,0.3579,2.3564,-1.6430,-1.6443,2.3627,1.9951,1.9954,-1.9952,-1.9948
1.90,0.0056,0.0068,0.3799,0.0001,0.0001,0.3798,2.3783,-1.6210,-1.6224,2.3847,1.9950,1.9954,-1.9952,-1.9948
2.00,0.0056,0.0074,0.4019,0.0001,0.0001,0.4018,2.4003,-1.5991,-1.6004,2.4066,1.9950,1.9954,-1.9952,-1.9948
2.10,0.0056,0.0079,0.4238,0.0001,0.0001,0.4237,2.4222,-1.5772,-1.5785,2.4286,1.9950,1.9954,-1.9952,-1.9948
2.20,0.0056,0.0085,0.4458,0.0001,0.0001,0.4458,2.4442,-1.5551,-1.5564,2.4506,1.9951,1.9954,-1.9952,-1.9948
2.30,0.0055,0.0090,0.4679,0.0001,0.0001,0.4678,2.4663,-1.5330,-1.5344,2.4727,1.9951,1.9954,-1.9952,-1.9949
2.40,0.0055,0.0096,0.4898,0.0001,0.0001,0.4897,2.4881,-1.5111,-1.5125,2.4946,1.9952,1.9955,-1.9953,-1.9950
2.50,0.0054,0.0101,0.5118,0.0001,0.0001,0.5117,2.5102,-1.4891,-1.4905,2.5166,1.9952,1.9955,-1.9953,-1.9950
2.60,0.0054,0.0107,0.5338,0.0001,0.0001,0.5338,2.5322,-1.4671,-1.4685,2.5386,1.9953,1.9956,-1.9953,-1.9951
2.70,0.0053,0.0112,0.5558,0.0001,0.0001,0.5557,2.5542,-1.4451,-1.4465,2.5605,1.9953,1.9956,-1.9954,-1.9951
2.80,0.0053,0.0117,0.5778,0.0001,0.0001,0.5777,2.5762,-1.4232,-1.4245,2.5826,1.9954,1.9957,-1.9954,-1.9952
2.90,0.0053,0.0123,0.5998,0.0001,0.0001,0.5998,2.5982,-1.4011,-1.4024,2.6046,1.9954,1.9957,-1.9955,-1.9952
3.00,0.0052,0.0128,0.6219,0.0001,0.0001,0.6218,2.6203,-1.3791,-1.3804,2.6266,1.9954,1.9957,-1.9955,-1.9953
3.10,0.0052,0.0133,0.6439,0.0001,0.0001,0.6438,2.6423,-1.3571,-1.3584,2.6487,1.9955,1.9958,-1.9955,-1.9953
3.20,0.0052,0.0138,0.6659,0.0001,0.0001,0.6658,2.6643,-1.3351,-1.3364,2.6706,1.9955,1.9958,-1.9956,-1.9953
3.30,0.0052,0.0144,0.6878,0.0001,0.0001,0.6878,2.6862,-1.3131,-1.3144,2.6926,1.9955,1.9958,-1.9956,-1.9953
3.40,0.0052,0.0149,0.7098,0.0001,0.0001,0.7098,2.7082,-1.2911,-1.2924,2.7146,1.9955,1.9958,-1.9956,-1.9953
3.50,0.0052,0.0154,0.7318,0.0001,0.0001,0.7318,2.7302,-1.2691,-1.2704,2.7366,1.9955,1.9958,-1.9956,-1.9953
3.60,0.0052,0.0159,0.7538,0.0001,0.0001,0.7538,2.7522,-1.2471,-1.2484,2.7586,1.9955,1.9958,-1.9956,-1.9953
3.70,0.0052,0.0164,0.7759,0.0001,0.0001,0.7758,2.7742,-1.2251,-1.2264,2.7806,1.9955,1.9958,-1.9956,-1.9953
3.80,0.0052,0.0170,0.7978,0.0001,0.0001,0.7978,2.7962,-1.2031,-1.2044,2.8026,1.9955,1.9958,-1.9956,-1.9953
