t_rel_s,formation_error,cum_damage,centroid_x,centroid_y,cross_track,along_track,x_robot1,x_robot2,x_robot3,x_robot4,y_robot1,y_robot2,y_robot3,y_robot4
0.00,0.0000,0.0000,0.0001,-0.0000,0.0000,0.0000,2.0001,-1.9999,-2.0000,2.0001,2.0000,2.0000,-2.0000,-2.0000
0.10,0.0004,0.0000,0.0008,-0.0000,0.0000,0.0007,2.0006,-1.9996,-1.9984,2.0005,2.0000,2.0000,-2.0000,-2.0000
0.20,0.0015,0.0001,0.0091,-0.0000,0.0000,0.0090,2.0084,-1.9922,-1.9879,2.0081,2.0000,2.0000,-2.0000,-2.0000
0.30,0.0023,0.0003,0.0270,0.0000,0.0000,0.0270,2.0260,-1.9751,-1.9684,2.0255,2.0000,2.0000,-2.0000,-2.0000
0.40,0.0023,0.0005,0.0489,0.0000,0.0000,0.0488,2.0479,-1.9533,-1.9465,2.0474,1.9999,1.9999,-1.9998,-1.9999
0.50,0.0024,0.0008,0.0709,0.0000,0.0000,0.0708,2.0699,-1.9312,-1.9245,2.0694,1.9996,1.9997,-1.9995,-1.9996
0.60,0.0025,0.0010,0.0928,0.0000,0.0000,0.0928,2.0919,-1.9093,-1.9025,2.0913,1.9992,1.9993,-1.9991,-1.9992
0.70,0.0027,0.0013,0.1148,0.0000,0.0000,0.1148,2.1139,-1.8873,-1.8805,2.1133,1.9987,1.9988,-1.9986,-1.9987
0.80,0.0030,0.0016,0.1368,0.0001,0.0001,0.1368,2.1359,-1.8653,-1.8585,2.1353,1.9982,1.9984,-1.9981,-1.9982
0.90,0.0034,0.0019,0.1583,0.0001,0.0001,0.1583,2.1573,-1.8438,-1.8370,2.1567,1.9977,1.9979,-1.9976,-1.9977
1.00,0.0038,0.0022,0.1805,0.0001,0.0001,0.1804,2.1795,-1.8216,-1.8148,2.1789,1.9972,1.9974,-1.9971,-1.9972
1.10,0.0042,0.0026,0.2027,0.0001,0.0001,0.2026,2.2017,-1.7995,-1.7927,2.2011,1.9967,1.9970,-1.9967,-1.9967
1.20,0.0045,0.0031,0.2247,0.0001,0.0001,0.2246,2.2237,-1.7774,-1.7706,2.2231,1.9963,1.9966,-1.9963,-1.9963
1.30,0.0048,0.0035,0.2467,0.0001,0.0001,0.2467,2.2457,-1.7554,-1.7486,2.2451,1.9959,1.9962,-1.9959,-1.9959
