t_rel_s,formation_error,cum_damage,centroid_x,centroid_y,cross_track,along_track,x_robot1,x_robot2,x_robot3,x_robot4,y_robot1,y_robot2,y_robot3,y_robot4,yaw_robot1,yaw_robot2,yaw_robot3,yaw_robot4
0.00,0.0237,0.0000,0.0475,-0.0001,0.0000,0.0000,2.0631,-1.9375,-1.9358,2.0000,1.9997,1.9997,-1.9997,-2.0000,-0.0145,-0.0133,0.0141,0.0000
0.10,0.0318,0.0028,0.0639,-0.0002,0.0001,0.0164,2.0849,-1.9157,-1.9140,2.0004,1.9993,1.9994,-1.9993,-2.0000,-0.0210,-0.0191,0.0200,0.0000
0.20,0.0373,0.0062,0.0823,-0.0003,0.0002,0.0348,2.1070,-1.8936,-1.8919,2.0077,1.9988,1.9989,-1.9988,-2.0000,-0.0252,-0.0233,0.0241,0.0000
0.30,0.0392,0.0101,0.1032,-0.0004,0.0004,0.0557,2.1291,-1.8715,-1.8699,2.0249,1.9982,1.9984,-1.9983,-2.0000,-0.0277,-0.0258,0.0259,0.0001
0.40,0.0392,0.0140,0.1252,-0.0006,0.0005,0.0777,2.1511,-1.8494,-1.8478,2.0469,1.9976,1.9978,-1.9977,-1.9999,-0.0289,-0.0271,0.0250,0.0053
0.50,0.0393,0.0179,0.1471,-0.0007,0.0006,0.0997,2.1731,-1.8275,-1.8258,2.0688,1.9969,1.9972,-1.9972,-1.9998,-0.0287,-0.0270,0.0225,0.0089
0.60,0.0393,0.0218,0.1691,-0.0008,0.0008,0.1216,2.1951,-1.8055,-1.8039,2.0908,1.9963,1.9966,-1.9967,-1.9996,-0.0272,-0.0258,0.0190,0.0114
0.70,0.0394,0.0258,0.1912,-0.0010,0.0009,0.1437,2.2172,-1.7834,-1.7818,2.1129,1.9958,1.9960,-1.9964,-1.9993,-0.0248,-0.0237,0.0148,0.0128
0.80,0.0394,0.0297,0.2132,-0.0011,0.0010,0.1657,2.2392,-1.7614,-1.7597,2.1349,1.9952,1.9955,-1.9961,-1.9990,-0.0219,-0.0210,0.0104,0.0134
0.90,0.0394,0.0336,0.2353,-0.0012,0.0011,0.1878,2.2612,-1.7394,-1.7377,2.1569,1.9948,1.9951,-1.9959,-1.9987,-0.0186,-0.0180,0.0061,0.0132
1.00,0.0395,0.0376,0.2573,-0.0013,0.0012,0.2098,2.2832,-1.7174,-1.7157,2.1790,1.9944,1.9948,-1.9958,-1.9984,-0.0153,-0.0149,0.0021,0.0126
