t_rel_s,formation_error,cum_damage,centroid_x,centroid_y,cross_track,along_track,x_robot1,x_robot2,x_robot3,x_robot4,y_robot1,y_robot2,y_robot3,y_robot4,yaw_robot1,yaw_robot2,yaw_robot3,yaw_robot4
0.00,0.0000,0.0000,0.0001,-0.0000,0.0000,0.0000,2.0001,-2.0000,-1.9999,2.0001,2.0000,2.0000,-2.0000,-2.0000,0.0000,0.0000,0.0000,0.0000
0.10,0.0002,0.0000,0.0020,-0.0000,0.0000,0.0020,2.0018,-1.9977,-1.9980,2.0021,2.0000,2.0000,-2.0000,-2.0000,0.0000,0.0000,0.0000,0.0000
0.20,0.0004,0.0000,0.0132,-0.0000,0.0000,0.0132,2.0125,-1.9860,-1.9870,2.0133,2.0000,2.0000,-2.0000,-2.0000,0.0000,0.0000,0.0000,0.0000
0.30,0.0006,0.0001,0.0333,-0.0000,0.0000,0.0332,2.0323,-1.9657,-1.9670,2.0334,2.0000,2.0000,-2.0000,-2.0000,-0.0022,-0.0030,0.0024,0.0027
0.40,0.0006,0.0002,0.0552,-0.0000,0.0000,0.0552,2.0543,-1.9437,-1.9451,2.0554,1.9998,1.9998,-1.9998,-1.9998,-0.0111,-0.0109,0.0105,0.0114
0.50,0.0008,0.0002,0.0772,-0.0000,0.0000,0.0771,2.0763,-1.9217,-1.9231,2.0773,1.9995,1.9995,-1.9995,-1.9995,-0.0178,-0.0170,0.0168,0.0180
0.60,0.0012,0.0003,0.0993,-0.0000,0.0000,0.0992,2.0984,-1.8997,-1.9011,2.0994,1.9991,1.9991,-1.9991,-1.9991,-0.0220,-0.0208,0.0207,0.0222
0.70,0.0016,0.0005,0.1212,-0.0000,0.0000,0.1212,2.1204,-1.8777,-1.8791,2.1214,1.9986,1.9986,-1.9986,-1.9985,-0.0241,-0.0226,0.0225,0.0241
0.80,0.0021,0.0006,0.1432,-0.0000,0.0000,0.1431,2.1423,-1.8557,-1.8572,2.1433,1.9980,1.9981,-1.9981,-1.9980,-0.0245,-0.0229,0.0229,0.0245
0.90,0.0025,0.0009,0.1652,-0.0000,0.0000,0.1652,2.1643,-1.8337,-1.8351,2.1654,1.9975,1.9976,-1.9977,-1.9975,-0.0237,-0.0221,0.0221,0.0237
1.00,0.0030,0.0012,0.1872,-0.0000,0.0000,0.1871,2.1863,-1.8117,-1.8131,2.1874,1.9970,1.9972,-1.9972,-1.9970,-0.0220,-0.0204,0.0205,0.0219
1.10,0.0034,0.0015,0.2092,-0.0000,0.0000,0.2091,2.2083,-1.7897,-1.7912,2.2093,1.9965,1.9967,-1.9968,-1.9965,-0.0197,-0.0182,0.0183,0.0196
1.20,0.0038,0.0018,0.2310,-0.0000,0.0000,0.2310,2.2301,-1.7679,-1.7693,2.2312,1.9961,1.9964,-1.9964,-1.9961,-0.0169,-0.0157,0.0158,0.0169
1.30,0.0041,0.0022,0.2532,-0.0000,0.0000,0.2531,2.2523,-1.7457,-1.7472,2.2533,1.9958,1.9960,-1.9961,-1.9958,-0.0139,-0.0129,0.0132,0.0141
1.40,0.0044,0.0027,0.2752,0.0000,0.0000,0.2752,2.2743,-1.7237,-1.7251,2.2754,1.9955,1.9958,-1.9958,-1.9955,-0.0111,-0.0103,0.0106,0.0113
1.50,0.0046,0.0031,0.2972,0.0000,0.0000,0.2972,2.2963,-1.7017,-1.7031,2.2974,1.9953,1.9956,-1.9956,-1.9953,-0.0085,-0.0078,0.0081,0.0086
1.60,0.0048,0.0036,0.3192,0.0000,0.0000,0.3191,2.3182,-1.6798,-1.6811,2.3193,1.9951,1.9954,-1.9954,-1.9951,-0.0061,-0.0056,0.0057,0.0061
1.70,0.0049,0.0041,0.3410,0.0000,0.0000,0.3409,2.3400,-1.6580,-1.6593,2.3411,1.9950,1.9953,-1.9953,-1.9950,-0.0040,-0.0037,0.0037,0.0040
1.80,0.0049,0.0046,0.3630,0.0000,0.0000,0.3629,2.3620,-1.6360,-1.6373,2.3632,1.9950,1.9953,-1.9953,-1.9949,-0.0022,-0.0020,0.0020,0.0021
1.90,0.0050,0.0051,0.3850,0.0000,0.0000,0.3849,2.3840,-1.6140,-1.6153,2.3851,1.9949,1.9952,-1.9952,-1.9949,-0.0007,-0.0005,0.0006,0.0006
2.00,0.0050,0.0056,0.4070,0.0000,0.0000,0.4070,2.4061,-1.5919,-1.5933,2.4072,1.9949,1.9952,-1.9952,-1.9949,0.0004,0.0006,-0.0005,-0.0005
2.10,0.0050,0.0060,0.4291,0.0000,0.0000,0.4291,2.4282,-1.5698,-1.5711,2.4293,1.9949,1.9953,-1.9953,-1.9949,0.0013,0.0014,-0.0013,-0.0014
