t_rel_s,formation_error,cum_damage,centroid_x,centroid_y,cross_track,along_track,x_robot1,x_robot2,x_robot3,x_robot4,y_robot1,y_robot2,y_robot3,y_robot4
0.00,0.0003,0.0000,0.0002,-0.0000,0.0000,0.0000,2.0001,-2.0000,-2.0000,2.0008,2.0000,2.0000,-2.0000,-2.0000
0.10,0.0015,0.0001,0.0066,-0.0000,0.0000,0.0064,2.0060,-1.9943,-1.9948,2.0096,2.0000,2.0000,-2.0000,-2.0000
0.20,0.0026,0.0003,0.0230,-0.0000,0.0000,0.0228,2.0220,-1.9786,-1.9796,2.0282,2.0000,2.0000,-2.0000,-2.0000
0.30,0.0027,0.0006,0.0444,0.0000,0.0000,0.0442,2.0435,-1.9572,-1.9583,2.0498,1.9999,1.9999,-2.0000,-1.9999
0.40,0.0027,0.0008,0.0664,0.0000,0.0000,0.0662,2.0655,-1.9352,-1.9363,2.0718,1.9997,1.9997,-1.9997,-1.9996
0.50,0.0028,0.0011,0.0885,0.0000,0.0000,0.0882,2.0875,-1.9132,-1.9143,2.0938,1.9993,1.9994,-1.9994,-1.9991
0.60,0.0030,0.0014,0.1104,0.0000,0.0000,0.1102,2.1095,-1.8912,-1.8923,2.1158,1.9988,1.9989,-1.9990,-1.9986
0.70,0.0033,0.0017,0.1324,0.0000,0.0000,0.1322,2.1315,-1.8692,-1.8703,2.1378,1.9983,1.9984,-1.9985,-1.9981
0.80,0.0036,0.0020,0.1544,0.0001,0.0001,0.1542,2.1534,-1.8472,-1.8483,2.1598,1.9978,1.9979,-1.9980,-1.9975
0.90,0.0040,0.0024,0.1764,0.0001,0.0001,0.1762,2.1754,-1.8252,-1.8263,2.1818,1.9972,1.9975,-1.9975,-1.9970
1.00,0.0043,0.0028,0.1984,0.0001,0.0001,0.1982,2.1974,-1.8032,-1.8043,2.2038,1.9968,1.9970,-1.9970,-1.9965
1.10,0.0046,0.0033,0.2205,0.0001,0.0001,0.2202,2.2194,-1.7812,-1.7823,2.2259,1.9964,1.9966,-1.9966,-1.9961
1.20,0.0049,0.0038,0.2425,0.0001,0.0001,0.2422,2.2414,-1.7592,-1.7603,2.2479,1.9960,1.9963,-1.9963,-1.9957
1.30,0.0052,0.0043,0.2645,0.0001,0.0001,0.2642,2.2634,-1.7372,-1.7383,2.2699,1.9957,1.9960,-1.9960,-1.9954
1.40,0.0054,0.0048,0.2864,0.0001,0.0001,0.2862,2.2854,-1.7152,-1.7163,2.2918,1.9955,1.9958,-1.9957,-1.9952
1.50,0.0055,0.0053,0.3085,0.0001,0.0001,0.3082,2.3074,-1.6932,-1.6943,2.3139,1.9953,1.9956,-1.9955,-1.9950
1.60,0.0056,0.0059,0.3304,0.0001,0.0001,0.3302,2.3294,-1.6712,-1.6723,2.3358,1.9952,1.9955,-1.9954,-1.9949
1.70,0.0057,0.0065,0.3524,0.0001,0.0001,0.3522,2.3514,-1.6492,-1.6503,2.3578,1.9951,1.9954,-1.9953,-1.9948
1.80,0.0058,0.0071,0.3744,0.0001,0.0001,0.3742,2.3734,-1.6272,-1.6284,2.3797,1.9950,1.9954,-1.9952,-1.9948
1.90,0.0058,0.0076,0.3965,0.0001,0.0001,0.3963,2.3955,-1.6051,-1.6063,2.4018,1.9950,1.9953,-1.9952,-1.9948
2.00,0.0058,0.0082,0.4185,0.0001,0.0001,0.4183,2.4175,-1.5831,-1.5842,2.4239,1.9950,1.9953,-1.9952,-1.9948
2.10,0.0057,0.0088,0.4406,0.0001,0.0001,0.4403,2.4396,-1.5611,-1.5622,2.4459,1.9951,1.9954,-1.9952,-1.9949
2.20,0.0057,0.0094,0.4625,0.0001,0.0001,0.4623,2.4615,-1.5392,-1.5402,2.4679,1.9951,1.9954,-1.9952,-1.9949
