trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot
1,2026-05-29T09:37:38.271Z,2026-05-29T09:37:48.055Z,9.784,1,10000,4,sidecar,robot1
2,2026-05-29T09:38:04.206Z,2026-05-29T09:38:16.024Z,11.817,1,10000,4,sidecar,robot1
3,2026-05-29T09:38:32.321Z,2026-05-29T09:38:44.034Z,11.713,1,10000,4,sidecar,robot1
4,2026-05-29T09:39:00.333Z,2026-05-29T09:39:12.059Z,11.726,1,10000,4,sidecar,robot1
5,2026-05-29T09:39:28.141Z,2026-05-29T09:39:40.152Z,12.011,1,10000,4,sidecar,robot1
6,2026-05-29T09:39:56.249Z,2026-05-29T09:40:08.187Z,11.938,1,10000,4,sidecar,robot1
7,2026-05-29T09:40:24.265Z,2026-05-29T09:40:36.052Z,11.786,1,10000,4,sidecar,robot1
8,2026-05-29T09:40:52.306Z,2026-05-29T09:41:04.058Z,11.751,1,10000,4,sidecar,robot1
9,2026-05-29T09:41:20.251Z,2026-05-29T09:41:32.068Z,11.816,1,10000,4,sidecar,robot1
10,2026-05-29T09:41:48.343Z,2026-05-29T09:42:00.140Z,11.797,1,10000,4,sidecar,robot1
11,2026-05-29T09:42:16.293Z,2026-05-29T09:42:28.019Z,11.726,1,10000,4,sidecar,robot1
12,2026-05-29T09:42:44.329Z,2026-05-29T09:42:56.036Z,11.707,1,10000,4,sidecar,robot1
13,2026-05-29T09:43:12.271Z,2026-05-29T09:43:24.068Z,11.797,1,10000,4,sidecar,robot1
14,2026-05-29T09:43:40.291Z,2026-05-29T09:43:52.090Z,11.799,1,10000,4,sidecar,robot1
15,2026-05-29T09:44:08.309Z,2026-05-29T09:44:20.088Z,11.778,1,10000,4,sidecar,robot1
16,2026-05-29T09:44:36.278Z,2026-05-29T09:44:48.178Z,11.899,1,10000,4,sidecar,robot1
17,2026-05-29T09:45:04.240Z,2026-05-29T09:45:16.167Z,11.926,1,10000,4,sidecar,robot1
18,2026-05-29T09:45:32.256Z,2026-05-29T09:45:44.022Z,11.766,1,10000,4,sidecar,robot1
19,2026-05-29T09:46:00.266Z,2026-05-29T09:46:12.045Z,11.779,1,10000,4,sidecar,robot1
20,2026-05-29T09:46:28.236Z,2026-05-29T09:46:40.050Z,11.813,1,10000,4,sidecar,robot1
