trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot
1,2026-05-29T09:47:14.313Z,2026-05-29T09:47:34.065Z,19.751,1,20000,4,sidecar,robot1
2,2026-05-29T09:48:00.411Z,2026-05-29T09:48:22.092Z,21.681,1,20000,4,sidecar,robot1
3,2026-05-29T09:48:48.272Z,2026-05-29T09:49:10.071Z,21.798,1,20000,4,sidecar,robot1
4,2026-05-29T09:49:36.350Z,2026-05-29T09:49:58.039Z,21.688,1,20000,4,sidecar,robot1
5,2026-05-29T09:50:24.319Z,2026-05-29T09:50:46.094Z,21.775,1,20000,4,sidecar,robot1
6,2026-05-29T09:51:12.416Z,2026-05-29T09:51:34.123Z,21.707,1,20000,4,sidecar,robot1
7,2026-05-29T09:52:00.224Z,2026-05-29T09:52:22.162Z,21.937,1,20000,4,sidecar,robot1
8,2026-05-29T09:52:48.264Z,2026-05-29T09:53:10.037Z,21.773,1,20000,4,sidecar,robot1
9,2026-05-29T09:53:36.311Z,2026-05-29T09:53:58.096Z,21.785,1,20000,4,sidecar,robot1
10,2026-05-29T09:54:24.442Z,2026-05-29T09:54:46.141Z,21.699,1,20000,4,sidecar,robot1
11,2026-05-29T09:55:12.224Z,2026-05-29T09:55:34.164Z,21.939,1,20000,4,sidecar,robot1
12,2026-05-29T09:56:00.257Z,2026-05-29T09:56:22.026Z,21.769,1,20000,4,sidecar,robot1
13,2026-05-29T09:56:46.388Z,2026-05-29T09:57:10.094Z,23.705,1,20000,4,sidecar,robot1
14,2026-05-29T09:57:36.206Z,2026-05-29T09:57:58.186Z,21.979,1,20000,4,sidecar,robot1
15,2026-05-29T09:58:24.291Z,2026-05-29T09:58:46.052Z,21.760,1,20000,4,sidecar,robot1
16,2026-05-29T09:59:12.412Z,2026-05-29T09:59:34.092Z,21.680,1,20000,4,sidecar,robot1
17,2026-05-29T10:00:00.320Z,2026-05-29T10:00:22.117Z,21.796,1,20000,4,sidecar,robot1
18,2026-05-29T10:00:48.280Z,2026-05-29T10:01:10.202Z,21.922,1,20000,4,sidecar,robot1
19,2026-05-29T10:01:36.213Z,2026-05-29T10:01:58.024Z,21.810,1,20000,4,sidecar,robot1
20,2026-05-29T10:02:24.399Z,2026-05-29T10:02:46.105Z,21.705,1,20000,4,sidecar,robot1
